year	division_id	school_id	uniform_number	player_id	player_name	player_url	class_year	position	g	hbp	sf	sh	tb	xbh	hdp	go	fo	go_fo	pa
2014	1	vernoncollege	6	parkerjohnsonholx	Parker Johnson	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/parkerjohnsonholx	Fr	C	2		1		0	0					3
2014	1	vernoncollege	28	coltonmonk63ow	Colton Monk	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coltonmonk63ow	So	OF	3				0	0					3
2014	1	vernoncollege	29	graydongatlin2hqw	Graydon Gatlin	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/graydongatlin2hqw	Fr	1B	1				1	0					2
2014	1	lakelandcollege	1	jacobdailyz8v3	Jacob Daily	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jacobdailyz8v3	So	OF	27	2	1	3	33	3		7			106
2014	1	lakelandcollege	11	ricksalazarexhs	Rick Salazar	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/ricksalazarexhs	Fr	INF	27	7	2		30	1		2	4	0.50	103
2014	1	lakelandcollege	24	alonsoruzal6x	Alonso Ruz	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/alonsoruzal6x	So	INF	27	3		1	34	6		5	7	0.71	97
2014	1	lakelandcollege	19	darrensaundersqdkl	Darren Saunders	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/darrensaundersqdkl	Fr	INF	24		1		35	8		3	5	0.60	93
2014	1	lakelandcollege	13	johnathanmendozabict	Johnathan Mendoza	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/johnathanmendozabict	Fr	INF	21	2			27	4		2	1	2.00	85
2014	1	lakelandcollege	9	lawrencemoorev4gv	Lawrence Moore	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/lawrencemoorev4gv	So	OF	23	1		2	18	2		9	1	9.00	81
2014	1	lakelandcollege	22	grantgarrett8mkn	Grant Garrett	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/grantgarrett8mkn	So	C	21	2		2	22	5		2	3	0.67	78
2014	1	lakelandcollege	15	mattwalsh02w1	Matt Walsh	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/mattwalsh02w1	Fr	INF	20	2		3	27	4		3	3	1.00	74
2014	1	lakelandcollege	4	aaronbence87tt	Aaron Bence	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/aaronbence87tt	Fr	OF	21	5		3	31	7		2	2	1.00	67
2014	1	lakelandcollege	6	christiancrespoebfx	Christian Crespo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/christiancrespoebfx	Fr	OF	16	1			17	2		2	1	2.00	40
2014	1	lakelandcollege	10	tylerbushue8akt	Tyler Bushue	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/tylerbushue8akt	So	INF	10	1			5	1		7			26
2014	1	lakelandcollege	25	jarrettriceh0dy	Jarrett Rice	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jarrettriceh0dy	So	OF	10				3	0		2	1	2.00	22
2014	1	lakelandcollege	5	codybrushgbrl	Cody Brush	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/codybrushgbrl	So	C	7	2		5	5	1			1		17
2014	1	lakelandcollege	23	devinwrighti0zk	Devin Wright	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/devinwrighti0zk	So	INF	6			2	2	0			1		16
2014	1	lakelandcollege	8	blakekauer86yy	Blake Kauer	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/blakekauer86yy	Fr	C	5				1	0					12
2014	1	lakelandcollege	14	ryanwoodq3zj	Ryan Wood	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/ryanwoodq3zj	Fr	INF	6				3	0					12
2013	2	kankakeecommunitycollege	11	ryanmontcalmph13	Ryan Montcalm	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/ryanmontcalmph13	So	INF	30	4	2		76	16					119
2013	2	kankakeecommunitycollege	7	jeffcardenasl6px	Jeff Cardenas	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/jeffcardenasl6px	Fr	INF	30	8	1	2	22	4					111
2013	2	kankakeecommunitycollege	25	ericphillis223k	Eric Phillis	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/ericphillis223k	So	OF	30	2	3	1	53	14					111
2013	2	kankakeecommunitycollege	9	nickulrey6n4l	Nick Ulrey	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/nickulrey6n4l	Fr	C/OF	29	5	2	1	32	6					111
2013	2	kankakeecommunitycollege	30	zachbarkdulltqd7	Zach Barkdull	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/zachbarkdulltqd7	So	C/1B	30		3	2	42	9					107
2013	2	kankakeecommunitycollege	14	kalvinthongchamleunsouk567h	Kalvin Thongchamleunsouk	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kalvinthongchamleunsouk567h	So	INF	28	3	2	7	26	1					106
2013	2	kankakeecommunitycollege	27	kjeldtorkelsonbe3i	Kjeld Torkelson	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kjeldtorkelsonbe3i	So	OF	30	2			49	9					101
2013	2	kankakeecommunitycollege	13	johnmclaughlinf1mx	John McLaughlin	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/johnmclaughlinf1mx	So	C/3B	29	2	1		47	13					99
2013	2	kankakeecommunitycollege	1	cullywilsond8ba	Cully Wilson	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/cullywilsond8ba	So	OF	24	2	1	1	21	2					65
2013	2	kankakeecommunitycollege	15	jacoblaneli4y	Jacob Lane	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/jacoblaneli4y	Fr	1B/RHP	17	1		2	11	3					30
2013	2	kankakeecommunitycollege	29	michaelkendrickbsnt	Michael Kendrick	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/michaelkendrickbsnt	Fr	INF	16				6	0					27
2013	2	kankakeecommunitycollege	19	tylorhedgegg79	Tylor Hedge	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tylorhedgegg79	So	OF	14			1	14	3					25
2013	2	kankakeecommunitycollege	21	joestukenborgm33r	Joe Stukenborg	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/joestukenborgm33r	Fr	INF	16	2			5	1					23
2013	2	kankakeecommunitycollege	5	tylerknightiwno	Tyler Knight	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tylerknightiwno	So	OF	22			1	5	1					19
2013	2	kankakeecommunitycollege	10	treyhannamj673	Trey Hannam	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/treyhannamj673	Fr	OF	13				3	0					17
2013	2	kankakeecommunitycollege	31	zachrappllt1	Zach Rapp	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/zachrappllt1	Fr	C	11	1			3	1					13
2013	1	asacollege	7	kevinvictoriano31w7	Kevin Victoriano	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kevinvictoriano31w7	So	OF	24	3	1		43	7		23	23	1.00	95
2013	1	asacollege	9	alexechevarriaeftx	Alex Echevarria	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/alexechevarriaeftx	So	OF	23		1	2	38	7		21	16	1.31	90
2013	1	asacollege	34	juniormaldonadoj8bb	Junior Maldonado	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/juniormaldonadoj8bb	So	OF	23	3		2	24	2		29	10	2.90	88
2013	1	asacollege	44	jimtollepfid	Jim Tolle	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jimtollepfid	So	C	22	4			22	3		21	15	1.40	83
2013	1	asacollege	11	jeovannytolentino60rf	Jeovanny Tolentino	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jeovannytolentino60rf	So	IF	22	4	1		20	1		15	13	1.15	80
2013	1	asacollege	99	edwardmaderanxx5	Edward Madera	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/edwardmaderanxx5	So	OF	18	2		1	18	4	1	15	14	1.07	61
2013	1	asacollege	12	danielrodriguezyft3	Daniel Rodriguez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/danielrodriguezyft3	Fr	IF/P	20	1			20	4		15	8	1.88	57
2013	1	asacollege	18	jeffreyvalerasq6h	Jeffrey Valera	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jeffreyvalerasq6h	Fr	IF	14	4	3		16	4		8	14	0.57	54
2013	1	asacollege	6	eduinvaldezv9f8	Eduin Valdez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/eduinvaldezv9f8	So	3B/P	17	1	2		17	2		10	10	1.00	53
2013	1	asacollege	10	julianlanfrancoolmy	Julian Lanfranco	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/julianlanfrancoolmy	So	IF	17	2		2	15	0		17	5	3.40	49
2013	1	asacollege	17	wandergermoso9sdp	Wander Germoso	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/wandergermoso9sdp	Fr	1B	17				14	4		13	10	1.30	48
2013	1	asacollege	29	luisperezzwye	Luis Perez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/luisperezzwye	So	OF/C	15	3		1	2	0		7	6	1.17	36
2013	1	asacollege	24	lewissanchezftic	Lewis Sanchez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/lewissanchezftic	So	IF	12	1			5	0		12	2	6.00	33
2013	1	asacollege	2	danaurisbaezcl65	Danauris Baez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/danaurisbaezcl65	So	IF	10		1	1	12	5		5	4	1.25	32
2013	1	asacollege	23	jonathanfloreshsd9	Jonathan Flores	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jonathanfloreshsd9	Fr	OF	7				1	0		9	1	9.00	20
2013	1	asacollege	21	davidrodriguezr5ad	David Rodriguez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/davidrodriguezr5ad	So	OF	6				3	0		3	1	3.00	13
2013	1	asacollege	39	josecirineoh3go	Jose Cirineo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/josecirineoh3go	Fr	C	6				3	0		2	3	0.67	10
2013	1	asacollege	28	franklynrojaspy78	Franklyn Rojas	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/franklynrojaspy78	Fr	C	2				2	0		1	1	1.00	7
2013	1	asacollege	91	gilbertomendozat5la	Gilberto Mendoza	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/gilbertomendozat5la	So	IF	2				0	0		1			4
2013	1	asacollege	27	bryanflores3qti	Bryan Flores	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/bryanflores3qti	Fr	IF	1				0	0			1		2
2013	1	asacollege	42	stevecuello324s	Steve Cuello	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/stevecuello324s	Fr	IF	2				0	0					1
2013	3	brookhavencollege	12	alexanderandersonx169	Alexander Anderson	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/alexanderandersonx169	So	1B/OF	32	4	1	0	70	16	0	2	0		137
2013	3	brookhavencollege	2	byronbrookshud3	Byron Brooks	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/byronbrookshud3	Fr	2B	32	3	1	0	59	10	0	0	0		130
2013	3	brookhavencollege	33	davisszantouvaw	Davis Szanto	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/davisszantouvaw	Fr	OF/P	32	4	2	1	78	20	0	2	1	2.00	122
2013	3	brookhavencollege	9	wesleymooregn3b	Wesley Moore	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/wesleymooregn3b	Fr	OF	27	10	1	2	29	5	0	1	0		117
2013	3	brookhavencollege	20	codeyupton6vek	Codey Upton	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/codeyupton6vek	So	LHP/OF	26	3	1	1	43	6					92
2013	3	brookhavencollege	23	coltonspearsmhn2	Colton Spears	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/coltonspearsmhn2	So	3B	26	1	0	4	30	7	0	0	0		91
2013	3	brookhavencollege	6	ryanwalkercjlb	Ryan Walker	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/ryanwalkercjlb	So	OF	24	2	1	1	19	2	0	0	1	0.00	74
2013	3	brookhavencollege	1	philliprussellno6v	Phillip Russell	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/philliprussellno6v	Fr	SS	22	0	1	0	16	1	0	0	0		66
2013	3	brookhavencollege	24	kalebwardenf3ld	Kaleb Warden	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/kalebwardenf3ld	Fr	1B/C	23	0	2	0	25	3	0	0	1	0.00	65
2013	3	brookhavencollege	31	cordperea8f8j	Cord Perea	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/cordperea8f8j	Fr	C/1B	18	4	0	0	23	4	0	0	1	0.00	61
2013	3	brookhavencollege	17	jasonnicholson71t4	Jason Nicholson	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/jasonnicholson71t4	Fr	C	14	2	0	1	16	3	0	0	0		50
2013	3	brookhavencollege	14	chrisminchewueh1	Chris Minchew	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/chrisminchewueh1	Fr	SS	12			2	11	2					39
2013	3	brookhavencollege	25	lancebrooksc2mj	Lance Brooks	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/lancebrooksc2mj	Fr	INF	13	1	0	0	15	3	0	0	0		38
2013	3	brookhavencollege	8	aleckanakzoh	Alec Kana	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/aleckanakzoh	Fr	SS/2B	15	2	0	1	12	2	0	0	1	0.00	36
2013	3	brookhavencollege	5	brandonbielke3eyb	Brandon Bielke	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/brandonbielke3eyb	Fr	OF	14	0	0	0	11	1	0	0	1	0.00	34
2013	3	brookhavencollege	4	garrettbeard660n	Garrett Beard	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/garrettbeard660n	So	C/OF	16	1	0	0	4	0	0	0	0		23
2013	3	brookhavencollege	7	blakemanningro28	Blake Manning	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/blakemanningro28	So	OF	8	1			5	1					13
2013	3	brookhavencollege	22	grantandersonwt68	Grant Anderson	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/grantandersonwt68	So	OF	4				1	0					4
2013	3	brookhavencollege	21	carloscontrerashyup	Carlos Contreras	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/carloscontrerashyup	Fr	P/C/2B/SS	10	1	0	0	0	0	0	0	0		4
2013	3	brookhavencollege	13	isaiahblandtwyq	Isaiah Bland	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/isaiahblandtwyq	Fr	OF	2				0	0					2
2014	2	lakelandcommunitycollege	12	mikeizzarelliflqi	Mike Izzarelli	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/mikeizzarelliflqi	Fr	2B/SS	20			3	26	4		2	5	0.40	84
2014	2	lakelandcommunitycollege	18	ajbuis0tog	AJ Buis	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/ajbuis0tog	Fr	OF	18	1	2	1	14	0		1	2	0.50	74
2014	2	lakelandcommunitycollege	5	anthonystrnad1mej	Anthony Strnad	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/anthonystrnad1mej	Fr	OF	20	1	1	3	30	5		4	1	4.00	69
2014	2	lakelandcommunitycollege	10	ryanoskot42f	Ryan Osko	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/ryanoskot42f	Fr	2B/SS	19	5			15	3		2	3	0.67	62
2014	2	lakelandcommunitycollege	11	saygewoodhamj2z6	Sayge Woodham	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/saygewoodhamj2z6	Fr	OF	16		1	1	15	4		2	1	2.00	56
2014	2	lakelandcommunitycollege	20	zachpopelydycy	Zach Popely	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/zachpopelydycy	So	3B/1B	17		1	1	13	2		3	1	3.00	54
2014	2	lakelandcommunitycollege	25	waynenaidag8ty	Wayne Naida	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/waynenaidag8ty	Fr	C/1B	14	2			24	7		3	4	0.75	52
2014	2	lakelandcommunitycollege	16	ericroder1akj	Eric Roder	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/ericroder1akj	Fr	SS	14		1		20	3		4	5	0.80	51
2014	2	lakelandcommunitycollege	17	anthonypaonexmpd	Anthony Paone	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/anthonypaonexmpd	So	C/1B	12	3			8	1		5	2	2.50	42
2014	2	lakelandcommunitycollege	14	josepovea24an	Jose Povea	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/josepovea24an	Fr	C	11		1		5	1		1			42
2014	2	lakelandcommunitycollege	13	miguelflowersii2b91	Miguel Flowers II	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/miguelflowersii2b91	Fr	2B/SS	11				13	3		7	2	3.50	41
2014	2	lakelandcommunitycollege	44	santanabarrerajyip	Santana Barrera	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/santanabarrerajyip	Fr	3B/SS	11	1			1	0					38
2014	2	lakelandcommunitycollege	37	jaycedunlopcmay	Jayce Dunlop	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/jaycedunlopcmay	Fr	OF	10				14	3			3		30
2014	2	lakelandcommunitycollege	15	derekrosefibe	Derek Rose	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/derekrosefibe	So	LHP	7		1		0	0					12
2014	2	lakelandcommunitycollege	24	tylerchattinynkm	Tyler Chattin	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tylerchattinynkm	Fr	RHP	6				0	0					3
2013	1	threeriverscommunitycollegemo	33	santosduran7hdq	Santos Duran	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/santosduran7hdq	Fr	OF	27	1			47	6		23	20	1.15	110
2013	1	threeriverscommunitycollegemo	35	jakenickelsony8c6	Jake Nickelson	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jakenickelsony8c6	So	C	27	6			33	5		22	21	1.05	102
2013	1	threeriverscommunitycollegemo	3	dylanwitthoftbutf	Dylan Witthoft	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/dylanwitthoftbutf	So	OF	26	1	1	1	39	8		16	28	0.57	96
2013	1	threeriverscommunitycollegemo	4	jaredpruettfiob	Jared Pruett	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jaredpruettfiob	So	INF	26			1	20	2		28	25	1.12	95
2013	1	threeriverscommunitycollegemo	25	alecpenderf2n4	Alec Pender	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/alecpenderf2n4	So	OF	26	3	1		26	4		22	16	1.38	89
2013	1	threeriverscommunitycollegemo	1	kevinrosariogym6	Kevin Rosario	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kevinrosariogym6	Fr	INF	21	1	3		27	5		14	24	0.58	88
2013	1	threeriverscommunitycollegemo	24	kelvinfloresciok	Kelvin Flores	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kelvinfloresciok	Fr	INF	24	1	2		21	4		21	19	1.11	85
2013	1	threeriverscommunitycollegemo	44	alexheuringyd3u	Alex Heuring	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/alexheuringyd3u	Fr	C	22	1		1	31	6		12	11	1.09	74
2013	1	threeriverscommunitycollegemo	27	kodymoorecluy	Kody Moore	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kodymoorecluy	Fr	INF	19			2	13	1		4	19	0.21	50
2013	1	threeriverscommunitycollegemo	7	titoovalleesqv	Tito Ovalle	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/titoovalleesqv	Fr	INF	15		1		21	2		3	13	0.23	47
2013	1	threeriverscommunitycollegemo	6	zachmckenney95fc	Zach McKenney	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/zachmckenney95fc	So	UT	10		2		8	3		7	8	0.88	31
2013	1	threeriverscommunitycollegemo	11	kevenlong0dg3	Keven Long	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kevenlong0dg3	Fr	RHP/UT	13				10	1		4	7	0.57	22
2013	1	threeriverscommunitycollegemo	39	austingardnertpx1	Austin Gardner	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/austingardnertpx1	Fr	OF	12	1			2	0		5	1	5.00	19
2013	1	threeriverscommunitycollegemo	9	coleboardmanif1d	Cole Boardman	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coleboardmanif1d	Fr	OF/RHP	12				6	0		1	2	0.50	17
2013	1	threeriverscommunitycollegemo	5	javieraguilarry4y	Javier Aguilar	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/javieraguilarry4y	Fr	INF	7				2	0		7	2	3.50	16
2013	1	threeriverscommunitycollegemo	17	aaronaldrichavj2	Aaron Aldrich	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/aaronaldrichavj2	Fr	C	3				2	0		1			4
2013	2	kelloggcommunitycollege	7	chadcarsonhek7	Chad Carson	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/chadcarsonhek7	Fr	INF	17	5	1		29	5					65
2013	2	kelloggcommunitycollege	34	steveremesnikvcvr	Steve Remesnik	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/steveremesnikvcvr	So	LHP/1B	17				26	2					61
2013	2	kelloggcommunitycollege	8	bennyclark0zmz	Benny Clark	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/bennyclark0zmz	Fr	OF	14	3			14	1					51
2013	2	kelloggcommunitycollege	2	alexholleyfa4m	Alex Holley	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/alexholleyfa4m	Fr	INF	12	2	1		11	2					47
2013	2	kelloggcommunitycollege	30	benspieldenner8jf2	Ben Spieldenner	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/benspieldenner8jf2	So	UT/RHP	16	1	1		11	1					46
2013	2	kelloggcommunitycollege	25	travisbolinjevf	Travis Bolin	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/travisbolinjevf	Fr	INF	15	2			15	2					45
2013	2	kelloggcommunitycollege	27	tylerbradnerbb8i	Tyler Bradner	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tylerbradnerbb8i	Fr	P/UTL	16				11	1					43
