year	division_id	school_id	uniform_number	player_id	player_name	player_url	class_year	position	g	tc	po	a	e	fpct	dp	sba	rcs	rcs_percent	pb	ci
2014	2	mesacommunitycollege	40	christopherwatsonx39f	Christopher Watson	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/christopherwatsonx39f			8	3	1	1	1	.667						
2014	2	mesacommunitycollege	37	garrettbowmandbe5	Garrett Bowman	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/garrettbowmandbe5	Fr	P	7	1	0	1	0	1.000						
2014	2	mesacommunitycollege	10	caseycongletondqge	Casey Congleton	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/caseycongletondqge	So	P	14	1	0	1	0	1.000						
2014	2	mesacommunitycollege	31	riogomezq7dc	Rio Gomez	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/riogomezq7dc	Fr	P	1	0	0	0	0							
2014	2	mesacommunitycollege	28	jamesgrubewms5	James Grube	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/jamesgrubewms5	So	P	6	0	0	0	0							
2014	2	mesacommunitycollege	9	daniellutz851t	Daniel Lutz	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/daniellutz851t	Fr	P/IF	19	2	0	2	0	1.000						
2014	2	mesacommunitycollege	26	seanmcguirec6b8	Sean McGuire	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/seanmcguirec6b8	Fr	P	8	4	0	4	0	1.000						
2014	2	mesacommunitycollege	16	ryanreinhartwmay	Ryan Reinhart	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/ryanreinhartwmay			9	0	0	0	0							
2014	2	mesacommunitycollege	39	kylerichardpg22	Kyle Richard	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kylerichardpg22	Fr	P	8	4	0	3	1	.750						
2014	2	mesacommunitycollege	27	nickschumanh9u3	Nick Schuman	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/nickschumanh9u3	So	P	9	0	0	0	0							
2014	1	butlercommunitycollegeks	14	evankoehlerm061	Evan Koehler	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/evankoehlerm061	So	1B	37	273	256	14	3	.989	9					
2014	1	butlercommunitycollegeks	7	cameronknightfq9k	Cameron Knight	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/cameronknightfq9k	Fr	C	30	180	163	14	3	.983		11	6	.353	7	
2014	1	butlercommunitycollegeks	22	loganbeardp5sn	Logan Beard	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/loganbeardp5sn	So	OF	24	61	57	0	4	.934						
2014	1	butlercommunitycollegeks	15	daltonwheatah58	Dalton Wheat	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/daltonwheatah58	So	OF	36	50	48	2	0	1.000						
2014	1	butlercommunitycollegeks	4	jakehuscroft7gcs	Jake Huscroft	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jakehuscroft7gcs	Fr	MIF	28	89	40	46	3	.966	5					
2014	1	butlercommunitycollegeks	2	zachbakerh4n8	Zach Baker	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/zachbakerh4n8	Fr	MIF	35	110	35	69	6	.945	7					
2014	1	butlercommunitycollegeks	9	michaelcerullodw3d	Michael Cerullo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/michaelcerullodw3d	So	C/IF	26	35	30	3	2	.943		5	2	.286		
2014	1	butlercommunitycollegeks	28	shanebridgese7u4	Shane Bridges	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/shanebridgese7u4	So	OF	18	29	29	0	0	1.000						
2014	1	butlercommunitycollegeks	3	tyredington66l4	Ty Redington	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/tyredington66l4	Fr	C/MIF	23	49	27	16	6	.878	2					
2014	1	butlercommunitycollegeks	21	alexweisszjka	Alex Weiss	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/alexweisszjka	Fr	MIF	33	70	16	45	9	.871	1					
2014	1	butlercommunitycollegeks	11	michaelbird2oli	Michael Bird	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/michaelbird2oli	So	IF	11	36	12	23	1	.972	2					
2014	1	butlercommunitycollegeks	24	jeffchristenphr1	Jeff Christen	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jeffchristenphr1	Fr	MIF/C	19	11	9	2	0	1.000						
2014	1	butlercommunitycollegeks	6	treverezellg0lm	Trever Ezell	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/treverezellg0lm	So	RHP/CIF	26	23	7	12	4	.826						
2014	1	butlercommunitycollegeks	1	jordanknoxzedi	Jordan Knox	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jordanknoxzedi	So	OF	8	6	5	0	1	.833						
2014	1	butlercommunitycollegeks	26	garrettwhitehmer	Garrett White	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/garrettwhitehmer	So	C/OF	14	5	5	0	0	1.000						
2014	1	butlercommunitycollegeks	10	granthamiltonl55f	Grant Hamilton	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/granthamiltonl55f	So	RHP	11	6	2	3	1	.833		4				
2014	1	butlercommunitycollegeks	16	carsoncorffnga7	Carson Corff	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/carsoncorffnga7	So	LHP/OF	8	8	1	6	1	.875	1	2	2	.500		
2014	1	butlercommunitycollegeks	33	bradyholcombsilr	Brady Holcomb	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/bradyholcombsilr	Fr	RHP/CIF	10	6	1	5	0	1.000		1	2	.667		
2014	1	butlercommunitycollegeks	29	greghouser2htm	Greg Houser	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/greghouser2htm	So	LHP	4	4	1	3	0	1.000						
2014	1	butlercommunitycollegeks	8	brennanwalkerjzrb	Brennan Walker	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/brennanwalkerjzrb	So	RHP	9	6	1	4	1	.833		5	1	.167		
2014	1	butlercommunitycollegeks	20	maxchadseys8ax	Max Chadsey	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/maxchadseys8ax	So	RHP	2	3	0	2	1	.667		2				
2014	1	butlercommunitycollegeks	18	austindubskyqzke	Austin Dubsky	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/austindubskyqzke	Fr	RHP	9	5	0	4	1	.800			1	1.000		
2014	1	butlercommunitycollegeks	17	eliotkingnzyf	Eliot King	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/eliotkingnzyf	Fr	RHP	8	3	0	3	0	1.000		1				
2014	1	butlercommunitycollegeks	12	kylemacy9a8q	Kyle Macy	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kylemacy9a8q	Fr	RHP/MIF	1	0	0	0	0							
2014	1	butlercommunitycollegeks	32	jacksonrolfsjs5w	Jackson Rolfs	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jacksonrolfsjs5w	So	RHP	10	2	0	2	0	1.000			1	1.000		
2014	1	butlercommunitycollegeks	19	gibsonrussv79m	Gibson Russ	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/gibsonrussv79m	Fr	LHP	5	1	0	0	1	.000			1	1.000		
2014	1	butlercommunitycollegeks	31	miguelvasqueziewd	Miguel Vasquez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/miguelvasqueziewd	Fr	RHP	4	2	0	2	0	1.000						
2014	1	butlercommunitycollegeks	25	kylevogtsh96	Kyle Vogt	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kylevogtsh96	So	RHP	10	2	0	2	0	1.000						
2014	1	butlercommunitycollegeks	13	cadewagerdm07	Cade Wager	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/cadewagerdm07	Fr	LHP	6	1	0	1	0	1.000						
2013	1	wallacestatecommunitycollegehancevil	8	lukeporterk9h2	Luke Porter	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/lukeporterk9h2	Fr	C	31	179	158	14	7	.961	1	32	9	.220	13	
2013	1	wallacestatecommunitycollegehancevil	19	oliverfrancisb90v	Oliver Francis	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/oliverfrancisb90v	Fr	INF/OF	28	93	81	6	6	.935	1					
2013	1	wallacestatecommunitycollegehancevil	28	grantbennettawke	Grant Bennett	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/grantbennettawke	So	P/INF	29	110	80	26	4	.964	7	1				
2013	1	wallacestatecommunitycollegehancevil	3	daltoncarrikerldf9	Dalton Carriker	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/daltoncarrikerldf9	Fr	INF	34	157	74	75	8	.949	13					
2013	1	wallacestatecommunitycollegehancevil	21	coltbuttramqajg	Colt Buttram	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coltbuttramqajg	So	OF	26	71	67	2	2	.972	6					
2013	1	wallacestatecommunitycollegehancevil	1	draketuckererx1	Drake Tucker	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/draketuckererx1	Fr	OF	29	62	59	0	3	.952						
2013	1	wallacestatecommunitycollegehancevil	4	natesmithadu6	Nate Smith	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/natesmithadu6	Fr	C/OF	24	58	51	1	6	.897		4			3	
2013	1	wallacestatecommunitycollegehancevil	10	joshoshieldsemmf	Josh O'Shields	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/joshoshieldsemmf	Fr	INF	20	55	45	9	1	.982	2					
2013	1	wallacestatecommunitycollegehancevil	26	zachatfield1l1i	Zac Hatfield	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/zachatfield1l1i	So	C	11	47	44	0	3	.936		7			4	
2013	1	wallacestatecommunitycollegehancevil	2	chrisblakey1yx3	Chris Blakey	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/chrisblakey1yx3	Fr	INF	32	101	34	56	11	.891	9					
2013	1	wallacestatecommunitycollegehancevil	17	rupertalcantarayahc	Rupert Alcantara	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/rupertalcantarayahc	So	INF	21	62	27	27	8	.871	3					
2013	1	wallacestatecommunitycollegehancevil	18	jacobhillp268	Jacob Hill	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jacobhillp268	Fr	OF	26	46	25	16	5	.891						
2013	1	wallacestatecommunitycollegehancevil	16	joeklepacmckf	Joe Klepac	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/joeklepacmckf	So	OF	21	23	21	2	0	1.000						
2013	1	wallacestatecommunitycollegehancevil	14	andrewsmith5m6k	Andrew Smith	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/andrewsmith5m6k	So	OF	16	18	17	1	0	1.000						
2013	1	wallacestatecommunitycollegehancevil	5	samayerskb3r	Sam Ayers	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/samayerskb3r	Fr	INF	15	44	11	25	8	.818	5					
2013	1	wallacestatecommunitycollegehancevil	23	alexhegnerglrb	Alex Hegner	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/alexhegnerglrb	So	P	11	20	8	12	0	1.000						
2013	1	wallacestatecommunitycollegehancevil	6	turnerwatkinsldrw	Turner Watkins	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/turnerwatkinsldrw	Fr	P	7	17	4	6	7	.588						
2013	1	wallacestatecommunitycollegehancevil	20	hunterbelue685u	Hunter Belue	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/hunterbelue685u	Fr	P	8	3	2	1	0	1.000						
2013	1	wallacestatecommunitycollegehancevil	29	chadsmithu9ug	Chad Smith	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/chadsmithu9ug	Fr	P	11	9	2	7	0	1.000						
2013	1	wallacestatecommunitycollegehancevil	27	izaacyarbrough4qrk	Izaac Yarbrough	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/izaacyarbrough4qrk	So	P	1	2	2	0	0	1.000						
2013	1	wallacestatecommunitycollegehancevil	30	coltoncampbellssqi	Colton Campbell	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coltoncampbellssqi	Fr	P	11	7	1	5	1	.857						
2013	1	wallacestatecommunitycollegehancevil	12	lanemeyer0xg8	Lane Meyer	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/lanemeyer0xg8	Fr	P	16	8	1	6	1	.875		4	1	.200		
2013	1	wallacestatecommunitycollegehancevil	24	garrettsucheydt76	Garrett Suchey	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/garrettsucheydt76	Fr	C/P	11	10	1	7	2	.800		1				
2013	1	wallacestatecommunitycollegehancevil	22	baileychessereoyz	Bailey Chesser	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/baileychessereoyz	Fr	P	9	2	0	2	0	1.000						
2013	1	wallacestatecommunitycollegehancevil	15	landonhughespjt0	Landon Hughes	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/landonhughespjt0	Fr	P	11	1	0	1	0	1.000						
2013	1	wallacestatecommunitycollegehancevil	25	wesleywatersskes	Wesley Waters	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/wesleywatersskes	Fr	P	7	1	0	1	0	1.000						
2013	2	madisoncollege	2	danschmidtudn8	Dan Schmidt	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/danschmidtudn8	So	OF/1B/P	21	101	89	11	1	.990	3	2	1	.333		
2013	2	madisoncollege	5	joestubbep13e	Joe Stubbe	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/joestubbep13e	So	C	16	90	78	10	2	.978		10	4	.286	9	
2013	2	madisoncollege	34	mikejordahl7jvo	Mike Jordahl	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/mikejordahl7jvo	Fr	C/1B	15	53	50	1	2	.962	3					
2013	2	madisoncollege	9	dannykrausee4x1	Danny Krause	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/dannykrausee4x1	So	C/IF	16	67	46	18	3	.955	5	17	1	.056	8	
2013	2	madisoncollege	28	keithbrowning98ud	Keith Browning	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/keithbrowning98ud	Fr	OF	20	35	34	1	0	1.000	1					
2013	2	madisoncollege	20	lukesyensimz6	Luke Syens	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/lukesyensimz6	So	OF/P	18	29	26	3	0	1.000						
2013	2	madisoncollege	30	davidlucianiwdsv	David Luciani	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/davidlucianiwdsv	So	IF/OF/C	6	30	25	2	3	.900						
2013	2	madisoncollege	1	samhurtac7g	Sam Hurt	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/samhurtac7g	Fr	IF	19	57	22	26	9	.842	3					
2013	2	madisoncollege	10	liamkellogg6kir	Liam Kellogg	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/liamkellogg6kir	Fr	IF/C	12	28	22	6	0	1.000		2			3	
2013	2	madisoncollege	22	courtneywatkinsabug	Courtney Watkins	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/courtneywatkinsabug	Fr	OF	22	25	21	2	2	.920						
2013	2	madisoncollege	7	brandongibisv5o6	Brandon Gibis	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/brandongibisv5o6	Fr	IF/P	19	46	17	23	6	.870	1					
2013	2	madisoncollege	21	mattcolel18d	Matt Cole	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/mattcolel18d	Fr	1B/OF	16	16	15	0	1	.938						
2013	2	madisoncollege	4	lukeyapptfro	Luke Yapp	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/lukeyapptfro	Fr	3B/1B	15	40	11	22	7	.825						
2013	2	madisoncollege	23	dylandetert9piv	Dylan Detert	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/dylandetert9piv	So	IF	12	18	7	9	2	.889	1					
2013	2	madisoncollege	3	petehofmaneg7i	Pete Hofman	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/petehofmaneg7i	Fr	IF	12	38	7	19	12	.684	2					
2013	2	madisoncollege	16	grantaldermanuzpy	Grant Alderman	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/grantaldermanuzpy	Fr	OF	11	6	4	0	2	.667						
2013	2	madisoncollege	6	coreyfischerzwx2	Corey Fischer	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/coreyfischerzwx2	So	P	3	4	2	2	0	1.000		7				
2013	2	madisoncollege	32	travishamiltono85u	Travis Hamilton	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/travishamiltono85u	Fr	IF	8	4	2	1	1	.750						
2013	2	madisoncollege	15	rexmorrownpn8	Rex Morrow	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/rexmorrownpn8	So	P/IF	4	12	2	9	1	.917		4	1	.200		
2013	2	madisoncollege	13	carterbrekkeofb0	Carter Brekke	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/carterbrekkeofb0	Fr	3B	4	3	1	2	0	1.000						
2013	2	madisoncollege	8	kylekringsfefp	Kyle Krings	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kylekringsfefp	So	P	2	4	1	3	0	1.000	1	2				
2013	2	madisoncollege	24	marcellussneed7pgp	Marcellus Sneed	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/marcellussneed7pgp	Fr	P	3	3	1	2	0	1.000		1	1	.500		
2013	2	madisoncollege	18	ryneblanton7zrb	Ryne Blanton	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/ryneblanton7zrb	Fr	P	6	1	0	1	0	1.000		2				
2013	2	madisoncollege	12	dominickgolubiewskisnb8	Dominick Golubiewski	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/dominickgolubiewskisnb8	Fr	P	4	3	0	2	1	.667		1	1	.500		
2013	2	madisoncollege	29	nathanhoffmannd1yh	Nathan Hoffmann	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/nathanhoffmannd1yh	So	P	5	2	0	2	0	1.000						
2013	2	madisoncollege	44	michaelpleimlingugys	Michael Pleimling	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/michaelpleimlingugys	Fr	P	7	3	0	3	0	1.000		2				
2013	2	madisoncollege	11	calenrohrmanwy0o	Calen Rohrman	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/calenrohrmanwy0o	So	P	5	3	0	3	0	1.000		5	1	.167		
2013	2	madisoncollege	17	petersommerfeldepyt	Peter Sommerfeld	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/petersommerfeldepyt	Fr	P	3	0	0	0	0			1				
2013	2	madisoncollege	19	westinwuethrichwhyk	Westin Wuethrich	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/westinwuethrichwhyk	Fr	P	3	3	0	3	0	1.000		2	2	.500		
2014	1	mccookcommunitycollege	11	mikedeherrera0z7a	Mike DeHerrera	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/mikedeherrera0z7a	So	C	16	117	108	8	1	.991	1	11	5	.312	2	
2014	1	mccookcommunitycollege	9	raulmaldondokcch	Raul Maldondo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/raulmaldondokcch	So	C	17	75	59	15	1	.987	2	14	12	.462	2	1
2014	1	mccookcommunitycollege	5	jasonlighthalln8os	Jason Lighthall	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jasonlighthalln8os	Fr	RHP/IB	19	65	58	6	1	.985	2					
2014	1	mccookcommunitycollege	28	mannymenocalcd6x	Manny Menocal	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/mannymenocalcd6x	So	INF	20	84	43	38	3	.964	5					
2014	1	mccookcommunitycollege	1	jordyncompehosfkyn	Jordyn Compehos	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jordyncompehosfkyn	Fr	INF	19	86	30	44	12	.860	9					
2014	1	mccookcommunitycollege	18	derrondavisc1y3	Derron Davis	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/derrondavisc1y3	Fr	OF	18	35	26	5	4	.886						
2014	1	mccookcommunitycollege	3	derekdithomas2sut	Derek DiThomas	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/derekdithomas2sut	So	INF	18	40	26	11	3	.925	1					
2014	1	mccookcommunitycollege	20	matthewzarlengogq0u	Matthew Zarlengo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/matthewzarlengogq0u	So	1B	7	23	20	3	0	1.000	2					
2014	1	mccookcommunitycollege	2	caseyphilpotbf93	Casey Philpot	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/caseyphilpotbf93	So	UTL	21	54	16	30	8	.852						
2014	1	mccookcommunitycollege	4	ethanfreeman54mt	Ethan Freeman	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/ethanfreeman54mt	So	OF	17	16	15	1	0	1.000						
2014	1	mccookcommunitycollege	27	justinterry52ol	Justin Terry	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/justinterry52ol	So	OF	19	17	12	2	3	.824						
2014	1	mccookcommunitycollege	26	tysackettwa9i	Ty Sackett	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/tysackettwa9i	Fr	UTL	7	6	5	1	0	1.000						
2014	1	mccookcommunitycollege	8	nicklowoyt4	Nick Low	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/nicklowoyt4	Fr	RHP/OF	8	5	2	3	0	1.000						
2014	1	mccookcommunitycollege	6	chaseclearyfy7t	Chase Cleary	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/chaseclearyfy7t	Fr	RHP	5	12	1	11	0	1.000						
2014	1	mccookcommunitycollege	15	barrylasseigneqfco	Barry Lasseigne	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/barrylasseigneqfco	Fr	RHP	5	2	1	1	0	1.000		2	1	.333		
2014	1	mccookcommunitycollege	22	graysonstroup7wyp	Grayson Stroup	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/graysonstroup7wyp	Fr	RHP/C	6	2	1	1	0	1.000		1	1	.500		
2014	1	mccookcommunitycollege	24	tylerbarnes2q3a	Tyler Barnes	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/tylerbarnes2q3a	So	RHP	5	2	0	2	0	1.000	1					
2014	1	mccookcommunitycollege	12	danielbrownzlzr	Daniel Brown	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/danielbrownzlzr	Fr	RHP	3	2	0	2	0	1.000						
2014	1	mccookcommunitycollege	35	chrisconroy3jq9	Chris Conroy	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/chrisconroy3jq9	So	RHP	1	0	0	0	0							
2014	1	mccookcommunitycollege	17	griffinkellyq45w	Griffin Kelly	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/griffinkellyq45w	Fr	INF	7	0	0	0	0							
2014	1	mccookcommunitycollege	25	shanemeltzjacp	Shane Meltz	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/shanemeltzjacp	Fr	RHP	5	2	0	2	0	1.000	1	2				
2014	1	mccookcommunitycollege	10	lincolnpeterson4qr4	Lincoln Peterson	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/lincolnpeterson4qr4	Fr	RHP	7	1	0	1	0	1.000			1	1.000		
2014	1	mccookcommunitycollege	30	djwilliamshcck	D.J. Williams	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/djwilliamshcck	Fr	C	3	0	0	0	0							
2014	1	mccookcommunitycollege	23	kylewoodwardeszd	Kyle Woodward	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kylewoodwardeszd	Fr	RHP	2	0	0	0	0			1				
2014	1	whartoncountyjuniorcollege	24	jdarrowoodhxy2	J.D. Arrowood	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jdarrowoodhxy2	So	Inf	39	348	326	19	3	.991	20					
2014	1	whartoncountyjuniorcollege	1	jakemarlerkzo1	Jake Marler	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jakemarlerkzo1	So	OF	35	77	67	7	3	.961						
2014	1	whartoncountyjuniorcollege	22	lukemezauucp	Luke Meza	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/lukemezauucp	Fr	C	24	77	67	8	2	.974		11	2	.154	3	
2014	1	whartoncountyjuniorcollege	12	robertheep14vu	Robert Heep	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/robertheep14vu	So	OF	36	67	62	2	3	.955						
2014	1	whartoncountyjuniorcollege	5	loganhowardo453	Logan Howard	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/loganhowardo453	So	Inf	39	142	59	75	8	.944	14					
2014	1	whartoncountyjuniorcollege	10	nathandominguezbaez7a21	Nathan Dominguez-Baez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/nathandominguezbaez7a21	So	Inf	32	163	46	99	18	.890	16					
2014	1	whartoncountyjuniorcollege	27	anthonyreedxkra	Anthony Reed	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/anthonyreedxkra	Fr	OF	30	42	42	0	0	1.000						
2014	1	whartoncountyjuniorcollege	20	jesusrendonysnx	Jesus Rendon	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jesusrendonysnx	So	C	13	45	40	5	0	1.000		5	1	.167		
2014	1	whartoncountyjuniorcollege	31	clintjohnson6uoo	Clint Johnson	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/clintjohnson6uoo	Fr	C	17	39	35	4	0	1.000		8	3	.273	1	
2014	1	whartoncountyjuniorcollege	18	travisdominguezbeab	Travis Dominguez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/travisdominguezbeab	So	RHP/C	15	40	33	7	0	1.000		9	4	.308		
2014	1	whartoncountyjuniorcollege	14	andrewcruzry3a	Andrew Cruz	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/andrewcruzry3a	So	Inf	26	79	31	42	6	.924	7					
2014	1	whartoncountyjuniorcollege	39	colehickspgnf	Cole Hicks	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/colehickspgnf	Fr	Inf	7	37	29	3	5	.865	3					
2014	1	whartoncountyjuniorcollege	13	jordanluckskupp	Jordan Lucks	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jordanluckskupp	Fr	OF	22	33	25	5	3	.909						
2014	1	whartoncountyjuniorcollege	29	efrengarciagien	Efren Garcia	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/efrengarciagien	Fr	Inf	34	87	22	53	12	.862	4					
2014	1	whartoncountyjuniorcollege	2	dariuspattont5eb	Darius Patton	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/dariuspattont5eb	Fr	OF	14	13	13	0	0	1.000						
2014	1	whartoncountyjuniorcollege	42	connerparkeru1pl	Conner Parker	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/connerparkeru1pl	Fr	OF	17	14	12	0	2	.857						
2014	1	whartoncountyjuniorcollege	34	sokeagbulokwu2srw	Soke Agbulokwu	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/sokeagbulokwu2srw	Fr	OF	18	9	7	1	1	.889						
2014	1	whartoncountyjuniorcollege	15	austinzillwegerfehv	Austin Zillweger	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/austinzillwegerfehv	So	Inf	5	16	6	10	0	1.000	1					
2014	1	whartoncountyjuniorcollege	11	willblanchardjz49	Will Blanchard	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/willblanchardjz49	Fr	LHP	10	23	5	17	1	.957						
2014	1	whartoncountyjuniorcollege	33	blainbagleyuark	Blain Bagley	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/blainbagleyuark	So	LHP	17	12	4	8	0	1.000						
2014	1	whartoncountyjuniorcollege	25	jtjakubikldnb	JT Jakubik	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jtjakubikldnb	Fr	RHP	11	9	4	5	0	1.000	1	4	1	.200		
