year	division_id	school_id	uniform_number	player_id	player_name	player_url	class_year	position	g	tc	po	a	e	fpct	dp	sba	rcs	rcs_percent	pb	ci
2014	1	lakelandcollege	7	nickwilsonhkva	Nick Wilson	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/nickwilsonhkva	Fr	RHP	10	4	1	3	0	1.000						
2014	1	lakelandcollege	21	calvinbertrandngqn	Calvin Bertrand	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/calvinbertrandngqn	Fr	LHP	9	3	0	1	2	.333		2				
2014	1	lakelandcollege	3	joshmandalakes7xn3	Josh Mandalakes	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/joshmandalakes7xn3	So	RHP	6	1	0	1	0	1.000						
2014	1	lakelandcollege	12	loganrippy2d4g	Logan Rippy	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/loganrippy2d4g	Fr	RHP	9	3	0	3	0	1.000						
2014	1	lakelandcollege	15	mattwalsh02w1	Matt Walsh	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/mattwalsh02w1	Fr	INF	20	0	0	0	0							
2013	2	kankakeecommunitycollege	30	zachbarkdulltqd7	Zach Barkdull	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/zachbarkdulltqd7	So	C/1B	30	174	159	12	3	.983						
2013	2	kankakeecommunitycollege	9	nickulrey6n4l	Nick Ulrey	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/nickulrey6n4l	Fr	C/OF	29	86	76	7	3	.965						
2013	2	kankakeecommunitycollege	13	johnmclaughlinf1mx	John McLaughlin	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/johnmclaughlinf1mx	So	C/3B	29	81	68	8	5	.938					1	
2013	2	kankakeecommunitycollege	27	kjeldtorkelsonbe3i	Kjeld Torkelson	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kjeldtorkelsonbe3i	So	OF	30	66	61	4	1	.985						
2013	2	kankakeecommunitycollege	25	ericphillis223k	Eric Phillis	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/ericphillis223k	So	OF	30	58	52	3	3	.948						
2013	2	kankakeecommunitycollege	14	kalvinthongchamleunsouk567h	Kalvin Thongchamleunsouk	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kalvinthongchamleunsouk567h	So	INF	28	104	50	51	3	.971	1					
2013	2	kankakeecommunitycollege	7	jeffcardenasl6px	Jeff Cardenas	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/jeffcardenasl6px	Fr	INF	30	135	40	83	12	.911						
2013	2	kankakeecommunitycollege	15	jacoblaneli4y	Jacob Lane	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/jacoblaneli4y	Fr	1B/RHP	17	41	40	1	0	1.000						
2013	2	kankakeecommunitycollege	1	cullywilsond8ba	Cully Wilson	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/cullywilsond8ba	So	OF	24	24	24	0	0	1.000						
2013	2	kankakeecommunitycollege	11	ryanmontcalmph13	Ryan Montcalm	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/ryanmontcalmph13	So	INF	30	72	18	46	8	.889						
2013	2	kankakeecommunitycollege	29	michaelkendrickbsnt	Michael Kendrick	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/michaelkendrickbsnt	Fr	INF	16	30	12	16	2	.933						
2013	2	kankakeecommunitycollege	5	tylerknightiwno	Tyler Knight	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tylerknightiwno	So	OF	22	11	11	0	0	1.000						
2013	2	kankakeecommunitycollege	19	tylorhedgegg79	Tylor Hedge	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tylorhedgegg79	So	OF	14	8	7	0	1	.875						
2013	2	kankakeecommunitycollege	31	zachrappllt1	Zach Rapp	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/zachrappllt1	Fr	C	11	7	7	0	0	1.000						
2013	2	kankakeecommunitycollege	10	treyhannamj673	Trey Hannam	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/treyhannamj673	Fr	OF	13	6	5	0	1	.833						
2013	2	kankakeecommunitycollege	39	alexbullardvhxq	Alex Bullard	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/alexbullardvhxq	So	RHP	7	9	4	3	2	.778						
2013	2	kankakeecommunitycollege	33	tylersabolw0xx	Tyler Sabol	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/tylersabolw0xx	So	RHP	6	10	2	6	2	.800						
2013	2	kankakeecommunitycollege	3	kylepool01oi	Kyle Pool	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/kylepool01oi	So	RHP	7	6	1	4	1	.833						
2013	2	kankakeecommunitycollege	41	scottrunyanj9pj	Scott Runyan	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/scottrunyanj9pj	Fr	RHP	4	1	1	0	0	1.000						
2013	2	kankakeecommunitycollege	44	adamslagerhggu	Adam Slager	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/adamslagerhggu	Fr	RHP	8	1	1	0	0	1.000						
2013	2	kankakeecommunitycollege	21	joestukenborgm33r	Joe Stukenborg	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/joestukenborgm33r	Fr	INF	16	5	1	3	1	.800						1
2013	2	kankakeecommunitycollege	45	jimmybrandtwv5j	Jimmy Brandt	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/jimmybrandtwv5j	Fr	LHP	5	3	0	3	0	1.000						
2013	2	kankakeecommunitycollege	35	henrygerritsonb80q	Henry Gerritson	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/henrygerritsonb80q	Fr	LHP	9	0	0	0	0							
2013	2	kankakeecommunitycollege	49	coriherbertw8no	Cori Herbert	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/coriherbertw8no	So	RHP	6	7	0	6	1	.857						
2013	2	kankakeecommunitycollege	47	lukejarvisl1zq	Luke Jarvis	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/lukejarvisl1zq	So	LHP	6	10	0	8	2	.800						
2013	2	kankakeecommunitycollege	37	thomaswolgemuthir43	Thomas Wolgemuth	http://stats.njcaa.org/sports/bsb/2013-14/div2/players/thomaswolgemuthir43	Fr	RHP	4	1	0	1	0	1.000						
2013	1	asacollege	44	jimtollepfid	Jim Tolle	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jimtollepfid	So	C	22	164	154	10	0	1.000		15	5	.250	1	
2013	1	asacollege	17	wandergermoso9sdp	Wander Germoso	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/wandergermoso9sdp	Fr	1B	17	73	67	5	1	.986						
