year	division_id	school_id	roster_url	original_filename	saved_filename	content_disposition	meta
2014	1	lakelandcollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=sef1i4y2cly209y0&view=exte	LAKELAND.TRX	lakelandcollege-1-2014.trx	"attachment; filename=""LAKELAND.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:52 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""LAKELAND.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""2650"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	1	asacollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=3tmkqa6fsgdpzna2&view=exte	ASACOLLE.TRX	asacollege-1-2013.trx	"attachment; filename=""ASACOLLE.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:52 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""ASACOLLE.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""3604"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	3	brookhavencollege	http://stats.njcaa.org/sports/bsb/2013-14/div3/players?teamId=3ozleg32xqd724d9&view=ext	BROOKHAV.TRO	brookhavencollege-3-2013.tro	"attachment; filename=""BROOKHAV.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:52 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""BROOKHAV.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""651"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	2	lakelandcommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=b4y8ugtgi94spwi3&view=ext	LAKELAND.TRO	lakelandcommunitycollege-2-2014.tro	"attachment; filename=""LAKELAND.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:54 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""LAKELAND.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""462"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	2	lakelandcommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=b4y8ugtgi94spwi3&view=exte	LAKELAND.TRX	lakelandcommunitycollege-2-2014.trx	"attachment; filename=""LAKELAND.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:54 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""LAKELAND.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""2332"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	2	kelloggcommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=q8cf6ijdlf283dzr&view=ext	KELLOGGC.TRO	kelloggcommunitycollege-2-2013.tro	"attachment; filename=""KELLOGGC.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:55 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""KELLOGGC.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""567"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	1	threeriverscommunitycollegemo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=43i9wk22pfc4f160&view=ext	THREERIV.TRO	threeriverscommunitycollegemo-1-2013.tro	"attachment; filename=""THREERIV.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:54 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""THREERIV.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""672"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	1	kishwaukeecollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=tw7a6sqsw6sjqrt6&view=ext	KISHWAUK.TRO	kishwaukeecollege-1-2013.tro	"attachment; filename=""KISHWAUK.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:55 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""KISHWAUK.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""567"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	alvincommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=mm5966tsld0kp74y&view=ext	ALVINCOM.TRO	alvincommunitycollege-1-2014.tro	"attachment; filename=""ALVINCOM.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:56 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""ALVINCOM.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""525"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	2	kelloggcommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=q8cf6ijdlf283dzr&view=exte	KELLOGGC.TRX	kelloggcommunitycollege-2-2013.trx	"attachment; filename=""KELLOGGC.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:55 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""KELLOGGC.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""2862"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	1	threeriverscommunitycollegemo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=43i9wk22pfc4f160&view=exte	THREERIV.TRX	threeriverscommunitycollegemo-1-2013.trx	"attachment; filename=""THREERIV.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:55 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""THREERIV.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""3392"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	volunteerstatecommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=fal66vmvwn8asw0f&view=ext	VOLUNTEE.TRO	volunteerstatecommunitycollege-1-2014.tro	"attachment; filename=""VOLUNTEE.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:56 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""VOLUNTEE.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""567"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	1	kishwaukeecollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=tw7a6sqsw6sjqrt6&view=exte	KISHWAUK.TRX	kishwaukeecollege-1-2013.trx	"attachment; filename=""KISHWAUK.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:56 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""KISHWAUK.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""2862"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	lakesumterstatecollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=zmozoufedzn8dc27&view=ext	LAKESUMT.TRO	lakesumterstatecollege-1-2014.tro	"attachment; filename=""LAKESUMT.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:56 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""LAKESUMT.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""504"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	alvincommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=mm5966tsld0kp74y&view=exte	ALVINCOM.TRX	alvincommunitycollege-1-2014.trx	"attachment; filename=""ALVINCOM.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:56 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""ALVINCOM.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""2650"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	volunteerstatecommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=fal66vmvwn8asw0f&view=exte	VOLUNTEE.TRX	volunteerstatecommunitycollege-1-2014.trx	"attachment; filename=""VOLUNTEE.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:56 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""VOLUNTEE.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""2862"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	lakesumterstatecollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=zmozoufedzn8dc27&view=exte	LAKESUMT.TRX	lakesumterstatecollege-1-2014.trx	"attachment; filename=""LAKESUMT.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:57 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""LAKESUMT.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""2544"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	3	brookhavencollege	http://stats.njcaa.org/sports/bsb/2013-14/div3/players?teamId=3ozleg32xqd724d9&view=exte	BROOKHAV.TRX	brookhavencollege-3-2013.trx	"attachment; filename=""BROOKHAV.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:55 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""BROOKHAV.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""3286"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	3	ccofalleghenycountyboyce	http://stats.njcaa.org/sports/bsb/2013-14/div3/players?teamId=f6fn9n4cosj3qznv&view=ext	UNKNOWN.TRO	ccofalleghenycountyboyce-3-2014.tro	"attachment; filename=""UNKNOWN.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:57 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""UNKNOWN.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""0"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	2	lansingcommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=z039zyy24thk9u62&view=ext	LANSINGC.TRO	lansingcommunitycollege-2-2014.tro	"attachment; filename=""LANSINGC.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:58 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""LANSINGC.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""462"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	2	lansingcommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=z039zyy24thk9u62&view=exte	LANSINGC.TRX	lansingcommunitycollege-2-2014.trx	"attachment; filename=""LANSINGC.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:58 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""LANSINGC.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""2332"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	1	abrahambaldwinagriculturalcollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=21b8wwb7tt93eab7&view=ext	ABRAHAMB.TRO	abrahambaldwinagriculturalcollege-1-2013.tro	"attachment; filename=""ABRAHAMB.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:59 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""ABRAHAMB.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""567"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	1	abrahambaldwinagriculturalcollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=21b8wwb7tt93eab7&view=exte	ABRAHAMB.TRX	abrahambaldwinagriculturalcollege-1-2013.trx	"attachment; filename=""ABRAHAMB.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:55:00 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""ABRAHAMB.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""2862"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	1	trinidadstatejuniorcollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=i0l677w9tuayazh6&view=ext	TRINIDAD.TRO	trinidadstatejuniorcollege-1-2013.tro	"attachment; filename=""TRINIDAD.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:59 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""TRINIDAD.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""588"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	2	kirkwoodcommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=kszup8bg1w4tium3&view=ext	KIRKWOOD.TRO	kirkwoodcommunitycollege-2-2013.tro	"attachment; filename=""KIRKWOOD.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:55:00 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""KIRKWOOD.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""630"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	wabashvalleycollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=o542z282vclfcdhl&view=ext	WABASHVA.TRO	wabashvalleycollege-1-2014.tro	"attachment; filename=""WABASHVA.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:55:01 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""WABASHVA.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""714"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	1	labettecommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=5mqfbufqyzkku4ym&view=ext	LABETTEC.TRO	labettecommunitycollege-1-2013.tro	"attachment; filename=""LABETTEC.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:55:00 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""LABETTEC.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""693"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	1	trinidadstatejuniorcollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=i0l677w9tuayazh6&view=exte	TRINIDAD.TRX	trinidadstatejuniorcollege-1-2013.trx	"attachment; filename=""TRINIDAD.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:55:01 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""TRINIDAD.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""2968"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	andrewcollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=uangdo8kcuhhzxtr&view=ext	ANDREWCO.TRO	andrewcollege-1-2014.tro	"attachment; filename=""ANDREWCO.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:55:01 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""ANDREWCO.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""525"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	2	kirkwoodcommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=kszup8bg1w4tium3&view=exte	KIRKWOOD.TRX	kirkwoodcommunitycollege-2-2013.trx	"attachment; filename=""KIRKWOOD.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:55:01 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""KIRKWOOD.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""3180"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	3	ccofalleghenycountyboyce	http://stats.njcaa.org/sports/bsb/2013-14/div3/players?teamId=f6fn9n4cosj3qznv&view=exte	UNKNOWN.TRX	ccofalleghenycountyboyce-3-2014.trx	"attachment; filename=""UNKNOWN.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:58 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""UNKNOWN.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""0"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
