rk,school,div,str,park,ofs,dfs,sos
806,Bethany Lutheran,D3,0.332,1.048,0.837,1.017,0.578
808,Keene St.,D3,0.331,1.031,1.071,1.302,0.718
809,NYIT,D1,0.326,0.940,0.510,1.562,0.895
810,Albany St. (GA),D2,0.325,1.073,0.781,1.412,0.724
810,Southwest Minn. St.,D2,0.325,0.919,0.655,1.184,0.748
812,Ripon,D3,0.324,1.034,0.942,1.171,0.682
812,Eastern,D3,0.324,1.120,1.035,1.290,0.653
814,Elmira,D3,0.323,1.031,0.877,1.093,0.631
814,Carleton,D3,0.323,0.919,0.810,1.013,0.711
816,Schreiner,D3,0.322,1.079,0.921,1.154,0.736
816,Beloit,D3,0.322,0.987,0.948,1.187,0.653
818,Paine,D2,0.321,1.055,0.770,1.411,0.620
819,Old Westbury,D3,0.320,0.885,1.023,1.287,0.603
820,FDU-Florham,D3,0.319,0.999,1.035,1.307,0.668
821,Bentley,D2,0.317,0.958,0.641,1.190,0.755
821,Muhlenberg,D3,0.317,1.197,0.699,0.889,0.674
823,Davis & Elkins,D2,0.316,0.976,0.681,1.268,0.734
824,Wis.-Stout,D3,0.315,1.140,0.754,0.963,0.747
824,Keuka,D3,0.315,1.087,0.965,1.232,0.551
826,Tuskegee,D2,0.314,1.006,0.794,1.488,0.643
827,Lesley ,D3,0.311,0.901,0.787,1.019,0.590
827,St. Mary's (MD),D3,0.311,0.901,0.869,1.127,0.703
829,Kentucky St.,D2,0.310,1.050,0.799,1.515,0.654
829,Transylvania,D3,0.310,1.079,0.887,1.152,0.685
831,Marian (WI),D3,0.309,1.036,0.905,1.182,0.666
831,Muskingum,D3,0.309,0.932,0.836,1.090,0.699
833,Grove City,D3,0.308,1.118,0.715,0.937,0.638
834,Brevard,D2,0.307,1.089,0.757,1.447,0.820
835,Manhattanville,D3,0.305,1.032,0.855,1.130,0.616
835,Worcester St.,D3,0.305,1.032,0.866,1.144,0.706
835,Lancaster Bible,D3,0.305,0.980,0.945,1.248,0.531
838,USciences,D2,0.303,0.995,0.641,1.243,0.746
839,Emerson,D3,0.302,0.855,0.759,1.012,0.651
840,Bethany (WV),D3,0.300,1.073,0.806,1.085,0.619
840,Dominican (IL),D3,0.300,1.014,0.813,1.093,0.635
840,New England Col.,D3,0.300,1.086,0.727,0.976,0.595
840,Gordon,D3,0.300,0.867,0.898,1.205,0.709
844,Pitt.-Greensburg,D3,0.299,1.066,0.948,1.277,0.602
845,Delaware Valley,D3,0.297,1.027,0.950,1.287,0.605
846,Goldey-Beacom,D2,0.296,0.926,0.899,1.786,0.767
847,Saint Augustine's,D2,0.294,0.924,0.658,1.316,0.649
847,Northwestern Okla.,D2,0.294,1.078,0.656,1.309,0.765
849,Coast Guard,D3,0.292,0.874,0.925,1.276,0.698
849,Ozarks (AR),D3,0.292,1.205,0.894,1.233,0.712
849,Wilkes,D3,0.292,1.109,0.847,1.167,0.671
852,Oakland City,D2,0.289,1.043,0.733,1.493,0.822
853,Crown (MN),D3,0.286,1.105,0.794,1.120,0.536
853,Lewis & Clark,D3,0.286,0.951,0.877,1.235,0.752
855,Fitchburg St.,D3,0.285,0.996,0.806,1.139,0.643
856,Averett,D3,0.281,0.989,0.740,1.063,0.734
856,Lyndon St.,D3,0.281,1.056,0.705,1.010,0.611
858,Principia,D3,0.279,0.986,0.661,0.954,0.584
858,IIT,D3,0.279,0.958,0.928,1.340,0.638
860,Northland,D3,0.277,0.963,0.908,1.322,0.612
860,Carroll (WI),D3,0.277,1.243,0.957,1.391,0.695
860,Wis.-Superior,D3,0.277,0.956,0.853,1.243,0.652
863,Dallas,D3,0.276,0.917,0.708,1.035,0.723
863,UVa-Wise,D2,0.276,1.112,0.641,1.363,0.679
865,Bowdoin,D3,0.275,0.903,0.614,0.901,0.735
866,Cabrini,D3,0.274,1.032,0.888,1.306,0.624
867,Wis. Lutheran,D3,0.273,0.991,0.916,1.350,0.660
868,Hiram,D3,0.266,1.028,0.746,1.128,0.660
869,Brandeis,D3,0.265,0.996,0.581,0.886,0.801
869,Plattsburgh St.,D3,0.265,0.950,0.738,1.124,0.673
869,LeTourneau,D3,0.265,1.016,0.820,1.246,0.688
872,Southern Nazarene,D2,0.264,1.191,0.694,1.546,0.764
873,Vassar,D3,0.261,0.943,0.834,1.286,0.651
874,Utica,D3,0.260,1.087,0.900,1.395,0.604
875,Marywood,D3,0.259,0.941,0.850,1.325,0.619
876,Saint Vincent,D3,0.258,0.932,1.007,1.571,0.635
877,Albright,D3,0.255,1.010,0.646,1.019,0.718
878,Bard,D3,0.254,0.908,0.814,1.293,0.626
878,Minn.-Morris,D3,0.254,1.040,0.849,1.347,0.598
878,Elms,D3,0.254,0.979,0.767,1.216,0.620
881,Claflin,D2,0.251,1.043,0.840,1.967,0.675
881,Westminster (PA),D3,0.251,1.018,0.632,1.015,0.638
881,Pitt.-Bradford,D3,0.251,0.976,0.871,1.398,0.619
884,Wheeling Jesuit,D2,0.250,0.963,0.529,1.244,0.728
884,Houghton,D3,0.250,1.043,1.098,1.766,0.627
886,Olivet,D3,0.249,0.841,0.850,1.376,0.693
886,Me.-Farmington,D3,0.249,0.974,0.725,1.170,0.652
888,Simpson,D3,0.248,0.899,0.812,1.318,0.701
888,Eastern Nazarene,D3,0.248,0.884,0.773,1.257,0.657
890,Southern Va.,D3,0.244,1.256,0.825,1.362,0.691
891,Mount Aloysius,D3,0.240,1.039,0.783,1.318,0.624
892,Merchant Marine,D3,0.239,0.988,0.735,1.240,0.550
893,Medaille,D3,0.237,0.923,0.750,1.277,0.568
893,Newbury,D3,0.237,0.879,0.756,1.286,0.559
895,Lehman,D3,0.236,1.135,0.927,1.582,0.591
895,Hilbert,D3,0.236,1.097,0.862,1.473,0.578
897,Lawrence,D3,0.232,1.000,0.883,1.534,0.652
898,Morehouse,D2,0.230,1.236,0.685,1.751,0.629
899,Okla. Panhandle,D2,0.229,1.116,0.597,1.535,0.800
899,Saint Michael's,D2,0.229,1.046,0.720,1.845,0.733
901,Baruch,D3,0.228,0.966,0.621,1.098,0.563
901,Lakeland,D3,0.228,0.970,0.857,1.513,0.606
901,Norwich,D3,0.228,0.996,0.740,1.306,0.597
904,Austin,D3,0.224,1.006,0.876,1.578,0.705
904,Bluefield St.,D2,0.224,1.104,0.616,1.618,0.646
906,MCLA,D3,0.223,0.926,0.839,1.518,0.634
906,LeMoyne-Owen,D2,0.223,1.007,0.595,1.571,0.700
908,Penn St.-Altoona,D3,0.222,1.163,0.783,1.420,0.595
909,Clark Atlanta,D2,0.221,1.111,0.598,1.588,0.632
910,Albertus Magnus,D3,0.220,0.878,0.830,1.524,0.598
911,Wilmington (OH),D3,0.218,0.994,0.583,1.078,0.707
911,Salem Int'l,D2,0.218,1.046,0.689,1.855,0.692
913,John Jay,D3,0.216,0.975,0.812,1.515,0.527
914,Caltech,D3,0.215,1.092,0.630,1.180,0.750
914,Concordia (NY),D2,0.215,0.926,0.651,1.780,0.718
914,CCNY,D3,0.215,1.026,0.770,1.446,0.566
917,Lincoln (PA),D2,0.214,1.143,0.626,1.723,0.695
918,Southern Vt.,D3,0.205,0.990,0.678,1.336,0.612
919,Mt. St. Mary (NY),D3,0.204,0.990,0.748,1.476,0.590
920,Centenary (NJ),D3,0.201,0.942,0.650,1.301,0.702
921,Mt. St. Vincent,D3,0.199,0.912,0.840,1.699,0.558
922,Iowa Wesleyan,D3,0.194,0.939,0.752,1.567,0.650
923,SUNY Poly,D3,0.191,0.994,0.700,1.476,0.611
