FIRST ROUND (x-compensation pick)
1. Arizona, Dansby Swanson, SS, Vanderbilt.
265. Cincinnati, Sarkis Ohanian, RHP, Duke.
266. Miami, Reilly Hovis, RHP, North Carolina.
267. San Diego, Jerry Keel, LHP, CS Northridge.
268. Tampa Bay, Danny De La Calle, C, Florida St.
269. N.Y. Mets, Kevin Kaczmarski, OF, Evansville.
270. Atlanta, Taylor Lewis, RHP, Florida.
271. Milwaukee, Karsen Lindell, RHP, West Linn (Ore.) HS.
272. Toronto, Connor Panas, 3B, Canisius.
273. N.Y. Yankees, Ryan Krill, 1B, Michigan St.
274. Cleveland, Devon Stewart, RHP, Canisius.
275. Seattle, Conner Hale, 3B, LSU,
276. San Francisco, David Graybill, RHP, Arizona St.
277. Pittsburgh, Bret Helton, RHP, Utah.
278. Oakland, Jared Lyons, LHP, Liberty.
279. Kansas City, Joseph Markus, LHP, Indian River State College.
280. Detroit, Trey Teakell, RHP, TCU.
281. St. Louis, Andrew Brodbeck, 2B, Flagler.
282. L.A. Dodgers, Kevin Brown, RHP, Cal St. Dominguez Hills.
283. Baltimore, Jaylen Ferguson, CF, Arlington (Texas) HS.
284. Washington, David Kerian, 1B, Illinois.
285. L.A. Angels, Tanner Lubach, C, Nebraska.
10TH ROUND
286. Arizona, Joey Armstrong, CF, UNLV.
287. Colorado, Cole Anderson, CF, Rocky Mountain HS, Wellington, Colo.
288. Texas, Leon Byrd, SS, Rice.
289. Houston, Scott Weathersby, RHP, Mississippi.
290. Minnesota, Sean Miller, SS, SC-Aiken.
291. Boston, Mitchell Gunsolus, 3B, Gonzaga.
292. Chicago White Sox, Jackson Glines, CF, Michigan.
293. Chicago, Vimael Machin, SS, VCU.
294. Philadelphia, Joshua Tobias, 3B, Florida.
295. Cincinnati, Zach Shields, CF, UNC Wilmington.
296. Miami, Kelvin Rivas, RHP, Oklahoma Baptist.
297. San Diego, Justin Pacchioli, CF, Lehigh.
298. Tampa Bay, Sam Triece, RHP, Washington St.
299. N.Y. Mets, Witt Haggard, RHP, Delta St.
300. Atlanta, Stephen Moore, RHP, Navy.
301. Milwaukee, Jake Drossner, LHP, Maryland.
302. Toronto, Owen Spiwak, C, Odessa College.
303. N.Y. Yankees, James Reeves, LHP, The Citadel.
304. Cleveland, William Strode, LHP, Florida St.
305. Seattle, Darin Gillies, RHP, Arizona St.
306. San Francisco, Tyler Cyr, RHP, Embry-Riddle.
307. Pittsburgh, Logan Sendelbach, RHP, Tiffin.
308. Oakland, Steven Pallares, CF, San Diego St.
309. Kansas City, Alex Luna, RHP, UAB.
310. Detroit, Cole Bauml, CF, Northern Kentucky.
311. St. Louis, Kep Brown, RF, Wando HS, Mount Pleasant, S.C.
312. L.A. Dodgers, Logan Landon, CF, Texas-Pan American.
313. Baltimore, Reid Love, LHP, East Carolina.
314. Washington, Taylor Guilbeau, LHP, Alabama.
315. L.A. Angels, Adam Hofacket, RHP, California Baptist.
11TH ROUND
316. Arizona, Austin Byler, 1B, Nevada.
317. Colorado, Michael Zimmerman, LHP, Gulf Coast HS, Naples, Fla.
318. Texas, Scott Heineman, OF, Oregon.
319. Houston, Patrick Sandoval, LHP, Mission Viejo (Calif.) HS.
320. Minnesota, Kerby Camacho, C, Carlos Beltran Baseball Academy, Camuy, Puerto Rico.
321. Boston, Nicholos Hamilton, CF, Lockport (NY) HS.
322. Chicago White Sox, Danny Dopico, RHP, FIU.
323. Chicago Cubs, Matt Rose, 3B, Georgia St.
324. Philadelphia, Edgar Cabral, C, Mount San Antonio.
325. Cincinnati, Brantley Bell, SS, Florida Manatee-Sarasota.
326. Miami, Ryan McKay, RHP, Satellite HS, Merritt Island, Fla.
327. San Diego, Brett Kennedy, RHP, Fordham.
328. Tampa Bay, Ian Gibaut, RHP, Tulane.
329. N.Y. Mets, Jake Simon, LHP, Galveston (Texas) Ball.
330. Atlanta, Grayson Jones, RHP, Shelton State CC.
331. Milwaukee, Jose Cuas, SS, Maryland.
332. Toronto, Marrick Crouse, RHP, Dana Hills HS, Dana Point, Calif.
333. N.Y. Yankees, Joshua Rogers, LHP, Louisville.
334. Cleveland, Chandler Newman, RHP, Richmond Hill (Ga.) HS.
335. Seattle, Dylan Silva, LHP, Florida St.
336. San Francisco, C.J. Hinojosa, SS, Texas.
337. Pittsburgh, Christian Kelley, C, Cal Poly Pomona.
338. Oakland, James Terrell, OF, St. Patrick-St. Vincent HS, Vallejo, Calif.
339. Kansas City, Ben Johnson, OF, Texas.
340. Detroit, Jake Shull, RHP, Fresno St.
341. St. Louis, Paul Salazar, RHP, Lutheran South Academy, Pearland, Texas.
342. L.A. Dodgers, Imani Abdullah, RHP, Madison HS, San Diego.
343. Baltimore, Ryan Meisinger, RHP, Radford.
344. Washington, Andrew Lee, RHP, Tennessee.
345. L.A. Angels, Jimmy Barnes, LF, Deep Creek Senior HS, Chesapeake, Va.
12TH ROUND
346. Arizona, Wesley Rodriguez, RHP, George Washington HS, Bronx, N.Y.
347. Colorado, Justin Lawrence, RHP, Daytona St.
348. Texas, Ledarious Clark, CF, West Florida.
349. Houston, Myles Straw, CF, St. Johns River State College.
350. Minnesota, Alexander Wiel, 1B, Vanderbilt.
351. Boston, Kevin Kelleher, RHP, New Orleans.
352. Chicago White Sox, Seby Zavala, C, San Diego St.
353. Chicago Cubs, P.J. Higgins, 2B, Old Dominion.
354. Philadelphia, Skylar Hunter, RHP, The Citadel.
355. Cincinnati, Alexis Diaz, RHP, Juan Jose Maunez HS, Naguabo, Puerto Rico
356. Miami, Terry Bennett, CF, Atlantic Coast HS, Jacksonville..
357. San Diego, Peter Van Gansen, SS, Cal Poly.
358. Tampa Bay, David Olmedo-Barrera, OF, Cal St. Fullerton.
359. N.Y. Mets, Joe Shaw, RHP, Dallas Baptist.
360. Atlanta, Justin Ellison, CF, Western Oklahoma State.
361. Milwaukee, Drake Owenby, LHP, Tennessee.
362. Toronto, Dj McKnight, OF, Tallahassee CC.
363. N.Y. Yankees, Terrance Robertson, CF, Valley Vista HS, El Mirage, Ariz.
364. Cleveland, Ryan Perez, LHP, Judson U.
365. Seattle, Logan Taylor, 3B, Texas A&M.
366. San Francisco, Hector Santiago, SS, Colegio Nuestra Senora De Belen, San Juan, Puerto Rico.
367. Pittsburgh, Ty Moore, RF, UCLA.
368. Oakland, Chris Iriart, 1B, Houston.
369. Kansas City, Daniel Concepcion, RHP, VCXU.
370. Detroit, Kyle Dowdy, RHP, Houston.
371. St. Louis, Jacob Schlesener, LHP, Logan-Rogersville HS, Rogersville, Mo.
372. L.A. Dodgers, Matthew Beaty, C, Belmont.
373. Baltimore, Robert Strader, LHP, Louisville.
374. Washington, Tommy Peterson, RHP, South Florida.
375. L.A. Angels, Dalton Blumenfeld, C, Hamilton HS, Los Angeles.
13TH ROUND
376. Arizona, Jason Morozowski, CF, Mount Olive.
377. Colorado, Mylz Jones, SS, Cal St. Bakersfield.
378. Texas, Curtis Terry, 1B, Archer HS, Snellville, Ga.
379. Houston, Kevin McCanna, RHP, Rice.
380. Minnesota, Cody Stashak, RHP, St. John's.
381. Boston, Matt Kent, LHP, Texas A&M.
382. Chicago White Sox, Ryan Riga, LHP, Ohio St.
383. Chicago Cubs, Kyle Twomey, LHP, Southern Cal.
384. Philadelphia, Zack Coppola, CF, South Dakota St.
385. Cincinnati, Andrew Jordan, RHP, Hunter Huss HS, Gastonia, N.C.
386. Miami, RJ Peace, RHP, Serrano HS, Wrightwood, Calif.
387. San Diego, William Headean, LHP, Illinois St.
388. Tampa Bay, Nicholas Padilla, RHP, Grayson County College.
389. N.Y. Mets, Pj Conlon, LHP, San Diego.
390. Atlanta, Chase Johnson-Mullins, LHP, Shelton State CC.
391. Milwaukee, Max McDowell, C, UConn.
392. Toronto, Daniel Perry, SS, Lassen HS, Susanville, Calif.
393. N.Y. Yankees, Trey Amburgey, CF, St. Petersburg College.
394. Cleveland, Daniel Salters, C, Dallas Baptist.
395. Seattle, Matt Clancy, LHP, St. John's.
396. San Francisco, Matt Pope, RHP, Walters State CC.
397. Pittsburgh, Logan Ratledge, SS, NC State.
398. Oakland, Brett Siddall, RF, Canisius.
399. Kansas City, Travis Maezes, SS, Michigan.
400. Detroit, Josh Lester, 3B, Missouri.
401. St. Louis, Craig Aikin, CF, Oklahoma.
402. L.A. Dodgers, Michael Boyle, LHP, Radford.
403. Baltimore, Cedric Mullins, CF, Campbell.
404. Washington, Max Schrock, 2B, South Carolina.
405. L.A. Angels, Jeffrey Boehm, LF, Illinois-Chicago.
14TH ROUND
406. Arizona, Luke Lowery, C, East Carolina.
407. Colorado, Sam Thoele, RHP, UALR.
408. Texas, Adam Choplick, LHP, Oklahoma.
409. Houston, Johnny Sewald, CF, Arizona St.
410. Minnesota, A.J. Murray, C, Georgia Tech.
411. Boston, Bobby Poyner, LHP, Florida.
412. Chicago White Sox, Tyler Sullivan, CF, Pacific.
413. Chicago Cubs, Jake Kelzer, RHP, Indiana.
414. Philadelphia, Austin Bossart, C, Penn.
415. Cincinnati, Austin Orewiler, RHP, Rice.
416. Miami, Jordan Hillyer, RHP, Kennesaw St.
417. San Diego, Kyle Overstreet, C, Alabama.
418. Tampa Bay, Tyler Brashears, RHP, Hawaii.
419. N.Y. Mets, Vincent Siena, 2B, UConn.
420. Atlanta, Trey Keegan, C, Bowling Green.
421. Milwaukee, Tyrone Perry, 1B, Lakeland Senior HS, Avon Park, Fla.
422. Toronto, Ryan Hissey, C, William & Mary.
423. N.Y. Yankees, Will Carter, RHP, Alabama.
424. Cleveland, Matt Esparza, RHP, UC Irvine.
425. Seattle, Jio Orozco, RHP, Salpointe Catholic HS, Tucson, Ariz.
426. San Francisco, Matt Winn, C, VMI.
427. Pittsburgh, Chris Plitt, RHP, South Mountain CC.
428. Oakland, Boomer Biegalski, RHP, Florida St.
429. Kansas City, Nicholas Dini, C, Wagner.
430. Detroit, A.J. Simcox, SS, Tennessee.
431. St. Louis, Carson Cross, RHP, UConn.
432. L.A. Dodgers, Garrett Kennedy, C, Miami.
433. Baltimore, Drew Turbin, 2B, Dallas Baptist.
434. Washington, Mack Lemieux, LHP, Jupiter Community HS, Tequesta, Fla.
435. L.A. Angels, Ryan Vega, CF, El Paso CC.
15TH ROUND
436. Arizona, Justin Donatella, RHP, San Diego.
437. Colorado, Sam Hilliard, OF, Wichita St.
438. Texas, Kyle Kaye, CF, Glendora (Calif.) HS.
439. Houston, Pat Porter, RF, Ohio S.
440. Minnesota, Anthony Mciver, LHP, San Diego.
441. Boston, Jerry Downs, OF, St. Thomas (Fla.)
442. Chicago White Sox, Christopher Comito, RHP, Norwalk (Iowa) HS.
443. Chicago Cubs, Scott Effross, RHP, Indiana.
444. Philadelphia, Dylan Bosheers, SS, Tennessee Tech.
445. Cincinnati, Blake Butler, 2B, College of Charleston.
446. Miami, Kyle Barrett, CF, Kentucky.
447. San Diego, Brad Zunica, 1B, Florida Manatee-Sarasota.
448. Tampa Bay, Ethan Clark, RHP, Crowder.
449. N.Y. Mets, Thomas Hackimer, RHP, St. John's.
