         name         | po  | cl  |        team         | pa  | bb_p  | so_p  | wops  
 Stoltzfus, Dan       | 1B  | Jr  | Millersville        | 188 | 0.090 | 0.160 | 1.659
 Castleberry, Patrick | C   | Sr  | Arkansas Tech       | 209 | 0.120 | 0.072 | 1.657
 Hoffman, Chris       | OF  | Jr  | Mo. Southern St.    | 212 | 0.099 | 0.189 | 1.656
 Lawing, Weston       | OF  | Sr  | Lander              | 169 | 0.130 | 0.124 | 1.656
 Wolfe, Spencer       | C   | Sr  | Shepherd            | 188 | 0.149 | 0.080 | 1.652
 Fife, Alex           | OF  | Jr  | Colorado Mesa       | 215 | 0.140 | 0.070 | 1.652
 Stubbs, Austin       | 1B  | Sr  | Southwest Minn. St. | 206 | 0.107 | 0.160 | 1.646
 Walters, Tyler       | C   | Fr  | Slippery Rock       | 184 | 0.060 | 0.114 | 1.645
 Fennell, Mick        | INF | Jr  | California (PA)     | 191 | 0.068 | 0.042 | 1.643
 McClellan, Mike      | INF | Jr  | Columbus St.        | 219 | 0.105 | 0.174 | 1.636
 Houston, Blake       | OF  | Sr  | Catawba             | 242 | 0.194 | 0.120 | 1.630
 Taylor, Drew         | 1B  | Jr  | GRU Augusta         | 194 | 0.082 | 0.175 | 1.629
 Harris, Justin       | OF  | Sr  | Emporia St.         | 246 | 0.085 | 0.114 | 1.624
 Haskins, Matthew     | OF  | Sr  | Montevallo          | 224 | 0.116 | 0.156 | 1.620
 Poldroo, Erik        | OF  | Sr  | Concordia (NY)      | 152 | 0.125 | 0.145 | 1.620
 Spini, Nick          | OF  | Sr  | East Central        | 153 | 0.098 | 0.078 | 1.612
 Sponseller, Lee      | OF  | So  | Ohio Dominican      | 196 | 0.163 | 0.117 | 1.612
 Jones, Hayden        | INF | Jr  | Valdosta St.        | 211 | 0.095 | 0.066 | 1.611
 Summerfield, David   | INF | So  | Millersville        | 192 | 0.104 | 0.089 | 1.611
 Goihl, Jack          | C   | Sr  | Augustana (SD)      | 215 | 0.107 | 0.107 | 1.610
 Kreiling, Andrew     | OF  | Sr  | Pittsburg St.       | 195 | 0.144 | 0.128 | 1.610
 Brock, Chandler      | OF  | Sr  | Ala.-Huntsville     | 207 | 0.116 | 0.121 | 1.607
 Brodbeck, Andrew     | INF | Sr  | Flagler             | 223 | 0.166 | 0.108 | 1.604
 Wagner, Michael      | OF  | Sr  | Colorado St.-Pueblo | 212 | 0.108 | 0.075 | 1.600
 James, Stephen       | 2B  | Sr  | Ashland             | 226 | 0.093 | 0.124 | 1.600
 Tewes, Luke          | INF | Sr  | Drury               | 221 | 0.100 | 0.140 | 1.598
 Vanisi, Andrew       | OF  | Sr  | Rogers St.          | 184 | 0.076 | 0.103 | 1.595
 Overstreet, Brandon  | INF | Sr  | Erskine             | 238 | 0.076 | 0.122 | 1.594
 Knudson, Steven      | INF | Jr  | Montevallo          | 224 | 0.147 | 0.263 | 1.591
 Brower, Jordan       | 1B  | Sr  | Azusa Pacific       | 204 | 0.074 | 0.123 | 1.584
 Bielec, Kasey        | INF | Sr  | Central Wash.       | 200 | 0.100 | 0.105 | 1.584
 Hoffman, Zak         | INF | Jr  | St. Cloud St.       | 204 | 0.064 | 0.152 | 1.583
 Sandlin, Jake        | INF | Sr  | Georgia College     | 240 | 0.104 | 0.167 | 1.582
 Miller, Brody        | INF | Sr  | Mont. St. Billings  | 237 | 0.152 | 0.143 | 1.580
 Rothermich, Wade     | P   | Sr  | Lindenwood (MO)     | 222 | 0.117 | 0.153 | 1.580
 Staton, Allen        | INF | Sr  | North Greenville    | 227 | 0.106 | 0.079 | 1.577
 Binger, Christian    | INF | Jr  | Southwest Baptist   | 199 | 0.166 | 0.141 | 1.572
 Bugner, Tyler        | OF  | So  | Newman              | 215 | 0.140 | 0.079 | 1.571
 Chavez, Matthew      | INF | Sr  | N.M. Highlands      | 189 | 0.122 | 0.148 | 1.571
 Rodriguez, Vinny     | OF  | Sr  | Montevallo          | 205 | 0.127 | 0.156 | 1.571
 Bollig, Dillion      | OF  | Jr  | Adams St.           | 221 | 0.118 | 0.136 | 1.570
 Chavarria, Antonio   | INF | Jr  | California Baptist  | 218 | 0.115 | 0.106 | 1.567
 Diminio, Anthony     | OF  | Jr  | Belmont Abbey       | 209 | 0.067 | 0.086 | 1.567
 Roberts, Jay         | LF  | N/A | North Greenville    | 189 | 0.222 | 0.238 | 1.566
 Berg, Bryce          | C   | Sr  | Augustana (SD)      | 160 | 0.100 | 0.131 | 1.566
 Eberhardt, Jonathan  | 3B  | Jr  | Ky. Wesleyan        | 225 | 0.124 | 0.129 | 1.565
 Shelton, Bryson      | OF  | So  | Trevecca Nazarene   | 192 | 0.172 | 0.146 | 1.564
 Hatcher, Tyler       | OF  | Sr  | Central Okla.       | 159 | 0.075 | 0.220 | 1.564
 Holgate, Mitch       | INF | Jr  | West Ala.           | 202 | 0.134 | 0.193 | 1.563
 Glaude, David        | INF | So  | Mo. Western St.     | 204 | 0.157 | 0.127 | 1.563
 Baytop, Jason        | OF  | Jr  | Saint Augustine's   | 173 | 0.052 | 0.145 | 1.562
 Lorenz, Lucas        | OF  | Fr  | Northern St.        | 207 | 0.043 | 0.150 | 1.561
 Carolina, Rayshelon  | OF  | Jr  | Mars Hill           | 175 | 0.189 | 0.091 | 1.560
 Koziol, Dennon       | 2B  | Sr  | Ky. Wesleyan        | 215 | 0.126 | 0.093 | 1.556
 Schroeder, Dillon    | SS  | Sr  | Neb.-Kearney        | 162 | 0.062 | 0.111 | 1.556
 Borup, John          | OF  | Jr  | Lynn                | 209 | 0.105 | 0.120 | 1.552
 Smith, Zach          | INF | Sr  | Erskine             | 233 | 0.069 | 0.069 | 1.550
(100 rows)

COPY 100
