        name         | cl |        team        | so  |  ip  | outs | so9  | bb9 | go_fo 
 Crownover, Matthew  | Jr | Clemson            |  86 | 88.0 |  264 |  8.8 | 3.1 |  0.53
 Bramlett, Brady     | So | Ole Miss           |  71 | 72.1 |  217 |  8.8 | 2.5 |  0.47
 Fairbanks, Peter    | Jr | Missouri           |  67 | 69.1 |  208 |  8.7 | 3.1 |  1.16
 Copping, Calvin     | Jr | CSUN               |  75 | 77.2 |  233 |  8.7 | 3.0 |  1.82
 Cedotal, Kyle       | Jr | Southeastern La.   |  83 | 86.0 |  258 |  8.7 | 1.7 |  1.86
 Mazza, Domenic      | Jr | UC Santa Barbara   |  66 | 68.1 |  205 |  8.7 | 2.9 |  0.75
 Barragan, James     | Sr | Bakersfield        |  78 | 80.2 |  242 |  8.7 | 3.5 |  0.85
 Solter, Matt        | Sr | Furman             |  74 | 77.2 |  233 |  8.6 | 3.2 |  2.29
 Krauth, Ben         | Jr | Kansas             |  82 | 86.0 |  258 |  8.6 | 4.0 |  1.21
 Pirro, Matt         | Sr | Wake Forest        |  64 | 67.0 |  201 |  8.6 | 6.4 |  1.22
 Raynor, Evan        | Jr | Charleston So.     |  72 | 75.1 |  226 |  8.6 | 2.4 |  1.04
 Baumann, Michael    | Fr | Jacksonville       |  72 | 75.1 |  226 |  8.6 | 2.9 |  1.21
 Funkhouser, Kyle    | Jr | Louisville         |  83 | 87.1 |  262 |  8.6 | 3.7 |  1.24
 Camacho, Joseph     | Jr | Alabama St.        |  72 | 76.2 |  230 |  8.5 | 2.0 |  1.96
 Smith, Matthew      | Jr | Georgetown         |  66 | 70.0 |  210 |  8.5 | 3.0 |  1.15
 Johnson, Jake       | Jr | Southeastern La.   |  78 | 82.2 |  248 |  8.5 | 2.8 |  1.00
 Lantrip, Andrew     | So | Houston            |  86 | 90.2 |  272 |  8.5 | 1.7 |  0.84
 Borne, Grant        | Jr | Nicholls St.       |  77 | 82.1 |  247 |  8.4 | 3.8 |  1.34
 Bentley, Ian        | Jr | NJIT               |  66 | 70.1 |  211 |  8.4 | 1.7 |  0.96
 Elliott, Jake       | So | Oklahoma           |  75 | 80.0 |  240 |  8.4 | 3.4 |  1.09
 Winkelman, Alex     | Jr | Southeast Mo. St.  |  80 | 85.1 |  256 |  8.4 | 4.4 |  1.15
 Raven, Rayne        | Jr | CSUN               |  70 | 74.2 |  224 |  8.4 | 3.0 |  2.04
 Bergen, Travis      | Jr | Kennesaw St.       |  80 | 86.0 |  258 |  8.4 | 2.5 |  1.28
 Bailey, Brandon     | So | Gonzaga            |  87 | 93.1 |  280 |  8.4 | 2.6 |  0.89
 Istler, Andrew      | Sr | Duke               |  76 | 81.0 |  243 |  8.4 | 1.8 |  1.63
 Kalish, Jake        | Sr | George Mason       |  72 | 77.0 |  231 |  8.4 | 1.5 |  1.01
 Clark, Ryan         | Jr | UNC Greensboro     |  77 | 83.2 |  251 |  8.3 | 3.9 |  0.72
 Taccolini, Dominic  | So | Arkansas           |  62 | 67.1 |  202 |  8.3 | 4.7 |  2.44
 Conlon, PJ          | Jr | San Diego          |  77 | 83.2 |  251 |  8.3 | 2.6 |  1.01
(100 rows)

COPY 100
