         name          | cl |       team        | pa  | bb_p  | so_p  | wops  
 Godinez, Chris        | Jr | Bradley           | 167 | 0.210 | 0.132 | 1.483
 Petrongolo, Paschal   | Jr | Jacksonville St.  | 229 | 0.144 | 0.245 | 1.476
 Plaisted, James       | Sr | Wofford           | 231 | 0.156 | 0.212 | 1.474
 Swanson, Dansby       | Jr | Vanderbilt        | 233 | 0.146 | 0.155 | 1.474
 Greager, Bryce        | Jr | Nevada            | 201 | 0.129 | 0.199 | 1.473
 Daniels, David        | Sr | Davidson          | 203 | 0.138 | 0.163 | 1.473
 Miller, Anderson      | Jr | Western Ky.       | 213 | 0.183 | 0.188 | 1.473
 Laurino, Steve        | Sr | Marist            | 188 | 0.112 | 0.149 | 1.472
 Dailey, Charles       | Sr | Delaware St.      | 177 | 0.102 | 0.186 | 1.472
 Rios, Edwin           | Jr | FIU               | 224 | 0.143 | 0.156 | 1.471
 Thomas, Jake          | Sr | Binghamton        | 166 | 0.151 | 0.127 | 1.470
 Garzillo, Mike        | Jr | Lehigh            | 203 | 0.079 | 0.163 | 1.470
 Edens, Austin         | Fr | Samford           | 206 | 0.112 | 0.189 | 1.469
 Egli, Nick            | So | Belmont           | 182 | 0.148 | 0.214 | 1.467
 Dalbec, Bobby         | So | Arizona           | 220 | 0.127 | 0.232 | 1.465
 Pierson, Michael      | Sr | Appalachian St.   | 233 | 0.176 | 0.116 | 1.465
 Newell, Nick          | Sr | Morehead St.      | 232 | 0.060 | 0.082 | 1.465
 Collins, Nicholas     | Jr | Georgetown        | 210 | 0.095 | 0.086 | 1.463
 Bader, Harrison       | Jr | Florida           | 213 | 0.131 | 0.164 | 1.461
 Rinn, Robby           | Jr | Bryant            | 187 | 0.096 | 0.075 | 1.461
 Gonzalez, Chris       | So | Delaware St.      | 169 | 0.130 | 0.154 | 1.460
 Trent, Sean           | Jr | Navy              | 230 | 0.065 | 0.117 | 1.460
 Iriart, Chris         | Jr | Houston           | 226 | 0.093 | 0.243 | 1.460
 White, Mikey          | Jr | Alabama           | 230 | 0.104 | 0.174 | 1.457
 Bryant, Hunter        | Sr | UNC Asheville     | 226 | 0.124 | 0.204 | 1.454
 Rea, Wes              | Sr | Mississippi St.   | 192 | 0.208 | 0.156 | 1.454
 Hendrix, Jeff         | Jr | Oregon St.        | 215 | 0.153 | 0.144 | 1.453
 Shelby, Javon         | So | Kentucky          | 224 | 0.156 | 0.205 | 1.452
 Iskenderian, George   | Jr | Miami (FL)        | 230 | 0.139 | 0.143 | 1.452
 Fuhrman, Michael      | Jr | Niagara           | 172 | 0.145 | 0.134 | 1.451
 Krill, Ryan           | Sr | Michigan St.      | 209 | 0.115 | 0.120 | 1.450
 Peavey, Scotty        | Sr | Alcorn            | 212 | 0.061 | 0.146 | 1.449
 Miller, Lee           | Jr | Davidson          | 197 | 0.107 | 0.183 | 1.449
 Voss, Cory            | Fr | New Mexico        | 192 | 0.125 | 0.208 | 1.448
 Robinson, Dillon      | Sr | BYU               | 199 | 0.126 | 0.191 | 1.448
 Mele, Louis           | So | NYIT              | 152 | 0.039 | 0.138 | 1.448
 Kozuch, Matthew       | So | Fordham           | 196 | 0.184 | 0.194 | 1.447
 Ogren, Joe            | Jr | Bucknell          | 202 | 0.134 | 0.124 | 1.446
 Hallum, Cole          | Jr | Campbell          | 167 | 0.090 | 0.186 | 1.445
 Bingel, Brandon       | So | Bryant            | 165 | 0.103 | 0.152 | 1.445
 Biocic, PJ            | Sr | Alabama St.       | 217 | 0.143 | 0.074 | 1.445
 Olmedo-Barrera, David | Jr | Cal St. Fullerton | 176 | 0.119 | 0.227 | 1.444
 Copeland, Garrett     | So | Austin Peay       | 231 | 0.143 | 0.139 | 1.444
(100 rows)

COPY 100
