year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	1	2	Abilene Christian	13	1884437	Dominguez, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884437	Fr	INF	53	45	""	0.290	0.360	0.379	15	169	49	9	""	64	2	29	18	1	1	4	16	5	""	""	2	""
2017	12560	1	2	Abilene Christian	29	1884456	Claborn, Koby	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884456	So	INF	51	47	""	0.263	0.347	0.351	21	171	45	7	1	60	2	22	23	""	2	3	36	3	3	""	1	""
2017	12560	1	2	Abilene Christian	9	1547018	Draper, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547018	Sr	3B	50	46	""	0.230	0.307	0.286	14	161	37	4	1	46	1	15	18	""	""	7	31	4	2	""	5	""
2017	12560	1	2	Abilene Christian	26	1884444	Solomon, Cole	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884444	Fr	C	48	43	""	0.230	0.365	0.341	24	126	29	6	1	43	2	14	25	4	4	7	30	1	6	""	5	""
2017	12560	1	2	Abilene Christian	5	1884435	Lewis, Bradley	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884435	Jr	OF	31	10	""	0.263	0.326	0.342	7	38	10	1	1	13	""	3	4	""	1	2	12	""	1	""	1	""
2017	12560	1	2	Abilene Christian	11	1884459	Pascahll, Myles	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884459	Fr	OF	26	6	""	0.179	0.195	0.282	5	39	7	1	""	11	1	6	1	""	1	""	13	1	""	""	""	""
2017	12560	1	2	Abilene Christian	41	1884461	Bourland, Lane	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884461	Fr	C	26	15	""	0.212	0.255	0.250	9	52	11	2	""	13	""	1	3	""	""	2	19	""	1	""	""	""
2017	12560	1	2	Abilene Christian	33	1884457	Warren, Hillin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884457	Jr	INF	23	14	""	0.182	0.233	0.309	9	55	10	2	1	17	1	5	2	2	1	3	25	1	1	""	1	""
2017	12560	1	2	Abilene Christian	25	1547054	Lambright, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547054	Sr	P	22	2	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	22	1884442	Brewer, Keaton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884442	Sr	P	22	5	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	28	1884455	Smith, Jonah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884455	Fr	P	20	1	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	32	1767887	Ruot, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767887	So	INF	20	2	""	0.250	0.250	0.250	""	4	1	""	""	1	""	""	""	""	""	""	3	""	""	""	""	""
2017	12560	1	2	Abilene Christian	35	1767888	Dougherty, Caleb	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767888	Sr	P	20	1	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	16	1659965	Hanson, Drew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1659965	Jr	P	17	11	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
