year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	2	vs_rhp	10581	929	Adams St.	24	1539832	Garmendia, Marco	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1539832	Sr	3B	44	42		0.328	0.419	0.526	24	116	38	6	4	61	3	21	13	6	1	3	10	3	1		2	
2017	12560	2	vs_rhp	10581	929	Adams St.	18	1877466	Kachel, Dustin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1877466	Jr	OF	44	42		0.250	0.348	0.350	18	120	30	3	3	42	1	15	17	2	2	1	19				3	
2017	12560	2	vs_rhp	10581	929	Adams St.	9	1762423	Downs, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1762423	Sr	C	39	34		0.316	0.419	0.367	21	98	31	3	1	36		9	16	2	1	8	14	1	4		4	
2017	12560	2	vs_rhp	10581	929	Adams St.	15	1877464	Niemi, Ryne	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1877464	Jr	OF	39	35		0.275	0.336	0.422	19	109	30	5	1	46	3	22	8	2		4	30	3	1		1	
2017	12560	2	vs_rhp	10581	929	Adams St.	8	1877461	Hill, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1877461	Sr	OF	37	27		0.186	0.194	0.200	7	70	13	1		14		9	1		1	3	19	3			4	
2017	12560	2	vs_rhp	10581	929	Adams St.	2	1877458	Hildebrandt, Erik	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1877458	Fr	SS	37	17		0.384	0.410	0.479	21	73	28	5	1	35		5	3	1	1		7	1	1		5	
2017	12560	2	vs_rhp	10581	929	Adams St.	35	1762430	Denovellis, Derek	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1762430	Sr	3B	36	23		0.208	0.348	0.283	7	53	11	4		15		6	9	3	1	6	16		1			
2017	12560	2	vs_rhp	10581	929	Adams St.	33	1642808	April, Dylan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1642808	Sr	C	28	24		0.222	0.333	0.352	7	54	12	4		19	1	10	8	2	2	2	11	1				
2017	12560	2	vs_rhp	10581	929	Adams St.	38	1877472	Templin, Grant	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1877472	Jr	1B	27	19		0.255	0.281	0.327	7	55	14	4		18		6	2			1	9					
2017	12560	2	vs_rhp	10581	929	Adams St.	41	1889948	Stanich, Tony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1889948	Jr	1B	27	19		0.333	0.391	0.405	8	42	14	3		17		5	2	2			5	2				
