year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	4	1438800	Guilford, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1438800	So	INF	35	22	 	0.265	0.342	0.353	11	34	9	1	1		 	4	4	 	 	 	14	 	5	 	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	14	1546837	Yates, Dawson	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546837	So	INF	31	16	 	0.239	0.286	0.304	6	46	11	3	 		 	2	2	1	 	 	20	2	1	 	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	13	1546817	Geiser, Travis	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546817	So	OF	23	4	 	0.182	0.308	0.364	5	11	2	 	1		 	2	1	1	 	 	5	 	1	 	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	19	1438802	Lopez, Dom	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1438802	Jr	INF	18	2	 	0.143	0.200	0.214	0	14	2	1	 		 	2	1	 	 	 	4	 	 	 	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	35	1652734	Balfantz, Scott	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652734	Fr	C	14	4	 	0.125	0.222	0.125	1	8	1	 	 		 	0	 	1	 	 	1	 	 	 	 
2015	12080	1	vs_rhp	10281	26172	A&M-Corpus Chris	8	1652719	Metzger, Zach	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652719	Jr	C	7	2	 	0.143	0.143	0.143	0	7	1	 	 		 	0	 	 	 	 	2	1	 	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	8	1311152	Eager, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1311152	Sr	OF	55	55	 	0.350	0.410	0.490	26	143	50	12	1		2	22	14	2	2	1	23	1	8	2	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	10	1547029	Crippen, Russell	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1547029	So	INF	55	54	 	0.262	0.325	0.403	19	149	39	5	2		4	27	12	3	2	2	42	3	8	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	5	1659959	Carroll, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1659959	Jr	SS	55	55	 	0.218	0.333	0.331	17	124	27	4	2		2	13	15	7	1	8	34	2	1	2	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	9	1547018	Draper, Aaron	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1547018	So	2B	55	55	 	0.256	0.318	0.301	21	156	40	5	1		 	12	12	3	2	5	36	5	6	2	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	18	1547025	Hall, Colton	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1547025	Sr	OF	52	45	 	0.262	0.308	0.311	16	122	32	3	 		1	8	7	1	 	2	37	2	3	2	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	3	1659958	Copeland, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1659958	Jr	C	48	46	 	0.266	0.326	0.323	4	124	33	7	 		 	18	8	4	2	7	26	4	2	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	1	1659957	Carter, Marcelle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1659957	Fr	OF	40	38	 	0.216	0.274	0.261	12	88	19	1	 		1	11	5	2	 	2	15	 	2	2	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	29	1420632	Beasley, Heath	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1420632	Jr	OF	34	25	 	0.250	0.294	0.350	12	80	20	5	 		1	7	3	2	 	 	13	2	 	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	13	1659962	Gomez, Brayden	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1659962	Fr	3B	34	33	 	0.222	0.276	0.247	9	81	18	2	 		 	4	5	1	 	4	11	1	1	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	20	1547048	Forrester, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1547048	Sr	OF	32	18	 	0.225	0.326	0.250	6	40	9	1	 		 	3	5	1	 	2	13	1	4	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	4	1547026	Waters, Taylor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1547026	So	OF	21	11	 	0.333	0.414	0.375	6	24	8	1	 		 	2	3	1	1	2	8	 	 	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	11	1659961	Clarke, Jeff	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1659961	Fr	INF	21	18	 	0.176	0.192	0.196	3	51	9	1	 		 	3	1	 	 	 	11	2	 	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	28	1660515	Fajardo, Taylor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1660515	Fr	OF	20	10	 	0.136	0.269	0.273	3	22	3	 	 		1	2	3	1	 	 	16	 	 	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	14	1659963	Spracklen, Mason	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1659963	So	C	18	14	 	0.233	0.303	0.333	3	30	7	 	 		1	2	 	3	 	2	8	1	1	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	41	1547031	Altimont, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1547031	So	OF	12	7	 	0.278	0.316	0.333	3	18	5	1	 		 	5	 	1	 	 	5	1	 	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	6	1659960	Huson, Cody	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1659960	Fr	INF	8	7	 	0.190	0.320	0.238	3	21	4	1	 		 	0	4	 	 	3	6	1	2	 	 
2015	12080	1	vs_rhp	10281	2	Abilene Christian	45	1659979	Hale, Garrett	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1659979	Fr	INF	8	4	 	0.125	0.300	0.125	2	8	1	 	 		 	1	 	2	 	 	3	1	 	1	 
2015	12080	1	vs_rhp	10281	721	Air Force	18	1308133	Saleck, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1308133	Sr	INF	52	52	 	0.275	0.345	0.399	23	153	42	11	1		2	23	12	5	1	1	34	4	1	1	 
2015	12080	1	vs_rhp	10281	721	Air Force	11	1308135	Pierce, Noah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1308135	Sr	INF	52	52	 	0.248	0.321	0.395	30	157	39	5	 		6	37	11	9	7	 	30	5	11	3	 
2015	12080	1	vs_rhp	10281	721	Air Force	1	1527627	Groesbeck, Adam	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527627	So	OF	52	52	 	0.349	0.406	0.549	39	175	61	21	1		4	24	13	4	 	2	32	3	17	4	 
2015	12080	1	vs_rhp	10281	721	Air Force	9	1653231	Zabojnik, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653231	Fr	INF	52	52	 	0.216	0.268	0.288	9	153	33	11	 		 	15	6	5	 	1	32	3	5	2	 
2015	12080	1	vs_rhp	10281	721	Air Force	20	1653235	Wilkie, Travis	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653235	Fr	C	52	52	 	0.248	0.291	0.328	24	125	31	8	1		 	17	4	4	1	8	38	3	 	1	 
2015	12080	1	vs_rhp	10281	721	Air Force	2	1527628	Jones, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527628	So	OF	52	52	 	0.293	0.403	0.531	33	147	43	11	3		6	35	13	15	1	2	34	4	8	5	 
2015	12080	1	vs_rhp	10281	721	Air Force	25	1422367	Draws, Spencer	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1422367	Jr	OF	51	51	 	0.301	0.394	0.464	28	153	46	14	4		1	27	23	2	2	2	20	2	5	 	 
2015	12080	1	vs_rhp	10281	721	Air Force	12	1653232	Mize, Shaun	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653232	Fr	INF	48	48	 	0.212	0.266	0.273	21	132	28	3	1		1	15	8	2	1	3	26	2	10	3	 
2015	12080	1	vs_rhp	10281	721	Air Force	33	1527639	Haslam, Bradley	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527639	So	INF	37	34	 	0.355	0.389	0.467	12	107	38	10	1		 	13	4	2	 	 	14	1	2	 	 
2015	12080	1	vs_rhp	10281	721	Air Force	17	1527634	Williams, Russell	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527634	So	OF	34	15	 	0.204	0.273	0.367	8	49	10	3	1		1	6	2	3	1	 	19	1	2	1	 
2015	12080	1	vs_rhp	10281	721	Air Force	24	1308140	Thomas, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1308140	Sr	OF	25	3	 	0.281	0.324	0.375	3	32	9	3	 		 	2	2	 	 	 	9	 	 	1	 
2015	12080	1	vs_rhp	10281	721	Air Force	26	1527637	Hanlin, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527637	So	C	21	4	 	0.333	0.455	0.556	2	18	6	1	 		1	1	4	 	 	 	7	1	 	 	 
2015	12080	1	vs_rhp	10281	721	Air Force	16	1527633	DeVries, Jacob	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527633	So	P	17	13	 	0.667	0.667	0.667	0	3	2	 	 		 	1	 	 	 	 	 	 	 	 	 
2015	12080	1	vs_rhp	10281	721	Air Force	37	1653242	Graham, Justin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653242	Fr	OF	12	1	 	0.357	0.438	0.429	4	14	5	1	 		 	4	1	1	 	 	3	 	 	 	 
2015	12080	1	vs_rhp	10281	721	Air Force	36	1653241	Robb, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653241	Fr	INF	9	0	 	0.000	0.000	0.000	0	1	0	 	 		 	0	 	 	 	1	1	 	 	 	 
2015	12080	1	vs_rhp	10281	721	Air Force	3	1653228	Hawkins, Benn	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653228	Fr	C	4	0	 	0.000	0.000	0.000	0	2	0	 	 		 	0	 	 	 	 	 	1	 	 	 
2015	12080	1	vs_rhp	10281	5	Akron	19	1218821	Havrilak, Joey	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1218821	Sr	OF	58	58	 	0.378	0.441	0.567	32	164	62	12	2		5	26	16	4	2	2	19	 	12	3	 
2015	12080	1	vs_rhp	10281	5	Akron	15	1543279	Iero, Dom	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1543279	So	INF	58	58	 	0.287	0.388	0.353	16	150	43	7	 		1	22	22	4	2	5	23	2	6	2	 
2015	12080	1	vs_rhp	10281	5	Akron	16	1543281	Lees, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1543281	So	C	55	54	 	0.250	0.353	0.304	19	148	37	5	 		1	17	23	1	1	2	27	5	1	 	 
2015	12080	1	vs_rhp	10281	5	Akron	4	1436915	Mosbarger, Daulton	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1436915	Jr	P	52	50	 	0.254	0.379	0.366	25	134	34	8	2		1	15	26	1	 	2	26	2	6	1	 
2015	12080	1	vs_rhp	10281	5	Akron	3	1543283	Mamarella, Mason	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1543283	Fr	OF	49	40	 	0.202	0.278	0.219	20	114	23	 	1		 	4	7	5	 	8	25	3	9	2	 
2015	12080	1	vs_rhp	10281	5	Akron	31	1321055	Rohan, Gerrad	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1321055	Jr	INF	47	42	 	0.269	0.326	0.300	13	130	35	4	 		 	17	8	3	 	 	23	2	4	 	 
2015	12080	1	vs_rhp	10281	5	Akron	7	1436916	Simonton, Kris	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1436916	Jr	INF	46	46	 	0.240	0.291	0.256	15	125	30	2	 		 	12	4	5	 	2	31	2	5	2	 
2015	12080	1	vs_rhp	10281	5	Akron	17	1436919	Salem, Billy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1436919	Jr	INF	42	36	 	0.253	0.300	0.323	7	99	25	4	 		1	13	7	1	3	4	9	 	 	1	 
2015	12080	1	vs_rhp	10281	5	Akron	18	1436926	LaRocca, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1436926	Sr	INF	42	35	 	0.206	0.230	0.309	13	97	20	4	 		2	10	1	2	 	2	27	4	 	 	 
2015	12080	1	vs_rhp	10281	5	Akron	13	1321052	Rembielak, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1321052	Sr	INF	41	41	 	0.233	0.282	0.267	12	116	27	4	 		 	8	7	1	 	5	24	 	1	 	 
2015	12080	1	vs_rhp	10281	5	Akron	5	1639627	Dirienzo, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1639627	Fr	INF	29	22	 	0.245	0.315	0.306	5	49	12	1	1		 	2	2	3	 	3	15	 	 	 	 
2015	12080	1	vs_rhp	10281	5	Akron	2	1639623	Bova, Anthony	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1639623	So	OF	19	9	 	0.286	0.375	0.286	3	21	6	 	 		 	2	3	 	 	1	8	1	2	 	 
2015	12080	1	vs_rhp	10281	5	Akron	48	1639633	Washington, Darius	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1639633	Sr	OF	14	9	 	0.400	0.438	0.533	4	30	12	4	 		 	8	1	1	 	 	6	1	 	1	 
2015	12080	1	vs_rhp	10281	5	Akron	37	1543284	Meeker III, James	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1543284	So	INF	11	11	 	0.320	0.370	0.400	3	25	8	2	 		 	0	2	 	 	 	1	 	 	 	 
2015	12080	1	vs_rhp	10281	5	Akron	38	1543280	Lawrence, Dan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1543280	Sr	OF	10	5	 	0.211	0.250	0.368	3	19	4	1	1		 	3	 	1	 	 	8	 	 	 	 
2015	12080	1	vs_rhp	10281	5	Akron	12	1321051	Carmichael, Derek	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1321051	Jr	C	8	6	 	0.214	0.381	0.214	2	14	3	 	 		 	2	4	1	2	1	3	 	1	 	 
2015	12080	1	vs_rhp	10281	8	Alabama	22	1416288	Salem, Georgie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416288	Jr	OF	60	59	 	0.280	0.340	0.392	33	186	52	10	4		1	16	15	2	 	4	32	6	16	1	 
2015	12080	1	vs_rhp	10281	8	Alabama	7	1527432	Hughston, Casey	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527432	So	OF	60	60	 	0.349	0.402	0.566	34	175	61	14	3		6	34	16	1	2	1	38	1	7	2	 
2015	12080	1	vs_rhp	10281	8	Alabama	6	1416282	Overstreet, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416282	Jr	INF	60	60	 	0.286	0.340	0.341	31	182	52	8	1		 	30	17	 	4	 	27	6	1	3	 
2015	12080	1	vs_rhp	10281	8	Alabama	1	1416281	White, Mikey	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416281	Jr	INF	60	60	 	0.335	0.431	0.528	37	176	59	16	6		2	25	20	11	2	2	38	4	7	1	 
2015	12080	1	vs_rhp	10281	8	Alabama	5	1655473	Avant, Chandler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1655473	Fr	INF	59	57	 	0.273	0.333	0.316	22	187	51	8	 		 	16	15	3	2	5	33	1	8	3	 
2015	12080	1	vs_rhp	10281	8	Alabama	38	1527440	Wilhite, J.C.	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527440	Sr	INF	56	51	 	0.290	0.338	0.366	14	145	42	6	1		1	16	8	3	1	5	23	3	1	 	 
2015	12080	1	vs_rhp	10281	8	Alabama	24	1527437	Haynie, Will	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527437	So	C	53	51	 	0.196	0.296	0.326	15	138	27	9	 		3	19	17	3	1	4	69	3	1	1	 
2015	12080	1	vs_rhp	10281	8	Alabama	12	1416284	Vincent, Chance	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416284	Jr	INF	51	51	 	0.245	0.321	0.333	16	147	36	5	1		2	23	14	4	3	1	26	4	4	2	 
2015	12080	1	vs_rhp	10281	8	Alabama	9	1655478	Henry, Cody	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1655478	Fr	C	48	42	 	0.287	0.396	0.410	15	122	35	11	2		 	17	21	1	 	 	28	 	 	 	 
2015	12080	1	vs_rhp	10281	8	Alabama	45	1314562	Colburn, Riley	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314562	Jr	OF	39	24	 	0.217	0.289	0.217	9	69	15	 	 		 	4	2	5	 	 	21	 	2	1	 
2015	12080	1	vs_rhp	10281	8	Alabama	3	1416286	Cucjen, Daniel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416286	Jr	INF	19	9	 	0.212	0.278	0.242	4	33	7	1	 		 	4	1	2	 	 	13	 	2	1	 
2015	12080	1	vs_rhp	10281	8	Alabama	25	1314590	Blanchard, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314590	Jr	OF	16	7	 	0.240	0.269	0.240	3	25	6	 	 		 	3	1	 	 	 	8	 	 	 	 
2015	12080	1	vs_rhp	10281	8	Alabama	41	1416305	Poe, Taylor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416305	So	C	14	6	 	0.300	0.304	0.400	2	20	6	2	 		 	3	 	1	2	 	5	 	 	 	 
2015	12080	1	vs_rhp	10281	8	Alabama	13	1527434	Elliott, William	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1527434	So	OF	12	3	 	0.176	0.300	0.176	1	17	3	 	 		 	1	3	 	 	 	9	1	 	 	 
2015	12080	1	vs_rhp	10281	8	Alabama	21	1416287	Freeman, Colton	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1416287	So	P	9	0	 	0.000	0.250	0.000	1	3	0	 	 		 	1	1	 	 	 	2	 	 	 	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	21	1548788	Utterback, Andrew	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1548788	Sr	OF	56	55	 	0.354	0.424	0.532	37	158	56	10	3		4	31	18	4	4	 	40	3	5	2	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	10	1661653	Nunez, Julio	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1661653	Sr	SS	55	55	 	0.310	0.392	0.595	33	158	49	18	 		9	42	19	3	1	 	39	4	1	 	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	6	1548773	Dhanani, Dustin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1548773	Sr	C	53	43	 	0.310	0.403	0.451	22	113	35	7	 		3	30	11	8	2	4	22	2	3	 	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	26	1440365	Hulsey, Austin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1440365	Jr	INF	50	47	 	0.310	0.352	0.394	32	155	48	8	1		1	25	8	2	 	 	16	3	 	2	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	5	1548781	Nelson, Ramon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1548781	Sr	OF	49	48	 	0.281	0.301	0.302	17	139	39	3	 		 	17	4	 	 	2	23	3	8	2	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	7	1322599	Crutcher, Brandyn	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1322599	Sr	OF	47	44	 	0.216	0.338	0.280	26	125	27	8	 		 	10	19	4	 	2	42	 	7	2	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	22	1322601	Friend, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1322601	Sr	INF	45	45	 	0.353	0.454	0.612	25	116	41	10	1		6	23	20	3	2	1	27	 	1	1	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	9	1661652	Loft, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1661652	So	P	42	33	 	0.283	0.339	0.472	23	106	30	4	2		4	15	7	3	2	3	18	 	4	1	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	28	1440363	Dodson, Patrick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1440363	Sr	OF	40	36	 	0.312	0.379	0.348	17	112	35	4	 		 	13	9	3	 	10	12	5	1	1	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	25	1548774	Folger, Justen	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1548774	Sr	2B	32	29	 	0.333	0.367	0.484	13	93	31	7	2		1	19	4	1	 	2	15	3	2	2	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	8	1661668	Russell, T.	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1661668	N/A	1B	32	29	 	0.234	0.372	0.351	12	77	18	3	 		2	7	15	2	 	2	21	3	 	3	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	35	1548782	Payne, Richard	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1548782	Jr	1B	27	23	 	0.313	0.418	0.478	14	67	21	6	1		1	15	10	2	 	1	13	1	1	 	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	12	1548789	Waddell, Caleb	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1548789	Sr	C	15	14	 	0.074	0.242	0.111	1	27	2	1	 		 	1	6	 	 	 	10	1	 	 	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	16	1661679	Chatman, T.	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1661679	N/A	P	12	1	 	0.000	0.000	0.000	0	2	0	 	 		 	0	 	 	 	 	2	 	 	 	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	27	1548784	Smith, Allen	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1548784	Sr	1B	11	9	 	0.333	0.412	0.533	2	15	5	3	 		 	0	1	1	 	 	4	 	 	 	 
2015	12080	1	vs_rhp	10281	6	Alabama A&M	3	1548780	Martinez-Neal, Boston	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1548780	Jr	INF	6	1	 	0.000	0.000	0.000	3	1	0	 	 		 	0	 	 	 	1	1	 	 	 	 
2015	12080	1	vs_rhp	10281	7	Alabama St.	14	1316339	Estrada, Waldyvan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1316339	Sr	OF	50	49	 	0.311	0.425	0.509	34	167	52	9	 		8	50	21	15	4	1	26	6	5	 	 
