year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs	era	ip	h	r	er	bb	so	sho	bf	p-oab	d-a	t-a	hr-a	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2015	12080	2	vs_lhb	10298	929	Adams St.	34	1435579	Nutsch, Benjamin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1435579	Jr	P	15	0	 	 	 	0.00	2.3	3	0	0	0	1	 	11	11	1	 	1	 	 	 	 	 	 	 	 	 	5	2	 	 	 	 
2015	12080	2	vs_lhb	10298	929	Adams St.	22	1539833	Heredia, J.D.	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539833	Sr	P	14	13	 	 	 	0.00	9.0	10	0	0	3	5	 	48	38	 	 	1	1	 	3	 	 	 	 	 	 	12	15	 	 	 	1
2015	12080	2	vs_lhb	10298	929	Adams St.	35	1435581	Richardson, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1435581	Sr	P	14	2	 	 	 	0.00	1.8	6	0	0	1	0	 	19	16	1	 	 	 	 	2	 	 	 	 	 	 	4	6	 	 	 	 
2015	12080	2	vs_lhb	10298	929	Adams St.	33	1539834	MacMahon, Andrew	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539834	Sr	P	14	12	 	 	 	0.00	15.6	25	0	0	1	2	 	75	73	8	1	 	1	 	1	 	 	 	 	 	 	32	14	 	 	 	2
2015	12080	2	vs_lhb	10298	929	Adams St.	8	1539837	Williams, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539837	Sr	P	13	1	 	 	 	0.00	1.6	11	0	0	0	1	 	19	17	3	 	1	 	 	 	 	 	 	 	 	 	2	5	 	 	 	1
2015	12080	2	vs_lhb	10298	929	Adams St.	28	1642807	Schmitt, Jeff	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1642807	Sr	P	12	12	 	 	 	0.00	9.4	22	0	0	5	5	 	53	47	5	 	2	 	1	 	 	 	 	 	 	 	11	10	 	 	 	1
2015	12080	2	vs_lhb	10298	929	Adams St.	38	1657995	Keaton, Josh	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1657995	N/A	P	11	0	 	 	 	0.00	1.2	3	0	0	0	2	 	7	7	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	1
2015	12080	2	vs_lhb	10298	929	Adams St.	12	1435590	Wiemers, Tanner	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1435590	Jr	P	10	6	 	 	 	0.00	2.5	10	0	0	2	3	 	24	21	1	1	1	 	 	 	 	 	 	 	 	 	5	2	 	 	 	 
2015	12080	2	vs_lhb	10298	929	Adams St.	15	1539813	Bradshaw, Luke	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1539813	Jr	P	10	0	 	 	 		0.0	2	0	0	0	0	 	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2015	12080	2	vs_lhb	10298	929	Adams St.	41	1435560	Aramovich, Thom	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1435560	Sr	P	5	1	 	 	 	0.00	0.4	3	0	0	2	1	 	10	8	2	 	 	1	 	 	 	 	 	 	 	 	1	2	 	 	 	1
2015	12080	2	vs_lhb	10298	929	Adams St.	48	1653767	Parise, Anthony	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653767	Jr	P	4	2	 	 	 		0.0	1	0	0	1	0	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2015	12080	2	vs_lhb	10298	929	Adams St.	51	1669103	Gaasback, D.	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1669103	N/A	P	4	0	 	 	 		0.0	2	0	0	0	0	 	2	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2015	12080	2	vs_lhb	10298	929	Adams St.	45	1642810	Ferguson, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1642810	So	P	3	0	 	 	 	0.00	0.4	0	0	0	1	0	 	5	4	 	 	 	 	 	 	 	 	 	 	 	 	2	2	 	 	 	 
2015	12080	2	vs_lhb	10298	929	Adams St.	48	1671974	Lowry, Luke	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1671974	N/A	P	1	0	 	 	 	0.00	0.2	0	0	0	0	0	 	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 
2015	12080	2	vs_lhb	10298	3	Adelphi	6	1653690	Cassara, Kory	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653690	Fr	C	41	39	 	 	 		0.0	1	0	0	1	0	 	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2015	12080	2	vs_lhb	10298	3	Adelphi	15	1302451	Cranston, Mike	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1302451	Sr	P	24	0	 	 	 	0.00	5.0	12	0	0	3	10	 	46	42	4	1	 	1	 	 	1	 	 	 	 	 	15	3	 	 	 	2
2015	12080	2	vs_lhb	10298	3	Adelphi	56	1302446	Batas, Nikolas	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1302446	Sr	P	24	0	 	 	 	0.00	4.2	9	0	0	1	4	 	36	32	1	 	3	 	 	1	0	 	 	 	 	 	8	13	 	 	 	3
2015	12080	2	vs_lhb	10298	3	Adelphi	33	1302444	Van Allen, Ricky	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1302444	Sr	P	22	0	 	 	 	0.00	4.6	10	0	0	7	6	 	42	32	1	 	 	1	 	2	1	 	 	 	 	 	4	12	 	 	 	1
2015	12080	2	vs_lhb	10298	3	Adelphi	19	1537987	Ceparano, Michael	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1537987	So	P	17	4	 	 	 	0.00	7.4	10	0	0	10	10	 	50	39	1	1	1	 	 	 	0	 	 	 	 	 	6	13	 	 	 	4
2015	12080	2	vs_lhb	10298	3	Adelphi	18	1653697	Withers, Steven	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653697	Fr	INF	16	7	 	 	 	0.00	0.2	1	0	0	0	1	 	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	1
2015	12080	2	vs_lhb	10298	3	Adelphi	30	1653701	Tarpey, Michael	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653701	Fr	P	16	4	 	 	 	0.00	4.7	12	0	0	3	5	 	33	30	1	 	1	2	 	 	 	 	 	 	 	 	7	6	 	 	 	1
2015	12080	2	vs_lhb	10298	3	Adelphi	12	1653696	Garrison, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653696	Jr	P	13	5	 	 	 	0.00	3.5	13	0	0	5	2	 	34	29	2	 	 	 	 	 	 	 	 	 	 	 	8	4	 	 	 	1
2015	12080	2	vs_lhb	10298	3	Adelphi	31	1429615	Mulford, Jonathon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1429615	Jr	P	12	12	 	 	 	0.00	21.7	14	0	0	6	15	 	91	81	2	 	 	2	 	1	 	 	 	 	 	 	30	22	 	 	 	3
2015	12080	2	vs_lhb	10298	3	Adelphi	46	1537994	Thompson, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1537994	So	P	12	4	 	 	 	0.00	7.2	14	0	0	5	9	 	48	43	2	 	 	 	1	 	0	 	 	 	 	 	9	9	 	 	 	4
2015	12080	2	vs_lhb	10298	3	Adelphi	36	1537991	Santiago, TJ	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1537991	So	P	12	9	 	 	 	0.00	15.1	30	0	0	12	16	 	88	73	2	4	 	2	 	 	0	 	 	 	 	 	21	8	 	 	 	3
2015	12080	2	vs_lhb	10298	3	Adelphi	35	1653703	Butler, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653703	Fr	P	10	0	 	 	 	0.00	0.8	3	0	0	3	3	 	14	11	 	 	 	 	1	 	 	 	 	 	 	 	1	4	 	 	 	2
2015	12080	2	vs_lhb	10298	3	Adelphi	34	1653702	Hickey, Will	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1653702	So	P	7	3	 	 	 	0.00	0.3	2	0	0	3	1	 	8	4	 	 	 	1	 	1	 	 	 	 	 	 	1	 	 	 	 	 
2015	12080	2	vs_lhb	10298	3	Adelphi	10	1429611	Bivas, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1429611	Sr	P	7	0	 	 	 	0.00	0.2	1	0	0	3	0	 	6	3	 	 	 	1	 	 	 	 	 	 	 	 	1	1	 	 	 	 
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	11	1303183	Mould, Luke	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1303183	Sr	P	21	0	 	 	 	0.00	3.4	7	0	0	1	3	 	26	25	 	 	1	 	 	 	 	 	 	 	 	 	7	7	 	 	 	1
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	37	1638310	Kilpatrick, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1638310	Jr	P	16	4	 	 	 	0.00	7.2	12	0	0	9	10	 	49	40	3	 	1	2	 	 	0	 	 	 	 	 	11	7	 	 	 	2
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	36	1538064	Wright, Mitchell	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1538064	Sr	P	15	10	 	 	 	0.00	6.3	11	0	0	2	13	 	45	39	 	1	1	 	 	2	 	 	 	 	 	 	9	6	 	 	 	5
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	31	1422636	Weaver, Charlie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1422636	So	P	14	0	 	 	 	0.00	0.2	1	0	0	5	0	 	9	2	 	 	 	 	 	2	 	 	 	 	 	 	 	1	 	 	 	 
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	18	1638302	Koger, Daniel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1638302	Sr	P	13	13	 	 	 	0.00	11.1	8	0	0	2	18	 	54	48	1	 	 	 	 	2	 	 	 	 	 	 	17	6	 	 	 	7
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	25	1303201	Crook, Logan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1303201	So	P	12	3	 	 	 	0.00	2.5	0	0	0	1	2	 	14	11	 	 	 	 	 	 	 	 	 	 	 	 	6	3	 	 	 	 
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	33	1638309	Adams, Wilson	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1638309	Jr	P	12	1	 	 	 	0.00	1.3	7	0	0	3	5	 	16	13	 	 	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	4
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	3	1538056	Howell, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1538056	Sr	P	11	10	 	 	 	0.00	10.8	9	0	0	2	9	 	49	45	1	 	 	 	 	 	 	 	 	 	 	 	20	8	 	 	 	3
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	38	1638311	Goss, Dalton	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1638311	Jr	P	11	2	 	 	 	0.00	1.8	0	0	0	2	1	 	15	12	 	 	 	 	1	 	 	 	 	 	 	 	7	3	 	 	 	1
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	23	1638305	McRae, Heath	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1638305	Fr	P	9	4	 	 	 	0.00	1.7	6	0	0	3	2	 	18	15	 	1	1	1	 	 	 	 	 	 	 	 	2	5	 	 	 	 
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	34	1422621	Elder, Brent	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1422621	Jr	P	6	0	 	 	 	0.00	0.3	1	0	0	0	0	 	4	4	 	 	 	 	 	 	 	 	 	 	 	 	2	1	 	 	 	 
2015	12080	2	vs_lhb	10298	10	Ala.-Huntsville	21	1638303	Skipper, Hunter	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1638303	Jr	P	5	1	 	 	 		0.0	1	0	0	0	0	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	8	1317012	Latner, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1317012	Jr	P	47	47	 	 	 	0.00	2.2	3	0	0	0	2	 	10	9	 	 	1	 	 	 	0	 	 	 	 	 	1	4	 	 	 	 
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	10	1544454	Arrington, Jeremy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1544454	So	3B	35	31	 	 	 	0.00	4.2	7	0	0	3	1	 	24	19	1	 	 	1	 	 	 	 	 	 	 	 	9	4	 	 	 	 
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	15	1656309	Hickox, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656309	Jr	INF	35	20	 	 	 	0.00	0.5	0	0	0	1	0	 	8	6	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	 	 
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	16	1656286	Bruner, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656286	Fr	OF	34	27	 	 	 		0.0	0	0	0	1	0	 	1	0	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	21	1658487	Gardner, Herron	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1658487	Fr	C	22	5	 	 	 		0.0	0	0	0	1	0	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	23	1656310	Jones, Zack	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656310	Fr	P	22	14	 	 	 	0.00	0.1	0	0	0	1	0	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	3	1547895	Washington, Fontaine	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1547895	So	P	22	5	 	 	 	0.00	1.6	0	0	0	3	1	 	12	7	 	 	 	 	 	1	 	 	 	 	 	 	5	2	 	 	 	1
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	29	1547405	Coulter, Cullen	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1547405	Sr	P	20	11	 	 	 	0.00	5.0	9	0	0	8	5	 	41	30	1	 	1	2	 	2	 	 	 	 	 	 	1	16	 	 	 	4
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	6	1656313	McKinnis, Elijah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656313	Fr	P	17	0	 	 	 	0.00	0.7	4	0	0	2	0	 	13	10	 	 	 	 	 	 	 	 	 	 	 	 	3	4	 	 	 	 
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	18	1544461	Winns, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1544461	Jr	P	16	0	 	 	 	0.00	1.2	8	0	0	2	0	 	16	13	 	 	 	 	 	1	 	 	 	 	 	 	2	3	 	 	 	 
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	14	1544456	Benard, John Paul	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1544456	So	P	16	12	 	 	 	0.00	10.9	18	0	0	15	7	 	74	57	5	2	 	2	 	 	 	 	 	 	 	 	11	21	 	 	 	3
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	30	1441849	Green, Damarkus	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1441849	Jr	P	15	3	 	 	 	0.00	1.4	2	0	0	3	1	 	12	9	 	 	 	 	 	 	 	 	 	 	 	 	3	3	 	 	 	 
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	24	1656296	Fersobe, Sahir	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656296	Fr	P	14	8	 	 	 	0.00	3.6	10	0	0	1	4	 	24	23	1	1	 	 	 	 	 	 	 	 	 	 	6	3	 	 	 	3
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	31	1656312	Logan, Martin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656312	Fr	P	12	1	 	 	 	0.00	0.3	2	0	0	3	1	 	8	5	 	 	 	3	 	 	 	 	 	 	 	 	2	 	 	 	 	1
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	5	1656314	Wilcher, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656314	Fr	P	11	0	 	 	 	0.00	0.3	0	0	0	3	1	 	7	3	 	 	 	2	 	1	 	 	 	 	 	 	1	1	 	 	 	 
2015	12080	2	vs_lhb	10298	13	Albany St. (GA)	33	1671899	,	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1671899	N/A	P	4	1	 	 	 	0.00	0.1	0	0	0	1	0	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	1	1310935	Quay, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1310935	Sr	OF	49	48	 	 	 	0.00	0.1	2	0	0	0	0	 	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	6	1656346	Shaw, Trent	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656346	Jr	INF	31	14	 	 	 	0.00	1.7	4	0	0	1	5	 	15	14	1	 	 	 	 	 	 	 	 	 	 	 	3	2	 	 	 	1
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	25	1537715	Overstreet, Koby	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1537715	So	P	11	9	 	 	 	0.00	5.9	9	0	0	4	4	 	38	32	3	 	1	6	 	2	 	 	 	 	 	 	8	10	 	 	 	1
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	0	1557397	Dobnak, Randy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1557397	So	P	11	11	 	 	 	0.00	9.5	11	0	0	3	6	 	47	42	1	3	1	1	 	1	0	 	 	 	 	 	14	10	 	 	 	1
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	10	1656347	Stage, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656347	Jr	P	11	11	 	 	 	0.00	9.8	16	0	0	7	10	 	61	53	2	1	1	4	 	 	0	 	 	 	 	 	14	10	 	 	 	6
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	39	1426731	Boatto, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1426731	Jr	P	11	9	 	 	 	0.00	7.9	10	0	0	4	12	 	44	38	2	 	 	1	 	 	 	 	 	 	 	 	6	10	 	 	 	2
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	38	1537703	Larkey, Jeremy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1537703	So	P	8	1	 	 	 	0.00	0.4	1	0	0	4	1	 	10	4	 	 	 	1	 	1	1	 	 	 	 	 	3	 	 	 	 	 
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	12	1656348	Thompson, Zach	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656348	Fr	P	8	2	 	 	 	0.00	4.7	8	0	0	4	7	 	31	27	2	1	 	2	 	 	 	 	 	 	 	 	8	3	 	 	 	1
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	28	1537718	Mnich, Michael	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1537718	So	P	6	5	 	 	 	0.00	6.3	6	0	0	2	4	 	30	26	3	 	1	1	1	1	 	 	 	 	 	 	9	7	 	 	 	1
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	24	1656335	Griffiths, Mitchell	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656335	Fr	P	6	0	 	 	 	0.00	2.4	3	0	0	0	2	 	14	13	2	 	 	 	 	1	 	 	 	 	 	 	7	1	 	 	 	1
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	41	1656341	Noon, Grant	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1656341	Fr	P	5	2	 	 	 	0.00	2.1	6	0	0	1	1	 	13	12	2	 	 	1	 	 	 	 	 	 	 	 	2	3	 	 	 	 
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	30	1426712	Wisman, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1426712	Jr	P	4	0	 	 	 	0.00	1.2	2	0	0	2	0	 	8	5	 	 	 	 	 	 	0	 	 	 	 	 	2	2	 	 	 	 
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	9	1310942	Mouser, Trevor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1310942	Jr	P	4	0	 	 	 	0.00	0.3	3	0	0	0	1	 	7	5	 	 	 	 	 	1	 	 	 	 	 	 	1	1	 	 	 	1
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	34	1426727	Polanco, Dario	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1426727	Jr	P	1	0	 	 	 		0.0	1	0	0	0	0	 	1	1	 	1	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2015	12080	2	vs_lhb	10298	934	Alderson Broaddus	19	1537697	Arreguin, Ruben	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1537697	So	P	1	0	 	 	 	0.00	0.1	1	0	0	0	1	 	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2015	12080	2	vs_lhb	10298	22	American Int'l	8	1330470	Kerlejza, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1330470	Sr	OF	24	20	 	 	 	0.00	13.8	20	0	0	6	8	 	73	67	3	1	1	3	 	 	0	 	 	 	 	 	24	12	 	 	 	3
2015	12080	2	vs_lhb	10298	22	American Int'l	34	1557084	Barthelette, Michael	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1557084	So	C	14	0	 	 	 	0.00	0.2	0	0	0	2	0	 	4	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 
