year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	2	1884359	Marbach, Luke	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884359	Fr	INF	33	19		0.290	0.421	0.484	7	31	9	1	1	15	1	3	4	3			8		2		1	
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	18	1652734	Balfantz, Scott	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652734	Jr	C	31	17		0.250	0.348	0.250	2	20	5			5		1	3				10		1			
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	15	1770948	DiNicola, Harrison	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770948	So	P	27	14		0.000	0.000	0.000	0	2	0			0		0										
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	36	1884354	Djehuti-Mes, Nkosi	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884354	So	OF	23	17		0.111	0.172	0.148	1	27	3	1		4		1	2				18					
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	13	1884319	Ruiz, RJ	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884319	Jr	INF	18	4		0.222	0.222	0.222	0	9	2			2		1					2					
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	24	1884353	Brokop, Dan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884353	Jr	INF	16	4		0.143	0.250	0.286	1	14	2		1	4		0	2				8					
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	38	1884358	Osborn, Drake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884358	Fr	C	12	3		0.000	0.000	0.000	0	5	0			0		0					4					
2017	12560	1	vs_lhp	10588	26172	A&M-Corpus Chris	4	1884315	Mahofski, Sam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884315	Jr	INF	11	4		0.100	0.100	0.100	0	10	1			1		0					3					
2017	12560	1	vs_lhp	10588	2	Abilene Christian	10	1547029	Crippen, Russell	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547029	Sr	INF	56	56		0.354	0.456	0.708	13	48	17	8		34	3	6	6	3			5				1	
2017	12560	1	vs_lhp	10588	2	Abilene Christian	12	1767867	Pearson, Mark	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767867	So	SS	56	56		0.151	0.196	0.226	3	53	8	4		12		2	2	1		2	15	2				
2017	12560	1	vs_lhp	10588	2	Abilene Christian	7	1767864	Scott, Derek	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767864	So	OF	55	55		0.207	0.292	0.224	10	58	12	1		13		2	5	2			11				3	
2017	12560	1	vs_lhp	10588	2	Abilene Christian	24	1884443	Trevino, Luis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884443	Jr	C	55	55		0.370	0.404	0.611	7	54	20	5	1	33	2	10	3				6	2				
2017	12560	1	vs_lhp	10588	2	Abilene Christian	6	1884436	Farkas, Dalon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884436	So	INF	54	51		0.096	0.130	0.192	4	52	5		1	10	1	3	2				13	1				
2017	12560	1	vs_lhp	10588	2	Abilene Christian	13	1884437	Dominguez, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884437	Fr	INF	53	45		0.275	0.339	0.392	1	51	14	3		20	1	7	5			2	4	1				
2017	12560	1	vs_lhp	10588	2	Abilene Christian	29	1884456	Claborn, Koby	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884456	So	INF	51	47		0.227	0.375	0.318	5	44	10	1		14	1	6	11		1	1	18		1		1	
2017	12560	1	vs_lhp	10588	2	Abilene Christian	9	1547018	Draper, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547018	Sr	3B	50	46		0.256	0.319	0.395	4	43	11	1	1	17	1	5	4			2	8	2			4	
2017	12560	1	vs_lhp	10588	2	Abilene Christian	26	1884444	Solomon, Cole	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884444	Fr	C	48	43		0.259	0.364	0.370	2	27	7			10	1	4	4	1	1	1	4		1			
2017	12560	1	vs_lhp	10588	2	Abilene Christian	5	1884435	Lewis, Bradley	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884435	Jr	OF	31	10		0.167	0.286	0.333	1	6	1	1		2		1	1				2					
2017	12560	1	vs_lhp	10588	2	Abilene Christian	11	1884459	Pascahll, Myles	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884459	Fr	OF	26	6		0.200	0.200	0.500	2	10	2			5	1	4					6					
2017	12560	1	vs_lhp	10588	2	Abilene Christian	41	1884461	Bourland, Lane	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884461	Fr	C	26	15		0.227	0.261	0.227	3	22	5			5		1	1				9					
2017	12560	1	vs_lhp	10588	2	Abilene Christian	33	1884457	Warren, Hillin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884457	Jr	INF	23	14		0.111	0.273	0.111	3	9	1			1		0	1	1		2	6					
2017	12560	1	vs_lhp	10588	2	Abilene Christian	32	1767887	Ruot, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767887	So	INF	20	2		0.333	0.333	0.333	0	3	1			1		0					2					
2017	12560	1	vs_lhp	10588	2	Abilene Christian	27	1767885	Hays, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767885	So	C	4	1		0.000	0.000	0.000	1	3	0			0		0										
2017	12560	1	vs_lhp	10588	2	Abilene Christian	8	1767865	Markwardt, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767865	So	OF	3	2		0.000	0.000	0.000	0	3	0			0		0										
2017	12560	1	vs_lhp	10588	721	Air Force	5	1769403	Ready, Nic	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769403	So	INF	53	53		0.348	0.354	0.696	11	46	16	3	2	32	3	10	1		1		6	2				
2017	12560	1	vs_lhp	10588	721	Air Force	21	1653231	Zabojnik, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653231	Jr	INF	53	53		0.357	0.426	0.524	6	42	15	2	1	22	1	4	4	1			8	1			1	
2017	12560	1	vs_lhp	10588	721	Air Force	9	1769404	Dau, Rob	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769404	So	C	53	53		0.214	0.378	0.357	4	28	6	1		10	1	4	8		1	4	12	1				
2017	12560	1	vs_lhp	10588	721	Air Force	1	1527627	Groesbeck, Adam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527627	Sr	OF	50	50		0.435	0.460	0.826	13	46	20	5	2	38	3	13	3		1		4	2	1		1	
2017	12560	1	vs_lhp	10588	721	Air Force	3	1527639	Haslam, Bradley	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527639	Sr	INF	49	49		0.333	0.340	0.489	8	45	15	4		22	1	6	1		1		4	1			1	
2017	12560	1	vs_lhp	10588	721	Air Force	19	1769409	Wiss, Drew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769409	So	OF	48	44		0.286	0.429	0.286	6	28	8			8		1	5	2			8					
2017	12560	1	vs_lhp	10588	721	Air Force	17	1527634	Williams, Russell	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527634	Sr	INF	47	45		0.412	0.475	0.588	7	34	14	1	1	20	1	12	4	1	1	1	4					
2017	12560	1	vs_lhp	10588	721	Air Force	2	1527628	Jones, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527628	Sr	OF	43	43		0.471	0.538	0.853	9	34	16	7		29	2	9	5				4				2	
2017	12560	1	vs_lhp	10588	721	Air Force	23	1879033	Easley, Ashton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879033	Fr	OF	42	23		0.222	0.263	0.333	4	18	4		1	6		3		1			3				1	
2017	12560	1	vs_lhp	10588	721	Air Force	12	1653232	Mize, Shaun	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653232	Sr	INF	37	31		0.240	0.387	0.280	5	25	6	1		7		2	4	2			3	2				
2017	12560	1	vs_lhp	10588	721	Air Force	25	1653241	Robb, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653241	Jr	INF	32	16		0.182	0.308	0.182	1	11	2			2		0	1	1			2					
2017	12560	1	vs_lhp	10588	721	Air Force	13	1769407	Jones, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769407	So	OF	30	14		0.333	0.375	0.667	4	15	5	2		10	1	3	1				3	1				
2017	12560	1	vs_lhp	10588	721	Air Force	14	1653242	Graham, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653242	Jr	OF	21	2		0.667	0.667	0.667	0	3	2			2		1					1					
2017	12560	1	vs_lhp	10588	721	Air Force	10	1769405	Martinez, Gabe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769405	So	C	12	0		1.000	1.000	1.000	0	1	1			1		1										
2017	12560	1	vs_lhp	10588	8	Alabama	7	1772378	Taylor, Chandler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1772378	So	OF	54	52		0.246	0.302	0.632	10	57	14	2	1	36	6	10	5		1		21	1				
2017	12560	1	vs_lhp	10588	8	Alabama	1	1772375	Vance, Cobie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1772375	So	INF	54	54		0.239	0.314	0.304	5	46	11	3		14		6	5			3	4	3	1		1	
2017	12560	1	vs_lhp	10588	8	Alabama	11	1655482	Short, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1655482	Jr	INF	54	53		0.205	0.273	0.410	7	39	8	2		16	2	5	4		1	2	10	1			1	
2017	12560	1	vs_lhp	10588	8	Alabama	5	1655473	Avant, Chandler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1655473	Jr	INF	54	54		0.327	0.351	0.418	8	55	18	2		23	1	2	1	1		1	3	2	1		1	
2017	12560	1	vs_lhp	10588	8	Alabama	9	1655478	Henry, Cody	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1655478	Jr	INF	50	49		0.362	0.392	0.702	8	47	17	4		33	4	17	1	2	1	2	12	2	1			
2017	12560	1	vs_lhp	10588	8	Alabama	8	1774385	DeVinny, Tanner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1774385	Sr	C	48	30		0.222	0.481	0.389	2	18	4			7	1	3	8	1			7		1			
2017	12560	1	vs_lhp	10588	8	Alabama	22	1871413	Alexander, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871413	Jr	INF	47	47		0.387	0.474	0.452	6	31	12	2		14		2	6		1		5					
2017	12560	1	vs_lhp	10588	8	Alabama	28	1871419	Kaufman, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871419	So	C	44	39		0.389	0.463	0.472	7	36	14			17	1	3		5		2	4	1			1	
2017	12560	1	vs_lhp	10588	8	Alabama	19	1871418	Carey, Logan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871418	Fr	OF	43	23		0.133	0.188	0.200	0	15	2	1		3		0	1				7				1	
2017	12560	1	vs_lhp	10588	8	Alabama	10	1774386	Finnerty, Sam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1774386	So	OF	41	20		0.292	0.346	0.417	2	24	7	3		10		5	2				3	1				
2017	12560	1	vs_lhp	10588	8	Alabama	13	1871423	McCleney, Walker	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871423	Fr	OF	39	15		0.273	0.273	0.273	2	11	3			3		0				1	3					
2017	12560	1	vs_lhp	10588	8	Alabama	6	1772364	Webb, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1772364	Fr	C	31	14		0.100	0.100	0.100	0	10	1			1		0				2	1	1				
2017	12560	1	vs_lhp	10588	8	Alabama	14	1772362	Wood, Gene	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1772362	So	INF	30	23		0.333	0.417	0.381	2	21	7	1		8		1	2	1		1	4					
2017	12560	1	vs_lhp	10588	8	Alabama	48	1774392	Wright, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1774392	Fr	OF	26	0		0.000	0.000	0.000	1	2	0			0		0					1					
2017	12560	1	vs_lhp	10588	8	Alabama	2	1871448	Trousdale, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871448	Fr	INF	24	1		0.000	0.000	0.000	0	2	0			0		0										
2017	12560	1	vs_lhp	10588	8	Alabama	41	1416305	Poe, Taylor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1416305	Sr	C	22	4		0.000	0.083	0.000	0	11	0			0		0		1			6					
2017	12560	1	vs_lhp	10588	8	Alabama	37	1655476	Coker, Zack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1655476	So	INF	21	0		0.000	0.143	0.000	0	6	0			0		1	1			1	2					
2017	12560	1	vs_lhp	10588	8	Alabama	18	1774388	Holcombe, Keith	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1774388	So	OF	13	10		0.000	0.000	0.000	0	3	0			0		0					2					
2017	12560	1	vs_lhp	10588	8	Alabama	15	1871416	Bauer, Camden	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871416	Fr	INF	3	0		0.000	0.000	0.000	0	1	0			0		0										
2017	12560	1	vs_lhp	10588	6	Alabama A&M	1	1773864	Peppers, Carlton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1773864	Jr	OF	57	57		0.182	0.200	0.295	3	44	8	2		13	1	4	1			3	4	2				
2017	12560	1	vs_lhp	10588	6	Alabama A&M	16	1879683	McGregory, Carson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879683	Jr	1B	56	56		0.229	0.325	0.343	6	35	8	4		12		1	4	1			9					
2017	12560	1	vs_lhp	10588	6	Alabama A&M	22	1879692	Mitchell, Dalton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879692	So	P	54	44		0.312	0.333	0.344	3	32	10	1		11		2	1				5					
2017	12560	1	vs_lhp	10588	6	Alabama A&M	19	1879693	Betancourt, Wilanier	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879693	So	C	53	50		0.222	0.243	0.222	3	36	8			8		3	1				6					
2017	12560	1	vs_lhp	10588	6	Alabama A&M	6	1773879	Brewton, Pierre	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1773879	So	INF	52	49		0.297	0.316	0.351	1	37	11	2		13		6	1			2	9					
2017	12560	1	vs_lhp	10588	6	Alabama A&M	35	1879699	Malcom, Zeth	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879699	Fr	C	51	48		0.250	0.333	0.286	4	28	7	1		8		4	4		1		1	2	1		1	
2017	12560	1	vs_lhp	10588	6	Alabama A&M	20	1440371	Woods, Cornelious	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1440371	Sr	INF	49	48		0.318	0.304	0.455	3	22	7	1	1	10		4			1		9	2				
2017	12560	1	vs_lhp	10588	6	Alabama A&M	7	1879677	Diaz Jr., Fernando	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879677	Fr	P	45	34		0.350	0.350	0.400	1	20	7	1		8		0					5				1	
2017	12560	1	vs_lhp	10588	6	Alabama A&M	3	1773874	Whitaker, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1773874	So	INF	40	32		0.176	0.176	0.176	1	17	3			3		1					6	1				
2017	12560	1	vs_lhp	10588	6	Alabama A&M	17	1879684	Diaz, Joannes	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879684	Fr	C	38	35		0.222	0.440	0.222	3	18	4			4		0	7			4	6		1			
2017	12560	1	vs_lhp	10588	6	Alabama A&M	21	1879691	Hunter, Njike	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879691	Fr	OF	38	28		0.231	0.333	0.385	2	13	3	2		5		1	2				5	1				
2017	12560	1	vs_lhp	10588	6	Alabama A&M	13	1889146	Gay, Caleb	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1889146	Fr	P	31	24		0.143	0.200	0.143	0	14	2			2		1	1				4					
2017	12560	1	vs_lhp	10588	6	Alabama A&M	11	1879680	Redmond, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879680	Fr	OF	21	14		0.250	0.400	0.250	0	12	3			3		0	2	1			3					
2017	12560	1	vs_lhp	10588	6	Alabama A&M	9	1879679	Smith, Darius	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879679	Fr	INF	20	9		0.000	0.222	0.000	0	7	0			0		0	2				4					
2017	12560	1	vs_lhp	10588	6	Alabama A&M	18	1879685	Mayhand, Dameyune	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879685	Fr	INF	18	4		0.000	0.000	0.000	0	3	0			0		0					1	1				
2017	12560	1	vs_lhp	10588	6	Alabama A&M	5	1773878	Beachem, Darren	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1773878	Fr	C	11	6		0.200	0.200	0.200	0	5	1			1		1					2					
2017	12560	1	vs_lhp	10588	7	Alabama St.	25	1661687	Hernandez, Ray	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1661687	Jr	INF	56	56		0.242	0.273	0.339	8	62	15	3		21	1	11	3		1		21	3				
2017	12560	1	vs_lhp	10588	7	Alabama St.	2	1761904	Ocasio, Carlos	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1761904	Sr	OF	56	55		0.350	0.429	0.417	12	60	21	1		25	1	6	5	4	1		16	2	2		2	
2017	12560	1	vs_lhp	10588	7	Alabama St.	40	1661690	Rios, Gustavo	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1661690	Jr	1B	54	53		0.412	0.429	0.667	12	51	21	7		34	2	11	3		2		7	1				
2017	12560	1	vs_lhp	10588	7	Alabama St.	5	1879495	Cox, Cage	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879495	Fr	OF	52	48		0.264	0.339	0.340	11	53	14	1		18	1	4	6				9	2				
2017	12560	1	vs_lhp	10588	7	Alabama St.	1	1761903	Amion, Diandre	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1761903	So	OF	48	41		0.353	0.410	0.441	6	34	12	3		15		6	3	1	1	3	10	2	1			
2017	12560	1	vs_lhp	10588	7	Alabama St.	19	1661682	Biocic, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1661682	Sr	C	48	39		0.140	0.229	0.233	3	43	6	1		10	1	5	5			2	11	2				
2017	12560	1	vs_lhp	10588	7	Alabama St.	8	1661684	Estrada, Joseph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1661684	Jr	OF	48	44		0.225	0.365	0.425	7	40	9	2		17	2	4	6	4	2		10				1	
2017	12560	1	vs_lhp	10588	7	Alabama St.	10	1761908	White, Eriq	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1761908	So	INF	46	40		0.238	0.312	0.262	4	42	10	1		11		3	3	2	1		12		1		1	
2017	12560	1	vs_lhp	10588	7	Alabama St.	29	1879499	Rivera, Edgardo	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879499	Sr	OF	43	21		0.300	0.440	0.400	7	20	6	2		8		2	5			1	2		1			
2017	12560	1	vs_lhp	10588	7	Alabama St.	38	1661680	Allen, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1661680	Jr	C	41	34		0.219	0.333	0.344	1	32	7	4		11		9	6		1	1	10	1				
2017	12560	1	vs_lhp	10588	7	Alabama St.	44	1761919	Phillips, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1761919	So	OF	40	27		0.261	0.333	0.304	2	23	6	1		7		5	2	1	1		4					
2017	12560	1	vs_lhp	10588	7	Alabama St.	15	1879496	Dunson, Joshua	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879496	Fr	INF	36	29		0.150	0.143	0.300	3	20	3			6	1	4			1		9					
2017	12560	1	vs_lhp	10588	7	Alabama St.	9	1761907	Prioleau, Oscar	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1761907	So	INF	32	13		0.118	0.211	0.118	0	17	2			2		0	2				5				1	
2017	12560	1	vs_lhp	10588	7	Alabama St.	30	1879498	Perez, Ricky	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879498	Fr	OF	13	1		0.000	0.500	0.000	0	1	0			0		0	1									
2017	12560	1	vs_lhp	10588	7	Alabama St.	16	1879494	Benevolent, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879494	Fr	INF	11	2		0.143	0.143	0.143	0	7	1			1		0					2					
2017	12560	1	vs_lhp	10588	7	Alabama St.	33	1761915	Gerard, Nate	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1761915	So	C	4	1		0.667	0.667	1.000	1	3	2	1		3		0					1					
2017	12560	1	vs_lhp	10588	14	Albany (NY)	24	1428891	Harasta, Evan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1428891	Sr	C	52	50		0.351	0.400	0.378	4	37	13	1		14		5	3				5	2				
2017	12560	1	vs_lhp	10588	14	Albany (NY)	12	1771119	Donati, Kevin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1771119	So	INF	52	52		0.293	0.318	0.439	7	41	12	3		18	1	6	2		1		12				1	
2017	12560	1	vs_lhp	10588	14	Albany (NY)	1	1878151	Collins, Travis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878151	So	INF	52	52		0.212	0.325	0.273	4	33	7	2		9		2	6		1		6	1			1	
2017	12560	1	vs_lhp	10588	14	Albany (NY)	25	1771125	Powers, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1771125	Jr	OF	51	50		0.176	0.282	0.324	7	34	6	5		11		4	4	1			12	1				
2017	12560	1	vs_lhp	10588	14	Albany (NY)	15	1771126	Sacks, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1771126	Sr	OF	49	45		0.343	0.415	0.371	4	35	12	1		13		2	5		1	1	1		2			
2017	12560	1	vs_lhp	10588	14	Albany (NY)	7	1878159	Wangenstein, Marc	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1878159	Fr	OF	46	40		0.200	0.250	0.300	2	30	6	1	1	9		5	2				11	1				
2017	12560	1	vs_lhp	10588	14	Albany (NY)	21	1428892	Hinchy, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1428892	Sr	INF	46	44		0.100	0.206	0.133	1	30	3	1		4		2	4				5					
