year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2015	12080	71	Bowling Green	-	Opponent Totals	-	-	-	-	 	 	4.57	132.0	146	97	67	53	113	 	595	516	24	3	5	13	2	10	2	 	 	12	4	 	138	114	 	 	 	39
2015	12080	72	Bradley	-	Totals	-	-	-	-	 	 	3.87	156.0	125	69	67	62	128	5	650	558	27	5	12	13	4	16	 	 	 	8	6	 	124	190	 	 	 	36
2015	12080	72	Bradley	-	Opponent Totals	-	-	-	-	 	 	5.17	155.0	161	112	89	66	158	 	710	594	38	6	17	15	4	21	1	 	 	19	10	 	153	130	 	 	 	60
2015	12080	80	Brown	-	Totals	-	-	-	-	 	 	9.77	93.0	141	117	101	64	58	 	499	401	16	5	7	17	4	23	 	 	 	2	9	 	107	94	 	 	 	14
2015	12080	80	Brown	-	Opponent Totals	-	-	-	-	 	 	4.98	103.0	121	64	57	55	71	1	484	410	22	3	6	12	2	13	2	 	 	1	5	 	120	100	 	 	 	22
2015	12080	81	Bryant	-	Totals	-	-	-	-	 	 	5.71	104.0	116	92	66	73	97	1	513	403	33	1	8	18	2	14	1	 	 	15	8	 	96	99	 	 	 	31
2015	12080	81	Bryant	-	Opponent Totals	-	-	-	-	 	 	4.30	115.0	105	75	55	56	121	 	515	437	21	5	9	12	3	11	 	 	 	5	6	 	108	99	 	 	 	29
2015	12080	83	Bucknell	-	Totals	-	-	-	-	 	 	4.23	134.0	146	88	63	51	102	 	615	517	19	3	4	17	2	24	 	 	 	12	11	 	172	100	 	 	 	40
2015	12080	83	Bucknell	-	Opponent Totals	-	-	-	-	 	 	5.68	130.0	150	98	82	76	104	1	628	530	28	2	9	14	 	14	5	 	 	3	5	 	144	124	 	 	 	35
2015	12080	86	Buffalo	-	Totals	-	-	-	-	 	 	7.43	103.0	114	95	85	64	103	 	497	404	18	9	12	10	6	20	 	 	 	1	8	 	86	99	 	 	 	33
2015	12080	86	Buffalo	-	Opponent Totals	-	-	-	-	 	 	3.11	113.0	97	48	39	41	127	1	497	423	16	1	4	10	 	24	 	 	 	5	4	 	111	85	 	 	 	40
2015	12080	87	Butler	-	Totals	-	-	-	-	 	 	6.68	160.1	206	136	119	64	113	2	754	649	45	3	12	6	5	19	1	 	 	19	3	 	187	152	 	 	 	32
2015	12080	87	Butler	-	Opponent Totals	-	-	-	-	 	 	4.25	169.1	174	106	80	74	115	 	762	657	42	1	8	19	1	17	1	 	 	11	3	 	213	151	 	 	 	50
2015	12080	101	CSUN	-	Totals	-	-	-	-	 	 	2.16	175.0	140	53	42	52	160	5	715	634	17	6	8	11	3	9	1	 	 	18	2	 	202	133	 	 	 	40
2015	12080	101	CSUN	-	Opponent Totals	-	-	-	-	 	 	4.08	170.0	168	101	77	70	130	 	751	636	29	7	7	19	6	17	4	 	 	19	9	 	175	172	 	 	 	28
2015	12080	90	Cal Poly	-	Totals	-	-	-	-	 	 	3.77	148.0	144	89	62	70	143	 	660	553	19	9	2	11	1	9	3	 	 	17	11	 	138	140	 	 	 	41
2015	12080	90	Cal Poly	-	Opponent Totals	-	-	-	-	 	 	4.02	150.0	152	86	67	51	121	4	669	589	33	6	6	13	4	13	2	 	 	11	5	 	158	159	 	 	 	25
2015	12080	97	Cal St. Fullerton	-	Totals	-	-	-	-	 	 	3.59	168.0	165	78	67	38	171	3	708	650	26	9	11	9	 	10	1	 	 	6	3	 	145	161	 	 	 	53
2015	12080	97	Cal St. Fullerton	-	Opponent Totals	-	-	-	-	 	 	4.53	163.0	153	95	82	86	162	2	741	603	19	7	5	25	4	26	 	 	 	18	8	 	164	133	 	 	 	47
2015	12080	107	California	-	Totals	-	-	-	-	 	 	2.66	179.0	128	64	53	53	154	1	731	633	16	 	6	23	2	21	1	 	 	17	7	 	194	163	 	 	 	47
2015	12080	107	California	-	Opponent Totals	-	-	-	-	 	 	6.04	167.0	202	139	112	90	125	 	801	660	33	4	18	20	3	18	4	 	 	20	13	 	173	173	 	 	 	39
2015	12080	115	Campbell	-	Totals	-	-	-	-	 	 	2.57	189.0	169	73	54	45	161	1	784	717	29	5	9	11	1	11	1	 	 	7	4	 	169	210	 	 	 	41
2015	12080	115	Campbell	-	Opponent Totals	-	-	-	-	 	 	5.93	173.0	219	147	114	45	96	 	808	681	37	6	14	19	5	43	 	 	 	27	12	 	194	183	 	 	 	24
2015	12080	116	Canisius	-	Totals	-	-	-	-	 	 	6.33	166.1	189	144	117	97	142	 	808	676	37	10	16	25	3	20	 	 	 	9	6	 	201	136	 	 	 	43
2015	12080	116	Canisius	-	Opponent Totals	-	-	-	-	 	 	4.42	173.0	178	114	85	86	175	1	799	668	39	7	12	19	5	26	2	 	 	6	12	 	182	135	 	 	 	66
