year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2014	11620	2	Abilene Christian	4	1547026	Waters, Taylor	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547026	Fr	OF	25	14	25	0.214	0.302	0.214	56	6	12	 	 	""	 	2	6	1	 	3	20	2	3	 	 
2014	11620	2	Abilene Christian	28	1215886	Rodriguez, Brady	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1215886	Sr	P	24	8	24	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	23	1547042	Sheets, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547042	Jr	P	23	1	23	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	24	1547053	Messman, Connor	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547053	Fr	C	23	22	23	0.154	0.286	0.169	65	6	10	1	 	""	 	7	10	2	 	2	12	2	1	4	 
2014	11620	2	Abilene Christian	31	1547057	Lambright, Austin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547057	Fr	P	20	7	20	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	32	1547058	Zotyka, Ladgie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547058	Jr	P	19	2	19	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	30	1547056	Wakefield, Hunter	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547056	So	P	15	0	15	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	27	1547055	Walker, Ty	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547055	So	P	15	3	15	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	34	1547060	Cole, Nate	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547060	So	P	13	7	13	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	25	1547054	Lambright, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547054	Fr	P	10	1	10	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	13	1547031	Altimont, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547031	Fr	OF	9	7	9	0.182	0.357	0.182	22	1	4	 	 	""	 	1	6	 	 	 	6	1	1	 	 
2014	11620	2	Abilene Christian	21	1547050	Patke, Stuart	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547050	So	P	8	1	8	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	40	1547064	Gawrieh, Joe	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547064	So	P	8	3	8	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	36	1547062	Morgan, Mack	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547062	Fr	P	7	2	7	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	16	1547033	Sterne, Cameron	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547033	Fr	OF	5	3	5	0.083	0.154	0.083	12	2	1	 	 	""	 	1	1	 	 	 	5	 	1	 	 
2014	11620	2	Abilene Christian	37	1547063	Sager, Gabe	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547063	Fr	P	5	0	5	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	2	Abilene Christian	15	1547032	Kinzler, Scott	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547032	Fr	P	3	0	3	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	721	Air Force	2	1527628	Jones, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527628	Fr	INF	54	54	54	0.338	0.399	0.518	195	30	66	19	2	101	4	31	10	11	2	1	37	4	7	6	 
2014	11620	721	Air Force	25	1422367	Draws, Spencer	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422367	So	INF	54	51	54	0.269	0.329	0.355	197	26	53	10	2	70	1	16	17	1	1	3	23	3	3	1	 
2014	11620	721	Air Force	35	1442119	Kline, Seth	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1442119	Fr	1B	54	52	54	0.222	0.332	0.356	194	28	43	11	 	""	5	28	28	4	 	1	29	6	4	3	 
2014	11620	721	Air Force	17	1527634	Williams, Russell	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527634	Fr	INF	53	53	53	0.221	0.278	0.297	172	23	38	5	1	51	2	14	12	2	1	5	41	2	2	1	 
2014	11620	721	Air Force	11	1308135	Pierce, Noah	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1308135	Jr	INF	52	49	52	0.296	0.317	0.429	196	30	58	13	2	84	3	25	5	1	 	3	33	6	2	2	 
2014	11620	721	Air Force	24	1308140	Thomas, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1308140	Jr	OF	51	44	51	0.234	0.331	0.352	145	24	34	6	1	51	3	16	18	3	 	 	35	1	6	4	 
2014	11620	721	Air Force	20	1527635	Neubeck, Travis	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527635	Fr	C	42	30	42	0.262	0.347	0.379	103	18	27	6	 	""	2	16	14	 	1	4	12	2	 	 	 
2014	11620	721	Air Force	29	1308138	Schomaker, Jake	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1308138	Sr	OF	39	12	39	0.218	0.259	0.273	55	5	12	1	1	""	 	2	1	2	 	 	8	2	 	 	 
2014	11620	721	Air Force	19	1308134	Sicher, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1308134	Jr	C	38	27	38	0.187	0.221	0.220	91	6	17	3	 	""	 	11	3	1	 	2	18	4	 	 	 
2014	11620	721	Air Force	1	1527627	Groesbeck, Adam	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527627	Fr	INF	38	24	38	0.148	0.216	0.198	81	9	12	1	 	""	1	5	5	2	 	6	14	5	1	2	 
2014	11620	721	Air Force	33	1527639	Haslam, Bradley	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527639	Fr	INF	35	23	35	0.273	0.333	0.338	77	8	21	5	 	""	 	12	5	2	 	1	11	1	 	1	 
2014	11620	721	Air Force	39	1422373	Poje, Coleman	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422373	So	P	31	18	31	0.235	0.253	0.296	81	7	19	5	 	""	 	5	1	1	 	1	19	3	1	1	 
2014	11620	721	Air Force	5	1527630	Blankenship, Adam	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527630	So	OF	30	16	30	0.266	0.288	0.312	64	5	17	3	 	""	 	7	2	 	 	1	19	1	1	 	 
2014	11620	721	Air Force	22	1527636	Jax, Griffin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527636	Fr	INF	29	25	29	0.250	0.460	0.306	36	7	9	2	 	""	 	4	13	1	 	 	16	 	 	 	 
2014	11620	721	Air Force	27	1527638	Stanford, Nathan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527638	Fr	P	27	0	27	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	721	Air Force	12	1422363	Wilson, Bo	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422363	So	P	26	7	26	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	721	Air Force	21	1308137	Yokley, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1308137	Jr	P	25	1	25	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	721	Air Force	18	1436376	Saleck, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1436376	Jr	INF	25	19	25	0.266	0.301	0.481	79	8	21	4	2	38	3	12	4	 	 	2	20	2	 	2	 
2014	11620	721	Air Force	23	1422366	Monaghan, Trent	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422366	So	P	19	2	19	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	721	Air Force	4	1527629	Denkinger, Anthony	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527629	Fr	INF	19	0	19	0.000	0.111	0.000	8	2	 	 	 	""	 	 	1	 	 	 	5	 	 	 	 
2014	11620	721	Air Force	28	1217031	White, Cameron	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1217031	Sr	P	18	16	18	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	721	Air Force	30	1422370	Trojan, Steven	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422370	So	P	16	13	16	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	721	Air Force	26	1527637	Hanlin, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527637	Fr	C	14	0	14	0.100	0.182	0.100	10	 	1	 	 	""	 	 	 	1	 	 	2	 	 	 	 
2014	11620	721	Air Force	16	1527633	DeVries, Jacob	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527633	Fr	P	9	1	9	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	721	Air Force	32	1422372	Weaver, Brady	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422372	So	P	2	0	2	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	721	Air Force	15	1527632	Joiner, Everett	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1527632	Fr	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	5	Akron	37	1543284	Meeker III, James	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1543284	Fr	INF	56	56	56	0.275	0.343	0.309	207	25	57	7	 	""	 	22	21	1	1	2	36	5	2	 	 
2014	11620	5	Akron	6	1218820	Ahart, Devan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1218820	Jr	OF	56	56	56	0.311	0.395	0.404	225	35	70	8	2	91	3	32	30	4	4	2	16	3	27	6	 
2014	11620	5	Akron	23	1543289	Sheltrown, James	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1543289	Sr	INF	54	53	54	0.271	0.448	0.325	166	38	45	7	1	""	 	15	34	20	1	10	33	6	13	1	 
2014	11620	5	Akron	7	1436916	Simonton, Kris	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1436916	So	INF	50	50	50	0.320	0.404	0.361	194	39	62	5	 	""	1	23	23	5	1	4	35	1	12	2	 
2014	11620	5	Akron	4	1436915	Mosbarger, Daulton	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1436915	So	P	46	35	46	0.246	0.331	0.352	142	22	35	10	1	50	1	18	15	4	2	2	31	2	2	 	 
2014	11620	5	Akron	18	1436926	LaRocca, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1436926	Jr	INF	45	35	45	0.228	0.285	0.370	127	13	29	3	 	""	5	15	9	1	 	5	40	3	1	 	 
2014	11620	5	Akron	13	1321052	Rembielak, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1321052	Jr	INF	43	42	43	0.240	0.314	0.286	154	17	37	7	 	""	 	21	16	2	3	2	25	3	1	 	 
2014	11620	5	Akron	5	1104710	Stewart, Brady	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1104710	Sr	C	41	35	41	0.213	0.259	0.247	150	13	32	5	 	""	 	20	7	3	2	1	23	4	2	 	 
2014	11620	5	Akron	17	1436919	Salem, Billy	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1436919	So	INF	37	27	37	0.243	0.347	0.308	107	11	26	5	1	""	 	14	14	3	 	3	13	1	1	 	 
2014	11620	5	Akron	15	1543279	Iero, Dom	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1543279	Fr	INF	35	23	35	0.235	0.337	0.329	85	13	20	5	 	""	1	10	10	3	 	3	16	3	1	2	 
2014	11620	5	Akron	19	1218821	Havrilak, Joey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1218821	Jr	OF	33	30	33	0.285	0.367	0.407	123	21	35	6	 	""	3	19	15	1	 	4	20	2	10	3	 
2014	11620	5	Akron	16	1543281	Lees, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1543281	Fr	C	31	30	31	0.241	0.312	0.286	112	13	27	5	 	""	 	12	12	 	1	 	24	2	1	1	 
2014	11620	5	Akron	38	1543280	Lawrence, Danny	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1543280	Jr	OF	30	14	30	0.207	0.347	0.207	58	10	12	 	 	""	 	8	10	3	1	2	10	 	1	 	 
2014	11620	5	Akron	10	1436918	Jensen, Evan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1436918	Fr	P	21	1	21	0.000	0.200	0.000	4	 	 	 	 	""	 	 	1	 	 	 	1	 	 	 	 
2014	11620	5	Akron	35	1543287	Sakamoto, Masashi	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1543287	Fr	P	20	0	20	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	5	Akron	24	1441460	Alvarez, Grant	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1441460	Sr	1B	20	18	20	0.239	0.308	0.324	71	5	17	6	 	""	 	6	4	3	 	 	7	2	 	 	 
2014	11620	5	Akron	28	1436922	Beaver, Zach	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1436922	So	P	18	0	18	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	5	Akron	30	1543278	Davis, Josh	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1543278	Fr	P	17	0	17	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	5	Akron	12	1321051	Carmichael, Derek	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1321051	So	INF	16	5	16	0.143	0.208	0.143	21	3	3	 	 	""	 	3	2	 	1	 	4	1	 	 	 
2014	11620	5	Akron	52	1543277	Cochran, Joe	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1543277	Sr	P	16	4	16	""	1.000	""	 	 	 	 	 	""	 	 	 	1	 	 	 	 	 	 	 
