1998	56	David Bell	http://www.baseball-reference.com/players/b/bellda01.shtml	bellda01	25	132	454	421	43	109	28	2	9	44	0	4	25	65	.259	.300	.399	.699	51	132	132
1998	57	Derek Bell	http://www.baseball-reference.com/players/b/bellde01.shtml	bellde01	29	156	687	624	105	192	40	2	21	102	13	3	49	126	.308	.357	.479	.836	107	156	156
1998	58	Jay Bell	http://www.baseball-reference.com/players/b/bellja01.shtml	bellja01	32	155	634	542	73	131	28	5	19	62	3	5	77	129	.242	.342	.417	.759	76	155	155
1998	59	Albert Belle	http://www.baseball-reference.com/players/b/belleal01.shtml	belleal01	31	163	695	601	106	192	46	2	47	142	6	4	78	84	.319	.390	.637	1.027	152	163	163
1998	60	Mark Bellhorn#	http://www.baseball-reference.com/players/b/bellhma01.shtml	bellhma01	23	11	16	12	2	1	1	0	0	2	2	0	3	4	.083	.313	.167	.479	1	11	11
1998	61	Rafael Belliard	http://www.baseball-reference.com/players/b/bellira01.shtml	bellira01	36	7	19	19	1	4	0	0	0	1	0	0	0	1	.211	.211	.211	.421	1	7	7
1998	62	Ronnie Belliard	http://www.baseball-reference.com/players/b/belliro01.shtml	belliro01	23	8	5	5	0	0	0	0	0	0	0		0	0	.000	.000	.000	.000	0	8	8
1998	63	Carlos Beltran#	http://www.baseball-reference.com/players/b/beltrca01.shtml	beltrca01	21	14	63	58	11	16	5	3	0	7	3	0	3	12	.276	.317	.466	.783	8	14	14
1998	64	Rigo Beltran*	http://www.baseball-reference.com/players/b/beltrri01.shtml	beltrri01	28	7	1	1	0	0	0	0	0	0	0		0	0	.000	.000	.000	.000	0	7	7
1998	65	Adrian Beltre	http://www.baseball-reference.com/players/b/beltrad01.shtml	beltrad01	19	77	214	195	18	42	9	0	7	22	3	1	14	37	.215	.278	.369	.648	19	77	77
1998	66	Marvin Benard*	http://www.baseball-reference.com/players/b/benarma01.shtml	benarma01	27	121	326	285	40	91	21	1	3	35	11	4	34	39	.319	.394	.432	.826	48	121	121
1998	67	Andy Benes	http://www.baseball-reference.com/players/b/benesan01.shtml	benesan01	30	35	82	65	8	11	3	0	1	3	0	0	6	28	.169	.250	.262	.512	4	35	35
1998	68	Yamil Benitez	http://www.baseball-reference.com/players/b/benitya01.shtml	benitya01	25	91	222	204	16	39	7	1	9	28	2	2	13	46	.191	.252	.368	.620	18	91	91
1998	69	Mike Benjamin	http://www.baseball-reference.com/players/b/benjami01.shtml	benjami01	32	124	378	343	41	89	22	0	4	35	3	0	14	73	.259	.299	.359	.657	35	124	124
1998	70	Gary Bennett	http://www.baseball-reference.com/players/b/bennega01.shtml	bennega01	26	9	35	30	3	8	0	0	0	3	0	0	4	5	.267	.343	.267	.610	3	9	9
1998	71	Shayne Bennett	http://www.baseball-reference.com/players/b/bennesh01.shtml	bennesh01	26	62	8	6	0	0	0	0	0	0	0		1	1	.000	.143	.000	.143	0	62	62
1998	72	Jason Bere	http://www.baseball-reference.com/players/b/bereja01.shtml	bereja01	27	27	15	14	0	0	0	0	0	0	0		1	5	.000	.067	.000	.067	0	27	27
1998	73	Dave Berg	http://www.baseball-reference.com/players/b/bergda01.shtml	bergda01	27	81	214	181	18	56	11	0	2	21	3	0	26	46	.309	.390	.403	.794	29	81	81
1998	74	Sean Bergman	http://www.baseball-reference.com/players/b/bergmse01.shtml	bergmse01	28	31	70	62	5	7	3	0	0	7	0	0	0	30	.113	.113	.161	.274	1	31	31
1998	75	Geronimo Berroa	http://www.baseball-reference.com/players/b/berroge01.shtml	berroge01	33	72	212	188	21	40	7	2	1	12	1	1	22	44	.213	.302	.287	.589	16	72	72
1998	76	Sean Berry	http://www.baseball-reference.com/players/b/berryse01.shtml	berryse01	32	102	337	295	45	90	16	1	12	49	3	1	30	50	.305	.378	.488	.866	54	102	102
1998	77	Dante Bichette	http://www.baseball-reference.com/players/b/bicheda01.shtml	bicheda01	34	161	658	629	74	186	41	2	19	93	12	3	24	76	.296	.321	.458	.779	92	161	161
1998	78	Steve Bieser*	http://www.baseball-reference.com/players/b/biesest01.shtml	biesest01	30	13	11	10	1	2	1	0	0	1	0	0	1	2	.200	.273	.300	.573	1	13	13
1998	79	Craig Biggio	http://www.baseball-reference.com/players/b/biggicr01.shtml	biggicr01	32	160	727	638	116	202	49	2	19	83	48	8	62	113	.317	.394	.489	.883	118	160	160
1998	80	Willie Blair	http://www.baseball-reference.com/players/b/blairwi01.shtml	blairwi01	32	34	61	53	3	6	0	0	0	0	0	0	4	27	.113	.175	.113	.289	1	34	34
1998	81	Jeff Blauser	http://www.baseball-reference.com/players/b/blausje01.shtml	blausje01	32	119	425	356	44	74	10	3	4	23	2	2	56	93	.208	.325	.287	.611	32	119	119
1998	82	Mike Blowers	http://www.baseball-reference.com/players/b/blowemi01.shtml	blowemi01	33	129	449	405	53	93	23	2	11	67	1	0	37	116	.230	.293	.378	.671	45	129	129
1998	83	Brian Boehringer#	http://www.baseball-reference.com/players/b/boehrbr01.shtml	boehrbr01	29	56	8	7	0	0	0	0	0	0	0		1	4	.000	.125	.000	.125	0	56	56
1998	84	Tim Bogar	http://www.baseball-reference.com/players/b/bogarti01.shtml	bogarti01	31	79	168	155	11	23	4	1	1	7	2	1	9	36	.148	.204	.206	.410	6	79	79
1998	85	Wade Boggs*	http://www.baseball-reference.com/players/b/boggswa01.shtml	boggswa01	40	123	472	427	45	114	21	4	7	46	3	2	43	54	.267	.333	.384	.717	54	123	123
1998	86	Brian Bohanon*	http://www.baseball-reference.com/players/b/bohanbr01.shtml	bohanbr01	29	39	49	43	1	12	2	1	0	5	0	0	2	13	.279	.311	.372	.683	5	39	39
1998	87	Frank Bolick#	http://www.baseball-reference.com/players/b/bolicfr01.shtml	bolicfr01	32	21	53	44	2	6	2	0	1	2	0	0	9	8	.136	.283	.250	.533	3	21	21
1998	88	Barry Bonds*	http://www.baseball-reference.com/players/b/bondsba01.shtml	bondsba01	33	156	692	549	116	164	43	7	36	118	27	12	128	92	.299	.434	.599	1.033	142	156	156
1998	89	Ricky Bones	http://www.baseball-reference.com/players/b/bonesri01.shtml	bonesri01	29	32	1	1	0	0	0	0	0	0	0		0	0	.000	.000	.000	.000	0	32	32
1998	90	Bobby Bonilla#	http://www.baseball-reference.com/players/b/bonilbo01.shtml	bonilbo01	35	100	379	332	38	82	11	1	11	44	1	2	41	59	.247	.325	.386	.710	42	100	100
1998	91	Aaron Boone	http://www.baseball-reference.com/players/b/booneaa01.shtml	booneaa01	25	58	203	179	22	49	12	2	2	26	6	1	14	36	.274	.340	.397	.737	23	58	58
1998	92	Bret Boone	http://www.baseball-reference.com/players/b/boonebr01.shtml	boonebr01	29	157	636	574	69	146	36	1	23	86	6	4	45	104	.254	.311	.441	.752	78	157	157
1998	93	Josh Booty	http://www.baseball-reference.com/players/b/bootyjo01.shtml	bootyjo01	23	7	22	19	0	3	1	0	0	3	0	0	3	8	.158	.273	.211	.483	1	7	7
1998	94	Pat Borders	http://www.baseball-reference.com/players/b/bordepa01.shtml	bordepa01	35	54	171	157	11	35	6	0	0	5	0	2	9	40	.223	.272	.261	.533	11	54	54
1998	95	Mike Bordick	http://www.baseball-reference.com/players/b/bordimi01.shtml	bordimi01	32	151	525	459	54	115	28	1	12	47	6	7	37	65	.251	.318	.394	.712	56	151	151
1998	96	Shawn Boskie	http://www.baseball-reference.com/players/b/boskish01.shtml	boskish01	31	5	5	4	1	0	0	0	0	0	0		1	3	.000	.200	.000	.200	0	5	5
1998	97	Kent Bottenfield	http://www.baseball-reference.com/players/b/botteke01.shtml	botteke01	29	44	39	34	0	0	0	0	0	0	0		0	9	.000	.000	.000	.000	0	44	44
