1962,39,Jim Bunning,/players/b/bunniji01.shtml,bunniji01,30,DET,258.0,41,6,6,0,0,6,6,0,100%,6,0,8,3,38%,8,1.088,5,1,0,6,0,0,4,2,4,2,4,1,4.0,
1962,40,Freddie Burdette,/players/b/burdefr01.shtml,burdefr01,25,CHC,9.2,8,8,1,0,0,1,1,0,100%,1,0,9,2,22%,5,.483,2,0,6,1,1,6,5,3,3,3,3,1,3.6,
1962,41,Lew Burdette,/players/b/burdele01.shtml,burdele01,35,MLN,143.2,37,18,11,3,1,4,2,2,50%,4,0,21,6,29%,9,1.011,8,1,9,5,2,11,11,7,8,6,9,3,4.2,
1962,42,Pete Burnside*,/players/b/burnspe01.shtml,burnspe01,31,WSA,149.2,40,20,7,0,1,4,2,2,50%,5,1,11,4,36%,7,.984,5,4,11,5,0,15,5,15,12,1,13,1,5.5,
1962,43,Cecil Butler,/players/b/butlece01.shtml,butlece01,24,MLN,31.0,9,7,4,1,0,0,0,0,,0,0,3,1,33%,6,.806,1,1,5,0,0,7,2,5,5,1,5,1,6.3,
1962,44,Tom Butters,/players/b/butteto01.shtml,butteto01,24,PIT,6.0,4,4,1,0,0,0,0,0,,0,0,2,0,0%,7,.342,0,1,3,0,0,4,1,3,2,0,2,0,4.5,
1962,45,John Buzhardt,/players/b/buzhajo01.shtml,buzhajo01,25,CHW,152.1,28,3,1,1,0,0,0,0,,1,1,2,1,50%,7,1.012,1,1,1,1,0,2,1,2,2,1,2,0,4.0,
1962,46,Don Cardwell,/players/c/cardwdo01.shtml,cardwdo01,26,CHC,195.2,41,12,9,1,0,5,4,1,80%,6,1,15,2,13%,8,1.054,7,3,2,6,1,5,7,5,6,1,7,2,4.3,
1962,47,Jerry Casale,/players/c/casalje01.shtml,casalje01,28,DET,36.2,18,17,4,1,2,0,0,0,,1,1,18,6,33%,4,.828,6,2,8,1,4,12,8,9,10,3,13,4,5.8,
1962,48,Dean Chance,/players/c/chancde01.shtml,chancde01,21,LAA,206.2,50,26,16,5,2,10,8,2,80%,10,0,28,13,46%,9,1.256,16,6,4,11,7,8,17,9,14,6,14,4,5.7,
1962,49,Tom Cheney,/players/c/cheneto01.shtml,cheneto01,27,WSA,173.1,37,14,7,0,1,1,1,0,100%,2,1,9,2,22%,9,1.240,4,1,8,2,2,10,6,8,7,4,7,2,4.9,
1962,50,Al Cicotte,/players/c/cicotal01.shtml,cicotal01,32,HOU,4.2,5,5,1,0,0,0,0,0,,1,0,2,1,50%,6,.743,1,1,3,1,0,4,1,4,1,1,1,1,2.8,
1962,51,Galen Cisco,/players/c/ciscoga01.shtml,ciscoga01,26,TOT,102.1,27,16,3,1,1,2,0,2,0%,2,0,21,7,33%,,.921,5,6,5,4,1,11,11,5,11,2,12,1,6.8,
1962,52,Galen Cisco,/players/c/ciscoga01.shtml,ciscoga01,26,BOS,83.0,23,14,3,1,1,1,0,1,0%,1,0,19,7,37%,2,.865,4,5,5,3,1,10,10,4,10,1,11,1,6.8,
1962,53,Galen Cisco,/players/c/ciscoga01.shtml,ciscoga01,26,NYM,19.1,4,2,0,0,0,1,0,1,0%,1,0,2,0,0%,1,1.168,1,1,0,1,0,1,1,1,1,1,1,0,6.5,
1962,54,Tex Clevenger,/players/c/clevete01.shtml,clevete01,29,NYY,38.0,21,21,11,2,0,0,0,0,,1,0,9,2,22%,8,.689,3,4,14,1,2,18,4,17,13,2,13,3,5.4,
1962,55,Tony Cloninger,/players/c/clonito01.shtml,clonito01,21,MLN,111.0,24,9,2,0,0,0,0,0,,0,0,7,2,29%,1,.978,2,2,4,0,1,8,4,5,5,2,6,0,5.6,
1962,56,Jim Coates,/players/c/coateji01.shtml,coateji01,29,NYY,117.2,50,44,25,7,5,9,6,3,67%,12,1,35,15,43%,6,1.200,18,13,13,17,9,18,17,27,28,7,30,4,5.9,
1962,57,Jackie Collum*,/players/c/colluja01.shtml,colluja01,35,TOT,16.2,9,6,2,0,0,0,0,0,,0,0,6,0,0%,,.685,0,0,6,0,0,6,3,3,3,3,3,1,5.0,
1962,58,Jackie Collum*,/players/c/colluja01.shtml,colluja01,35,MIN,15.1,8,5,2,0,0,0,0,0,,0,0,4,0,0%,7,.725,0,0,5,0,0,5,2,3,2,3,2,1,5.2,
