 year | team_key | mlb |  n  
 1992 | HOU      |   8 |  51
 2009 | WSN      |   8 |  51
 2006 | PHI      |   8 |  51
 1998 | CHW      |   8 |  52
 2005 | CLE      |   8 |  52
 2007 | ATL      |   8 |  52
 2010 | BOS      |   8 |  52
 2000 | MIN      |   8 |  52
 2008 | ARI      |   8 |  52
 2010 | STL      |   8 |  52
 1988 | SEA      |   8 |  52
 2007 | PHI      |   8 |  52
 1991 | NYM      |   8 |  53
 1992 | ANA      |   8 |  53
 1994 | MIN      |   8 |  53
 2008 | MIL      |   8 |  54
 1994 | SDP      |   8 |  54
 1996 | TOR      |   8 |  55
 1996 | PIT      |   8 |  56
 1995 | ATL      |   8 |  56
 1993 | ANA      |   8 |  57
 1997 | CHC      |   8 |  58
 1988 | WSN      |   8 |  59
 1994 | SFG      |   8 |  59
 1993 | COL      |   8 |  60
 1996 | ATL      |   8 |  61
 1966 | LAD      |   8 |  62
 1995 | NYM      |   8 |  63
 1988 | PHI      |   8 |  64
 1993 | WSN      |   8 |  64
 1994 | TOR      |   8 |  64
 1995 | STL      |   8 |  66
 1997 | TOR      |   8 |  66
 1968 | LAD      |   8 |  71
 1995 | NYY      |   8 |  72
 1994 | SEA      |   8 |  75
 1989 | TOR      |   8 |  76
 1967 | NYY      |   8 |  77
 1993 | CHC      |   8 |  83
 1995 | HOU      |   8 |  86
 1993 | SDP      |   8 |  91
 1974 | MIL      |   7 |  16
 1978 | WSN      |   7 |  21
 1978 | ANA      |   7 |  21
 1980 | SEA      |   7 |  23
 1975 | BOS      |   7 |  24
 1965 | TEX      |   7 |  25
 1986 | ANA      |   7 |  25
 1970 | SDP      |   7 |  25
 1985 | SDP      |   7 |  25
 1976 | HOU      |   7 |  25
 1984 | STL      |   7 |  26
 1977 | BOS      |   7 |  26
 1977 | CHW      |   7 |  26
 1976 | BOS      |   7 |  26
 1981 | SEA      |   7 |  27
 1980 | BAL      |   7 |  27
 1974 | SFG      |   7 |  27
 1976 | ATL      |   7 |  28
 1980 | KCR      |   7 |  29
 1986 | SEA      |   7 |  29
 1975 | PHI      |   7 |  29
 1978 | NYM      |   7 |  30
 1985 | TEX      |   7 |  30
 1973 | SFG      |   7 |  30
 1972 | WSN      |   7 |  30
 1985 | CHW      |   7 |  30
 1984 | CHC      |   7 |  30
 1968 | TEX      |   7 |  31
 1981 | STL      |   7 |  31
 1986 | STL      |   7 |  31
 1978 | KCR      |   7 |  31
 1973 | OAK      |   7 |  31
 1983 | MIL      |   7 |  32
 1981 | OAK      |   7 |  32
 1980 | WSN      |   7 |  32
 1965 | PHI      |   7 |  33
 1977 | ANA      |   7 |  33
 1979 | SEA      |   7 |  34
 1969 | OAK      |   7 |  34
 1971 | KCR      |   7 |  34
 1966 | ANA      |   7 |  35
 1979 | SFG      |   7 |  35
 2007 | TOR      |   7 |  35
 1983 | SEA      |   7 |  35
 1983 | ATL      |   7 |  35
 1985 | STL      |   7 |  35
 1979 | BAL      |   7 |  35
 1972 | MIN      |   7 |  36
 1979 | NYM      |   7 |  36
 1974 | CIN      |   7 |  36
 1969 | CIN      |   7 |  36
 1974 | NYM      |   7 |  38
 1976 | CIN      |   7 |  38
 1990 | CIN      |   7 |  39
 1994 | OAK      |   7 |  39
 1976 | LAD      |   7 |  39
 1966 | HOU      |   7 |  39
 1985 | CLE      |   7 |  39
 1986 | PHI      |   7 |  40
 1972 | PIT      |   7 |  40
 1966 | PIT      |   7 |  41
 2012 | LAD      |   7 |  41
 1965 | ATL      |   7 |  41
 2002 | MIL      |   7 |  42
 1965 | PIT      |   7 |  42
 2012 | NYM      |   7 |  42
 1989 | SDP      |   7 |  42
 1997 | OAK      |   7 |  43
 1969 | LAD      |   7 |  43
 2008 | TOR      |   7 |  44
 1997 | PHI      |   7 |  44
 1995 | OAK      |   7 |  44
 1968 | NYM      |   7 |  44
 1980 | CLE      |   7 |  44
 1998 | KCR      |   7 |  44
 2002 | DET      |   7 |  45
 2000 | SDP      |   7 |  45
 2007 | DET      |   7 |  45
 1991 | CHC      |   7 |  46
 2000 | BOS      |   7 |  46
 1988 | SFG      |   7 |  47
 1998 | PIT      |   7 |  47
 2005 | SFG      |   7 |  47
 2002 | PHI      |   7 |  48
 2004 | ANA      |   7 |  48
 1998 | ARI      |   7 |  48
 1988 | MIN      |   7 |  48
 1971 | LAD      |   7 |  48
 1991 | BAL      |   7 |  48
 1987 | SFG      |   7 |  48
 2006 | ANA      |   7 |  49
 2009 | NYM      |   7 |  49
 1967 | SFG      |   7 |  49
 2004 | CHC      |   7 |  49
 1994 | WSN      |   7 |  49
 2010 | NYM      |   7 |  49
 1998 | MIN      |   7 |  49
 2003 | DET      |   7 |  50
 2003 | BAL      |   7 |  50
 2001 | TOR      |   7 |  50
 2006 | COL      |   7 |  50
 2011 | NYY      |   7 |  50
 2001 | BAL      |   7 |  50
 2006 | DET      |   7 |  50
 2010 | CHC      |   7 |  50
 2010 | CIN      |   7 |  50
 1992 | CHW      |   7 |  50
 2010 | ATL      |   7 |  50
 2003 | TOR      |   7 |  50
 2002 | KCR      |   7 |  50
 2006 | LAD      |   7 |  50
 2005 | NYY      |   7 |  50
 2004 | MIL      |   7 |  50
 2003 | SDP      |   7 |  50
 2011 | CLE      |   7 |  50
 1999 | LAD      |   7 |  50
 2002 | SDP      |   7 |  50
 2000 | KCR      |   7 |  50
 2010 | SEA      |   7 |  50
 2004 | DET      |   7 |  50
 1998 | SFG      |   7 |  50
 2010 | KCR      |   7 |  50
 2011 | CHC      |   7 |  50
 2006 | KCR      |   7 |  50
 2009 | SFG      |   7 |  50
 2006 | SFG      |   7 |  50
 2010 | MIN      |   7 |  50
 1989 | SFG      |   7 |  50
 2001 | MIL      |   7 |  50
 2011 | CIN      |   7 |  50
 2000 | ANA      |   7 |  51
 1992 | MIL      |   7 |  51
 2008 | KCR      |   7 |  51
 2008 | ATL      |   7 |  51
 2011 | PHI      |   7 |  51
 1998 | NYY      |   7 |  51
 1967 | MIN      |   7 |  51
 2009 | LAD      |   7 |  51
 2009 | CIN      |   7 |  51
 1998 | BAL      |   7 |  51
 2004 | TOR      |   7 |  52
 2009 | COL      |   7 |  52
 2010 | HOU      |   7 |  52
 1992 | TOR      |   7 |  52
 1984 | NYY      |   7 |  52
 1995 | SDP      |   7 |  52
 2001 | SEA      |   7 |  52
 1996 | CHW      |   7 |  53
 2000 | TEX      |   7 |  53
 2007 | WSN      |   7 |  53
 2007 | OAK      |   7 |  53
 1997 | MIL      |   7 |  53
 1997 | MIN      |   7 |  54
 1989 | NYM      |   7 |  54
 2009 | ANA      |   7 |  54
 2004 | MIN      |   7 |  54
 2002 | CHC      |   7 |  56
 1990 | PHI      |   7 |  57
 1970 | BAL      |   7 |  57
 1993 | LAD      |   7 |  57
 1993 | SFG      |   7 |  57
 1997 | CHW      |   7 |  57
 1994 | ATL      |   7 |  58
 1997 | FLA      |   7 |  58
 1997 | ANA      |   7 |  59
 1991 | PIT      |   7 |  59
 1988 | CIN      |   7 |  59
 1989 | OAK      |   7 |  60
 1990 | LAD      |   7 |  63
 1988 | HOU      |   7 |  65
 1989 | LAD      |   7 |  65
 1988 | PIT      |   7 |  66
 1994 | DET      |   7 |  68
 1988 | ATL      |   7 |  69
 1997 | LAD      |   7 |  71
 1991 | WSN      |   7 |  72
 1993 | CLE      |   7 |  72
 1996 | LAD      |   7 |  79
 1996 | HOU      |   7 |  83
 1971 | SDP      |   6 |  19
 1983 | BOS      |   6 |  20
 1976 | WSN      |   6 |  21
 1983 | TOR      |   6 |  23
 1971 | MIL      |   6 |  23
 1969 | BOS      |   6 |  25
 1971 | ATL      |   6 |  25
 1980 | BOS      |   6 |  26
 1976 | CHW      |   6 |  26
 1971 | CHW      |   6 |  26
 1979 | STL      |   6 |  26
 1977 | SFG      |   6 |  27
 1984 | BAL      |   6 |  28
 1979 | SDP      |   6 |  28
 1978 | ATL      |   6 |  29
 1979 | NYY      |   6 |  29
 1982 | SDP      |   6 |  29
 1980 | PHI      |   6 |  30
 1985 | ANA      |   6 |  30
 1982 | OAK      |   6 |  30
 1985 | SFG      |   6 |  30
 1982 | MIL      |   6 |  30
 1979 | WSN      |   6 |  30
 1976 | CHC      |   6 |  30
 1984 | PHI      |   6 |  31
 1973 | ANA      |   6 |  31
 1983 | PHI      |   6 |  31
 1978 | CHC      |   6 |  31
 1981 | LAD      |   6 |  31
 1965 | CIN      |   6 |  32
 1970 | CHW      |   6 |  32
 1977 | SEA      |   6 |  32
 1974 | PHI      |   6 |  32
 1982 | STL      |   6 |  32
 1979 | MIL      |   6 |  33
 1982 | MIN      |   6 |  33
 1983 | KCR      |   6 |  34
 1987 | OAK      |   6 |  34
 1985 | HOU      |   6 |  34
 1984 | NYM      |   6 |  35
 1983 | OAK      |   6 |  35
 1970 | CLE      |   6 |  35
 1987 | CLE      |   6 |  36
 1977 | LAD      |   6 |  37
 1981 | CHW      |   6 |  37
 1974 | PIT      |   6 |  37
 1972 | CLE      |   6 |  37
 1969 | CHC      |   6 |  38
 1994 | TEX      |   6 |  38
 1988 | BOS      |   6 |  38
 1986 | MIL      |   6 |  38
 1981 | WSN      |   6 |  39
 1972 | LAD      |   6 |  39
 1997 | HOU      |   6 |  40
 2012 | TBD      |   6 |  40
 1969 | STL      |   6 |  40
 2012 | SFG      |   6 |  40
 1969 | SFG      |   6 |  40
 1983 | NYY      |   6 |  40
 1987 | STL      |   6 |  40
 2013 | CIN      |   6 |  41
 1998 | HOU      |   6 |  41
 1970 | STL      |   6 |  41
 2001 | SDP      |   6 |  41
 1997 | SDP      |   6 |  42
 2007 | NYM      |   6 |  42
 2013 | OAK      |   6 |  42
 2003 | OAK      |   6 |  42
 1967 | TEX      |   6 |  42
 2012 | COL      |   6 |  42
 2002 | PIT      |   6 |  43
 1986 | ATL      |   6 |  43
 1981 | PIT      |   6 |  43
 1993 | CIN      |   6 |  44
 1982 | SFG      |   6 |  44
 1979 | PIT      |   6 |  44
 1972 | BAL      |   6 |  44
 2003 | TEX      |   6 |  44
 1972 | NYM      |   6 |  45
 2000 | OAK      |   6 |  45
 1999 | SDP      |   6 |  46
 1995 | WSN      |   6 |  46
 1972 | SFG      |   6 |  46
 1994 | CIN      |   6 |  47
 1997 | COL      |   6 |  47
 2000 | SEA      |   6 |  47
 2003 | PHI      |   6 |  48
 1969 | PIT      |   6 |  48
 2007 | CLE      |   6 |  48
 1969 | TEX      |   6 |  48
 1992 | CHC      |   6 |  49
 2002 | BOS      |   6 |  49
 1988 | KCR      |   6 |  49
 2004 | ATL      |   6 |  49
 1999 | ANA      |   6 |  49
 2004 | HOU      |   6 |  49
 2011 | DET      |   6 |  49
 2009 | PHI      |   6 |  49
 2004 | BOS      |   6 |  49
 2004 | SFG      |   6 |  49
 2006 | TEX      |   6 |  49
 1995 | BAL      |   6 |  49
 1999 | CIN      |   6 |  50
 2001 | MIN      |   6 |  50
 2008 | DET      |   6 |  50
 2004 | FLA      |   6 |  50
 2010 | WSN      |   6 |  50
 2011 | CHW      |   6 |  50
 2002 | SEA      |   6 |  50
 2010 | MIL      |   6 |  50
 2007 | PIT      |   6 |  50
 2005 | TEX      |   6 |  50
 2007 | FLA      |   6 |  50
 2000 | PIT      |   6 |  50
 1999 | FLA      |   6 |  50
 2003 | MIL      |   6 |  50
 2004 | PHI      |   6 |  50
 2009 | SDP      |   6 |  50
 2011 | PIT      |   6 |  50
 2010 | SDP      |   6 |  50
 2008 | COL      |   6 |  50
 2009 | TBD      |   6 |  50
 2001 | WSN      |   6 |  50
 2003 | MIN      |   6 |  50
 2003 | CIN      |   6 |  50
 2002 | BAL      |   6 |  50
 2010 | ARI      |   6 |  50
 2003 | COL      |   6 |  50
 2007 | CHC      |   6 |  50
 2010 | LAD      |   6 |  50
 2009 | BAL      |   6 |  50
 2000 | NYY      |   6 |  50
 2005 | BAL      |   6 |  51
 2011 | WSN      |   6 |  51
 1992 | MIN      |   6 |  51
 2006 | BAL      |   6 |  51
 2009 | HOU      |   6 |  51
 2003 | ARI      |   6 |  51
 2009 | CHW      |   6 |  52
 1969 | NYM      |   6 |  52
 2008 | NYM      |   6 |  52
 2002 | ATL      |   6 |  52
 1973 | STL      |   6 |  52
 2006 | WSN      |   6 |  52
 1991 | CIN      |   6 |  52
 2001 | NYM      |   6 |  52
 2003 | CLE      |   6 |  52
 1965 | MIN      |   6 |  53
 2004 | KCR      |   6 |  53
 1991 | PHI      |   6 |  54
 1995 | MIN      |   6 |  54
 1995 | CHW      |   6 |  54
 1989 | CIN      |   6 |  55
 2010 | ANA      |   6 |  55
 1990 | KCR      |   6 |  55
 1989 | STL      |   6 |  56
 1990 | DET      |   6 |  56
 1966 | ATL      |   6 |  57
 1989 | TEX      |   6 |  58
 1995 | COL      |   6 |  58
 1995 | TOR      |   6 |  59
 1988 | TEX      |   6 |  59
 1993 | TEX      |   6 |  59
 1965 | STL      |   6 |  60
 1995 | ANA      |   6 |  60
 1988 | CLE      |   6 |  60
 1993 | TOR      |   6 |  61
 1994 | MIL      |   6 |  61
 1995 | CHC      |   6 |  61
 1988 | NYM      |   6 |  61
 1967 | CLE      |   6 |  62
 1991 | ATL      |   6 |  62
 1996 | CHC      |   6 |  63
 1991 | SFG      |   6 |  67
 1995 | MIL      |   6 |  68
 1993 | SEA      |   6 |  69
 1989 | WSN      |   6 |  69
 1989 | SEA      |   6 |  70
 1967 | CIN      |   6 |  72
 1994 | FLA      |   6 |  81
 1995 | LAD      |   6 |  85
 1994 | NYY      |   6 |  87
 1969 | KCR      |   6 |  90
 1991 | LAD      |   6 |  93
 1972 | SDP      |   5 |  19
 1973 | HOU      |   5 |  19
 1965 | BOS      |   5 |  20
 1973 | PHI      |   5 |  22
 1972 | BOS      |   5 |  22
 1978 | BAL      |   5 |  22
 1978 | SEA      |   5 |  23
 1974 | CHW      |   5 |  23
 1977 | MIL      |   5 |  23
 1984 | LAD      |   5 |  24
 1977 | KCR      |   5 |  24
 1972 | CHW      |   5 |  24
 1986 | OAK      |   5 |  25
 1975 | KCR      |   5 |  25
 1980 | ATL      |   5 |  25
 1981 | TOR      |   5 |  25
 1982 | ANA      |   5 |  26
 1981 | ANA      |   5 |  26
 1984 | HOU      |   5 |  26
 1980 | OAK      |   5 |  26
 1986 | DET      |   5 |  26
 1977 | ATL      |   5 |  26
 1985 | BOS      |   5 |  27
 1982 | CHC      |   5 |  27
 1977 | NYY      |   5 |  27
 1972 | CHC      |   5 |  27
 1975 | CIN      |   5 |  27
 1985 | WSN      |   5 |  27
 1977 | SDP      |   5 |  28
 1982 | HOU      |   5 |  28
 1976 | TEX      |   5 |  28
 1983 | ANA      |   5 |  28
 1973 | BAL      |   5 |  28
 1977 | TEX      |   5 |  28
 1983 | CHC      |   5 |  28
 1984 | TOR      |   5 |  29
 1974 | DET      |   5 |  29
 1986 | MIN      |   5 |  30
 1965 | LAD      |   5 |  30
 1969 | PHI      |   5 |  31
 1974 | STL      |   5 |  31
 1982 | ATL      |   5 |  31
 1985 | SEA      |   5 |  31
 1968 | CHW      |   5 |  31
 1975 | STL      |   5 |  31
 1982 | KCR      |   5 |  31
 1981 | DET      |   5 |  32
 1970 | PHI      |   5 |  32
 1983 | DET      |   5 |  32
 1977 | PHI      |   5 |  33
 1975 | LAD      |   5 |  33
 1978 | MIN      |   5 |  33
 1986 | CHC      |   5 |  33
 1978 | SFG      |   5 |  33
 1981 | PHI      |   5 |  33
 1972 | NYY      |   5 |  33
 1979 | LAD      |   5 |  33
 1982 | SEA      |   5 |  34
 1985 | BAL      |   5 |  34
 1966 | TEX      |   5 |  34
 1979 | MIN      |   5 |  34
 1983 | CIN      |   5 |  34
 1987 | SDP      |   5 |  34
