 overall_pick |   p   
         1071 | 0.000
          860 | 0.000
         1365 | 0.000
         1600 | 0.000
         1576 | 0.000
         1120 | 0.000
         1108 | 0.000
         1146 | 0.000
          760 | 0.000
         1061 | 0.000
         1410 | 0.000
         1116 | 0.000
         1578 | 0.000
         1054 | 0.000
         1587 | 0.000
          969 | 0.000
          909 | 0.000
         1403 | 0.000
         1662 | 0.000
         1053 | 0.000
         1229 | 0.000
          905 | 0.000
         1348 | 0.000
         1060 | 0.000
          982 | 0.000
          771 | 0.000
         1401 | 0.000
         1259 | 0.000
         1465 | 0.000
         1266 | 0.000
         1048 | 0.000
         1043 | 0.000
         1371 | 0.000
         1314 | 0.000
         1187 | 0.000
         1283 | 0.000
         1269 | 0.000
          901 | 0.000
         1059 | 0.000
         1431 | 0.000
         1206 | 0.000
         1318 | 0.000
         1562 | 0.000
         1124 | 0.000
         1384 | 0.000
         1127 | 0.000
         1329 | 0.000
         1316 | 0.000
         1083 | 0.000
         1249 | 0.000
         1168 | 0.000
          792 | 0.000
          784 | 0.000
          867 | 0.000
         1177 | 0.000
         1466 | 0.000
          989 | 0.000
          972 | 0.000
         1326 | 0.000
          943 | 0.000
         1228 | 0.000
         1288 | 0.000
         1294 | 0.000
          926 | 0.000
          798 | 0.000
         1547 | 0.000
          874 | 0.000
         1101 | 0.000
         1302 | 0.000
         1160 | 0.000
          908 | 0.000
         1324 | 0.000
         1532 | 0.000
         1161 | 0.000
         1087 | 0.000
          630 | 0.000
         1420 | 0.000
         1209 | 0.000
         1080 | 0.000
         1356 | 0.000
         1012 | 0.000
         1601 | 0.000
         1586 | 0.000
         1172 | 0.000
         1113 | 0.000
         1256 | 0.000
         1149 | 0.000
         1297 | 0.000
         1404 | 0.000
         1685 | 0.000
          945 | 0.000
         1485 | 0.000
         1583 | 0.000
          975 | 0.000
         1593 | 0.000
         1307 | 0.000
         1393 | 0.000
         1277 | 0.000
         1196 | 0.000
          791 | 0.000
         1094 | 0.000
         1170 | 0.000
         1272 | 0.000
         1179 | 0.000
         1255 | 0.000
         1044 | 0.000
         1679 | 0.000
         1336 | 0.000
         1077 | 0.000
         1544 | 0.000
         1010 | 0.000
         1464 | 0.000
         1016 | 0.000
         1566 | 0.000
         1086 | 0.000
          924 | 0.000
          731 | 0.000
         1218 | 0.000
         1558 | 0.000
         1471 | 0.000
         1257 | 0.000
         1675 | 0.000
         1268 | 0.000
         1227 | 0.000
         1585 | 0.000
         1493 | 0.000
         1205 | 0.000
         1444 | 0.000
         1494 | 0.000
         1515 | 0.000
          884 | 0.000
          824 | 0.000
         1398 | 0.000
         1311 | 0.000
         1035 | 0.000
         1305 | 0.000
         1508 | 0.000
          873 | 0.000
         1147 | 0.000
         1189 | 0.000
         1284 | 0.000
          787 | 0.000
          911 | 0.000
         1192 | 0.000
         1334 | 0.000
          716 | 0.000
         1636 | 0.000
         1036 | 0.000
         1436 | 0.000
         1360 | 0.000
         1315 | 0.000
          657 | 0.000
         1245 | 0.000
         1455 | 0.000
          963 | 0.000
         1155 | 0.000
          993 | 0.000
         1445 | 0.000
         1395 | 0.000
         1145 | 0.000
         1239 | 0.000
         1540 | 0.000
          766 | 0.000
         1654 | 0.000
         1159 | 0.000
          933 | 0.000
         1278 | 0.000
         1126 | 0.000
         1503 | 0.000
         1570 | 0.000
          904 | 0.000
         1041 | 0.000
          840 | 0.000
         1421 | 0.000
         1456 | 0.000
         1482 | 0.000
         1208 | 0.000
         1237 | 0.000
          917 | 0.000
          713 | 0.000
         1589 | 0.000
         1158 | 0.000
         1641 | 0.000
         1088 | 0.000
         1424 | 0.000
         1688 | 0.000
         1195 | 0.000
         1454 | 0.000
         1538 | 0.000
          962 | 0.000
         1534 | 0.000
         1331 | 0.000
         1434 | 0.000
         1459 | 0.000
          740 | 0.000
          953 | 0.000
         1379 | 0.000
         1185 | 0.000
         1347 | 0.000
         1221 | 0.000
         1309 | 0.000
          664 | 0.000
         1070 | 0.000
         1191 | 0.000
         1042 | 0.000
         1167 | 0.000
         1468 | 0.000
          591 | 0.000
         1238 | 0.000
         1539 | 0.000
         1545 | 0.000
         1098 | 0.000
         1174 | 0.000
         1163 | 0.000
         1441 | 0.000
         1680 | 0.000
         1291 | 0.000
          845 | 0.000
         1541 | 0.000
         1614 | 0.000
         1369 | 0.000
         1075 | 0.000
         1659 | 0.000
         1165 | 0.000
         1490 | 0.000
         1248 | 0.000
         1440 | 0.000
         1419 | 0.000
         1476 | 0.000
         1069 | 0.000
         1462 | 0.000
         1004 | 0.000
         1250 | 0.000
          996 | 0.000
         1652 | 0.000
         1406 | 0.000
         1055 | 0.000
         1105 | 0.000
         1383 | 0.000
         1546 | 0.000
         1273 | 0.000
         1396 | 0.000
          942 | 0.000
         1399 | 0.000
         1299 | 0.000
         1423 | 0.000
         1413 | 0.000
         1008 | 0.000
          825 | 0.000
         1597 | 0.000
         1073 | 0.000
          724 | 0.000
         1388 | 0.000
         1178 | 0.000
         1483 | 0.000
          968 | 0.000
         1047 | 0.000
          882 | 0.000
         1210 | 0.000
          922 | 0.000
         1313 | 0.000
         1031 | 0.000
         1222 | 0.000
          386 | 0.000
         1142 | 0.000
         1033 | 0.000
         1125 | 0.000
          465 | 0.000
         1304 | 0.000
         1504 | 0.000
         1377 | 0.000
         1400 | 0.000
         1367 | 0.000
         1104 | 0.000
         1556 | 0.000
         1282 | 0.000
         1646 | 0.000
         1327 | 0.000
         1243 | 0.000
         1240 | 0.000
         1592 | 0.000
          949 | 0.000
         1115 | 0.000
         1308 | 0.000
         1469 | 0.000
         1198 | 0.000
         1337 | 0.000
         1339 | 0.000
         1190 | 0.000
          848 | 0.000
         1433 | 0.000
         1207 | 0.000
         1510 | 0.000
          940 | 0.000
         1437 | 0.000
          545 | 0.000
         1057 | 0.000
         1251 | 0.000
         1479 | 0.000
         1225 | 0.000
          918 | 0.000
         1492 | 0.000
         1200 | 0.000
         1109 | 0.000
         1130 | 0.000
         1298 | 0.000
          988 | 0.000
          898 | 0.000
         1511 | 0.000
         1554 | 0.000
         1426 | 0.000
         1498 | 0.000
         1244 | 0.000
         1581 | 0.000
         1040 | 0.000
         1263 | 0.000
         1598 | 0.000
         1373 | 0.000
          843 | 0.000
         1267 | 0.000
         1394 | 0.000
         1150 | 0.000
         1281 | 0.000
