 year | team_key |           s           |         n         
 1980 | WSN      |                   5.8 |              16.4
 1983 | CHC      |                   6.1 |              16.7
 1985 | HOU      |                  -0.2 |              10.2
 1998 | MIN      |                     3 |              13.3
 1984 | CLE      |                   8.2 |              18.1
 2005 | LAD      |                   1.1 |              10.6
 1979 | SDP      |                   6.6 |              15.8
 1982 | PIT      |                   1.2 |              10.4
 2003 | FLA      |                  -0.2 |               8.9
 2006 | MIN      |                   4.9 |              13.8
 2006 | WSN      |                   0.2 |               8.9
 1996 | MIN      |                   5.3 |              13.9
 1983 | LAD      |                  -0.9 |               7.6
 1978 | SFG      |                  11.4 |              19.8
 2007 | ANA      |                   2.7 |                11
 1972 | HOU      |                  -2.6 |               5.6
 2002 | HOU      |                  -0.3 |               7.8
 1979 | CHC      |                  -1.7 |               6.2
 1966 | CLE      |                   0.2 |               8.1
 1998 | TEX      |                  24.8 |              32.5
 1972 | ATL      |                   1.8 |               9.4
 1987 | MIN      |                  13.4 |                21
 1978 | TEX      |                  10.1 |              17.6
 1999 | SEA      |                  14.7 |              22.1
 2007 | NYY      |                  -1.3 |                 6
 2002 | COL      |                    11 |              18.1
 2008 | NYY      |                   4.4 |              11.2
 2001 | PIT      |                  28.5 |              35.1
 1981 | PHI      |                   5.4 |              11.7
 2002 | SEA      |                   0.4 |               6.7
 1987 | PIT      |                   1.1 |               7.3
 1983 | CLE      |                   1.2 |               7.3
 1978 | WSN      |                   6.1 |              11.9
 2002 | TBD      |                  31.1 |              36.9
 1966 | ATL      |                   7.2 |              12.9
 2009 | PHI      |                   0.4 |               6.1
 1979 | TOR      |                  -0.6 |               5.1
 2006 | PIT      |                   3.3 |               8.9
 2007 | STL      |                  -3.4 |               2.1
 1989 | SEA      |                   0.3 |               5.7
 1985 | ANA      |                     3 |               8.3
 1993 | KCR      |                   6.3 |              11.5
 1975 | MIL      |                     0 |               5.2
 1982 | BAL      |                  10.7 |              15.9
 1990 | SDP      |                   5.5 |              10.6
